id,limite_chars,tokens_protegidos,texto_original,texto_traducido,estado,notas
talk_mayoeru_00001,29,<FF03> <FFF3>, How bizarre of you to<FF03>want <FFF3>,,por_traducir,
talk_mayoeru_00002,28,<FFF5> <FFF3> <FF03>,<FFF5>Uuuurh. <FFF3> has nowhere to<FF03>go,,por_traducir,
talk_mayoeru_00003,20,<FFF5>,<FFF5> Uiii. Man of flesh,,por_traducir,
talk_mayoeru_00004,27,<FF03> <FFF3> <FFF5>,<FF03><FFF3> is happy!<FFF5>  Man of flesh,,por_traducir,
talk_mayoeru_00005,147,<FF03> <FFF3> <FFF5> <FFF3> <FF03> <FF03> <FFF3> <FFF5> <FFF3> <FF03>, What do you gain by<FF03>challenging <FFF3>?<FFF5> Uuuurh. I feel anger. <FFF3><FF03>will make that body belong to<FF03><FFF3>.<FFF5>   Is it fun to threaten <FFF3><FF03>with no place to call home,,por_traducir,
talk_mayoeru_00006,43,<FFF5> <FF03>,<FFF5> Never imagined being asked to join<FF03>humans,,por_traducir,
talk_mayoeru_00007,64,<FF03> <FFF5> <FFF3> <FFF5>," Man of flesh, you have good<FF03>soul!<FFF5> Uuurh. <FFF3> has pride too.<FFF5>Augh",,por_traducir,
talk_mayoeru_00008,26,<FF03> <FFF0>, Those of flesh invite a<FF03><FFF0>,,por_traducir,
talk_mayoeru_00009,64,<FFF5> <FF03> <FFF5>,<FFF5>   Uuuuurh. Stop bad singing. This spirit<FF03>will go insane.<FFF5> Augh,,por_traducir,
talk_mayoeru_00010,29,," Horrible voice, too horrible",,por_traducir,
talk_mayoeru_00011,57,<FF03> <FFF0> <FF03> <FFF5>,<FF03>Horrible things happen to <FFF0><FF03> too?<FFF5>  Uiii. Songs are good,,por_traducir,
talk_mayoeru_00012,285,<FF03> <FFF0> <FFF5> <FFF3> <FF03> <FFF5> <FF03> <FFF0> <FF03> <FFF5> <FF03> <FFF5> <FFF3> <FF03> <FFF5>, Reminds<FF03><FFF0> of being flesh.<FFF5>  There is nothing <FFF3> cannot<FF03>do! Having flesh must be inconvenient!<FFF5>   Uuuuurh.<FF03><FFF0> and humans are enemies!<FF03>Cannot grant requests!<FFF5>  Uiiii. Too many years since woman of<FF03>flesh requested something.<FFF5>Uuuurh. <FFF3> is no fool.<FF03>Don't understand. Won't be deceived.<FFF5> Augh,,por_traducir,
talk_mayoeru_00013,18,, Frightful schemes,,por_traducir,
talk_mayoeru_00014,13,<FF03>, One of<FF03>flesh,,por_traducir,
talk_mayoeru_00015,22,, What are you scheming,,por_traducir,
talk_mayoeru_00016,66,<FFF5> <FFF3> <FF03> <FFF5>,<FFF5> Uiii. <FFF3> is strong.<FF03>Woman of flesh speaks correct!<FFF5>  So cold here,,por_traducir,
talk_mayoeru_00017,22,, Nothing to talk about,,por_traducir,
talk_mayoeru_00018,28,<FF03>,<FF03>Envious of those with flesh,,por_traducir,
