id,archivo_origen,offset_inicio,offset_fin,longitud_original_bytes,texto_original,texto_traducido,notas,estado
talk_kokuri_00000,talk/kokuri.bin,8374,8388,14,K-I-L-L,,sin palabras reconocibles (probable gráfico/opcode),revisar
talk_kokuri_00001,talk/kokuri.bin,8418,8434,16, C-R-A-P,,sin palabras reconocibles (probable gráfico/opcode),revisar
talk_kokuri_00002,talk/kokuri.bin,8550,8564,14,S-H-U-T,,sin palabras reconocibles (probable gráfico/opcode),revisar
talk_kokuri_00003,talk/kokuri.bin,8598,8616,18,C-R-U-E-L,,sin palabras reconocibles (probable gráfico/opcode),revisar
talk_kokuri_00004,talk/kokuri.bin,8782,8796,14,S-H-U-T,,sin palabras reconocibles (probable gráfico/opcode),revisar
talk_kokuri_00005,talk/kokuri.bin,8942,8956,14,S-H-U-T,,sin palabras reconocibles (probable gráfico/opcode),revisar
talk_kokuri_00006,talk/kokuri.bin,9070,9084,14,S-H-U-T,,sin palabras reconocibles (probable gráfico/opcode),revisar
talk_kokuri_00007,talk/kokuri.bin,9198,9212,14,K-I-L-L,,sin palabras reconocibles (probable gráfico/opcode),revisar
talk_kokuri_00008,talk/kokuri.bin,9242,9258,16, C-R-A-P,,sin palabras reconocibles (probable gráfico/opcode),revisar
talk_kokuri_00009,talk/kokuri.bin,9358,9372,14,K-I-L-L,,sin palabras reconocibles (probable gráfico/opcode),revisar
talk_kokuri_00010,talk/kokuri.bin,9402,9418,16, C-R-A-P,,sin palabras reconocibles (probable gráfico/opcode),revisar
talk_kokuri_00011,talk/kokuri.bin,9518,9532,14,S-H-U-T,,sin palabras reconocibles (probable gráfico/opcode),revisar
talk_kokuri_00012,talk/kokuri.bin,9654,9668,14,K-I-L-L,,sin palabras reconocibles (probable gráfico/opcode),revisar
talk_kokuri_00013,talk/kokuri.bin,9686,9704,18,C-R-U-E-L,,sin palabras reconocibles (probable gráfico/opcode),revisar
talk_kokuri_00014,talk/kokuri.bin,9758,9772,14,S-H-U-T,,sin palabras reconocibles (probable gráfico/opcode),revisar
talk_kokuri_00015,talk/kokuri.bin,9894,9908,14,S-H-U-T,,sin palabras reconocibles (probable gráfico/opcode),revisar
talk_kokuri_00016,talk/kokuri.bin,10022,10036,14,K-I-L-L,,sin palabras reconocibles (probable gráfico/opcode),revisar
talk_kokuri_00017,talk/kokuri.bin,10054,10072,18,C-R-U-E-L,,sin palabras reconocibles (probable gráfico/opcode),revisar
talk_kokuri_00018,talk/kokuri.bin,10126,10140,14,K-I-L-L,,sin palabras reconocibles (probable gráfico/opcode),revisar
talk_kokuri_00019,talk/kokuri.bin,10262,10278,16, S-U-C-K,,sin palabras reconocibles (probable gráfico/opcode),revisar
talk_kokuri_00020,talk/kokuri.bin,10374,10388,14,K-I-L-L,,sin palabras reconocibles (probable gráfico/opcode),revisar
talk_kokuri_00021,talk/kokuri.bin,10406,10424,18,C-R-U-E-L,,sin palabras reconocibles (probable gráfico/opcode),revisar
talk_kokuri_00022,talk/kokuri.bin,10478,10492,14,K-I-L-L,,sin palabras reconocibles (probable gráfico/opcode),revisar
talk_kokuri_00023,talk/kokuri.bin,10598,10612,14,S-H-U-T,,sin palabras reconocibles (probable gráfico/opcode),revisar
talk_kokuri_00024,talk/kokuri.bin,10686,10700,14,S-H-U-T,,sin palabras reconocibles (probable gráfico/opcode),revisar
talk_kokuri_00025,talk/kokuri.bin,10746,10762,16, C-R-A-P,,sin palabras reconocibles (probable gráfico/opcode),revisar
talk_kokuri_00026,talk/kokuri.bin,10878,10894,16, S-U-C-K,,sin palabras reconocibles (probable gráfico/opcode),revisar
talk_kokuri_00027,talk/kokuri.bin,10990,11004,14,S-H-U-T,,sin palabras reconocibles (probable gráfico/opcode),revisar
talk_kokuri_00028,talk/kokuri.bin,11238,11252,14,K-I-L-L,,sin palabras reconocibles (probable gráfico/opcode),revisar
talk_kokuri_00029,talk/kokuri.bin,11270,11288,18,C-R-U-E-L,,sin palabras reconocibles (probable gráfico/opcode),revisar
talk_kokuri_00030,talk/kokuri.bin,11342,11356,14,S-H-U-T,,sin palabras reconocibles (probable gráfico/opcode),revisar
