id,limite_chars,tokens_protegidos,texto_original,texto_traducido,estado,notas
talk_polutar_00001,73,<FF02> <FF04> <FFF5> <FFFD> <02FF> <F500>,"<FF02><FF04>Hyuk hyuk. You're funny, mister.<FFF5>  Uuurrrrgh. You wanna fight.?<FFFD><02FF><F500> Hyuk",,por_traducir,
talk_polutar_00003,59,<FFF5> <FF03>,<FFF5>   Hyuk hyuk. I think I'm starting to<FF03>believe what you say,,por_traducir,
talk_polutar_00004,66,<FFF5> <FF03> <FFF0> <FFF5>,"<FFF5> It's not easy to pick me up, you know.<FF03>I'm not a cheap <FFF0>.<FFF5>  Hyuk",,por_traducir,
talk_polutar_00005,47,<FF03>," Your face is scary when you talk<FF03>to me, mister",,por_traducir,
talk_polutar_00006,63,<FFFD> <03FF> <F500> <FF03> <FFF5>,<FFFD><03FF><F500>Uuuurrrgh. My brain is rotting.<FF03>I hate stuff that rots.<FFF5>Hyuk,,por_traducir,
talk_polutar_00007,36,<FF03>," Your throat's all messed up,<FF03>mister",,por_traducir,
talk_polutar_00008,229,<FFF5> <FF03> <FFFD> <04FF> <F500> <FF03> <FFF5> <FFF5> <FF03> <FFF5> <FF03> <FFF5>,"<FFF5> Ooohehehe. You rock, mister. Encore.<FF03>Encore. Sing another song.<FFFD><04FF><F500>  Why are you so desperate? Hyuk hyuk<FF03>hyuk hyuk.<FFF5> No way.<FFF5>You need me? Really? Yaaaaaay.<FF03>I'm so happy.<FFF5>   Uuuurrrgh. I won't fall for your<FF03>sweet talk, lady.<FFF5> Eep",,por_traducir,
talk_polutar_00010,27,<FF03>, Are you scheming<FF03>something,,por_traducir,
talk_polutar_00011,297,<FFFD> <05FF> <F500> <FF03> <FFF0> <FF02> <FF04> <FFF5> <FF03> <FF02> <FF04> <FFFD> <06FF> <F500> <FF03> <FFF5> <FF03>,"<FFFD><05FF><F500>  Ooohehehe. You really know how it feels<FF03>to be a <FFF0>, lady!<FF02><FF04>Maybe you're a ghost too?<FFF5>Hyuk hyuk. You say some funny things<FF03>sometimes, lady.<FF02><FF04>How do you come up with your jokes?<FFFD><06FF><F500>   There's no way that's true. You must be<FF03>dumb. Stupidhead.<FFF5>  Ooohehehe. I always knew it. I just<FF03>had that feeling",,por_traducir,
talk_polutar_00012,155,<FFF5> <FFF5> <FFF5> <FF03> <FFF5>,"<FFF5>Hyuk hyuk. Why are you so scared?<FFF5>  Uuuurrrrgh. You're even noisier than me.<FFF5>   Ooohehehe. I'm scary. Rarrr.<FF03>Oooheeheeheeee.<FFF5>   Hyuk hyuk. Mister, are you",,por_traducir,
