id,limite_chars,tokens_protegidos,texto_original,texto_traducido,estado,notas
talk_youen_00001,34,<FF03>, it doesn't SEEM<FF03>like you're lying,,por_traducir,
talk_youen_00002,21,<FFF5>,"<FFF5>   Wow, you're young",,por_traducir,
talk_youen_00003,149,<FF03> <FFFD> <00FF> <F500> <FF03> <FFF5>, you have a pretty<FF03>level head to try and persuade a demon.<FFFD><00FF><F500>   Hey. Don't just say the first thing that<FF03>pops into your head.<FFF5>  Something seems fishy,,por_traducir,
talk_youen_00004,278,<FF03> <FFFD> <01FF> <F500> <FF03> <FF03> <FFF5> <FFFD> <02FF> <F500> <FF03> <FF03> <FFF5>," Do you really<FF03>mean what you say?<FFFD><01FF><F500>Whatever you say, you're still interested<FF03>in me, right? With a figure like mine,<FF03>you must be.<FFF5>  So that's why you need my help.<FFFD><02FF><F500>  I see! You have that much confidence in<FF03>yourself? I'd love to put that to<FF03>the test.<FFF5>You seem pretty strong! So",,por_traducir,
talk_youen_00005,249,<FF03> <FFFD> <03FF> <F500> <FF03> <FFF5> <FF03> <FF03> <FFFD> <04FF> <F500>," what are<FF03>you going to do to me, hmmm?<FFFD><03FF><F500>  Oh, is that so? If you prefer, I wouldn't<FF03>mind fighting you without holding back.<FFF5>  Well, if nothing else, you have quite the<FF03>silver tongue! Where'd you learn to talk<FF03>like that?<FFFD><04FF><F500>Why are you threatening me",,por_traducir,
talk_youen_00006,29,<FFF5>,<FFF5> Don't make such awful faces,,por_traducir,
talk_youen_00008,34,<FF03>, it doesn't SEEM<FF03>like you're lying,,por_traducir,
talk_youen_00009,165,<FFF5> <FF03> <FFFD> <06FF> <F500> <FF03> <FFF5>,"<FFF5>   You're young, but you've got backbone,<FF03>inviting a demon to come along!<FFFD><06FF><F500>   Hey. Don't just say the first thing that<FF03>pops into your head.<FFF5>  Something seems fishy",,por_traducir,
talk_youen_00010,67,<FF03> <FFFD> <07FF> <F500>, Do you really<FF03>mean what you say?<FFFD><07FF><F500>I'm not into that kind of thing,,por_traducir,
talk_youen_00011,97,<FFF5> <FF03> <FFFD> <08FF> <F500>,<FFF5> Psh. You're just sweet-talking me so<FF03>you can kidnap me.<FFFD><08FF><F500>  You've got a nice voice for a human,,por_traducir,
talk_youen_00012,116,<FF03> <FF03> <FFF5> <FF03> <FFFD> <09FF> <F500>,<FF03>Let's hear what it sounds like when<FF03>you scream.<FFF5> Is that a challenge to a fellow chanteuse?<FF03>Then I accept.<FFFD><09FF><F500>You're,,por_traducir,
talk_youen_00013,15,, better than me,,por_traducir,
talk_youen_00014,121,<FF03> <FFF5> <FF03> <FFFD> <0AFF> <F500> <FF03>," What am<FF03>I supposed to do?<FFF5> You're killing my brain cells.<FF03>Stop, please.<FFFD><0AFF><F500> You've got a long way to go to catch up<FF03>to me",,por_traducir,
talk_youen_00015,60,<FFF5> <0056> <0056> <FFFD> <0BFF> <F500>, but you're pretty good.<FFF5>   <0056>dreamy sigh<0056><FFFD><0BFF><F500>You want me? Hmm,,por_traducir,
talk_youen_00016,34,<FF03>, it doesn't SEEM<FF03>like you're lying,,por_traducir,
talk_youen_00017,21,<FFF5>,"<FFF5>   Wow, you're young",,por_traducir,
talk_youen_00018,149,<FF03> <FFFD> <0CFF> <F500> <FF03> <FFF5>, you have a pretty<FF03>level head to try and get a demon's help.<FFFD><0CFF><F500> Hey. Don't just say the first thing that<FF03>pops into your head.<FFF5>  Something seems fishy,,por_traducir,
talk_youen_00019,316,<FF03> <FFFD> <0DFF> <F500> <FF03> <FF03> <FFF5> <FFFD> <0EFF> <F500> <FF03> <FFF5> <FF03> <FFFD> <0FFF> <F500>," Do you really<FF03>mean what you say?<FFFD><0DFF><F500>Whatever you say, you're still interested<FF03>in me, right? With a figure like mine,<FF03>you must be.<FFF5>  So that's why you need my help.<FFFD><0EFF><F500>  Don't you have any pride? I hate mousy<FF03>girls like you.<FFF5> Stop trying the obvious. Don't think I<FF03>don't know what you're really after.<FFFD><0FFF><F500>  Hey, stop it",,por_traducir,
talk_youen_00020,23,, You're creeping me out,,por_traducir,
talk_youen_00021,92,<FFF5> <FF03> <FF03> <FFF9>,"<FFF5>  Oh, no, I'm nothing compared to the<FF03>others! And may I say you look as strong<FF03>as always, <FFF9>",,por_traducir,
talk_youen_00022,60,<FFFD> <10FF> <F500> <FF03> <FFF5>,<FFFD><10FF><F500> Yes. That's how things should be.<FF03>Kneel before me.<FFF5> Ahhh,,por_traducir,
talk_youen_00023,51,<FF03>, Why am I so perfect?<FF03>My own greatness frightens me,,por_traducir,
talk_youen_00024,35,<FFFD> <11FF> <F500>,"<FFFD><11FF><F500>In other words, you want me? Hmm",,por_traducir,
talk_youen_00025,34,<FF03>,<FF03>it doesn't SEEM like you're lying,,por_traducir,
talk_youen_00026,169,<FFF5> <FF03> <FFFD> <12FF> <F500> <FF03> <FFF5>,"<FFF5>   Wow, you're young, but you think about<FF03>things like that, too! Good for you.<FFFD><12FF><F500>  Hey. Don't just say the first thing that<FF03>pops into your head.<FFF5>  Something seems fishy",,por_traducir,
talk_youen_00027,278,<FF03> <FFFD> <13FF> <F500> <FF03> <FF03> <FFF5> <FF03> <FFFD> <14FF> <F500> <FF03> <FF03> <FFF5>," Do you really<FF03>mean what you say?<FFFD><13FF><F500>Whatever you say, you're still interested<FF03>in me, right? With a figure like mine,<FF03>you must be.<FFF5>  So when you get down to it, you need<FF03>my help.<FFFD><14FF><F500>You seem to have an innate understanding<FF03>of your true strength! That's a very<FF03>good thing!<FFF5>  Oh, my",,por_traducir,
talk_youen_00028,259,<FF03> <FFFD> <15FF> <F500> <FF03> <FFF5> <FF03> <FFFD> <16FF> <F500> <FF03> <FFF5>," I was afraid you were an idiot,<FF03>but you're actually very smart!<FFFD><15FF><F500>Don't you have any pride? I hate mousy<FF03>girls like you.<FFF5> Stop trying the obvious. Don't think I<FF03>don't know what you're really after.<FFFD><16FF><F500>  Yes. That's how things should be.<FF03>Kneel before me.<FFF5> Ahhh",,por_traducir,
talk_youen_00029,51,<FF03>, Why am I so perfect?<FF03>My own greatness frightens me,,por_traducir,
talk_youen_00030,45,<FFFD> <17FF> <F500> <FF03>,<FFFD><17FF><F500>You're hitting on a demon? What an odd<FF03>boy,,por_traducir,
talk_youen_00031,28,<FFF5>," Still, you're a cute one.<FFF5>I",,por_traducir,
talk_youen_00032,47,<FF03>, I guess I wouldn't mind having<FF03>dinner with you,,por_traducir,
talk_youen_00033,186,<FFFD> <18FF> <F500> <FFF5> <FFFD> <19FF> <F500> <FFF5> <FFF5> <FF03>,"<FFFD><18FF><F500>   Hey. I'm out of your league, kid.<FFF5>  I'm not the easy pickup you think I am.<FFFD><19FF><F500>  I'm scaaaaaared.<FFF5>   I'm scaaaaaared.<FFF5>   Reaaaally? Awwww, no way. But I already<FF03>have a boyfriend, so",,por_traducir,
talk_youen_00034,37,<FFF5>, sorry!<FFF5> Are you hitting on me? Ahaha,,por_traducir,
talk_youen_00035,17,<FF03>,<FF03>What should I do,,por_traducir,
talk_youen_00036,122,<FFFD> <1AFF> <F500> <FFF5> <FFFD> <1BFF> <F500> <FFF5> <FFFD>,<FFFD><1AFF><F500> Someone like you is actually very smart!<FFF5>   What was that?<FFFD><1BFF><F500>   Enough is enough.<FFF5>  What's so interesting about that?<FFFD>,,por_traducir,
talk_youen_00038,197,<FFF5> <FF03> <FFFD> <1DFF> <F500> <FF03> <FFF5> <FF03> <FFFD> <1EFF> <F500>,"<FFF5> What's wrong.? You suddenly blurted out<FF03>a joke.<FFFD><1DFF><F500>  You're pretty funny. Not as funny as your<FF03>face, though!<FFF5>No way, you're funny. Want to debut as<FF03>a pro? I'll be your manager!<FFFD><1EFF><F500>  Huh, is that so",,por_traducir,
talk_youen_00039,380,<FF03> <FFF5> <FFFD> <1FFF> <F500> <FF03> <FF03> <FFF5> <FF03> <FFFD> <20FF> <F500> <FF03> <FFF5> <FFFD> <21FF> <F500> <FF03>," The human world<FF03>sounds complicated too!<FFF5>Don't you have more interesting news?<FFFD><1FFF><F500>I don't care about that stuff! If you're<FF03>going to tell a story, make it a more<FF03>interesting one.<FFF5>This isn't the place for small talk.<FF03>Take this seriously.<FFFD><20FF><F500>Then I'll tell you an interesting story<FF03>afterwards, too.<FFF5>   All girls love gossip.<FFFD><21FF><F500>   All that, just to get my attention?<FF03>You're such a child",,por_traducir,
talk_youen_00040,174,<FFF5> <FFFD> <22FF> <F500> <FF03> <FFF5> <FFFD> <23FF> <F500> <FFF5>,"<FFF5> What was that?<FFFD><22FF><F500>   Wh-What the.? Sheesh. Don't surprise me<FF03>like that.<FFF5> What was that for.? You moron.<FFFD><23FF><F500>   Eeeeek. Wh-What was that for?<FFF5>  I won't do anything, okay? Relax",,por_traducir,
