id,limite_chars,tokens_protegidos,texto_original,texto_traducido,estado,notas
e1_00024,136,<FF02> <FF01> <FF1B> <FF03> <FF02> <FF0E> <FF01> <FF1B> <FF03>," Your presence is welcome!<FF02><FF01> <FF1B>Agastya Tree<FF03>Will you inscribe your story on me?<FF02><FF0E> <FF01>   <FF1B>Agastya Tree<FF03>Take care on your journey, young ones",,por_traducir,
e1_00031,16,<FF02> <FF04> <FF1B> <FF03>,<FF02><FF04><FF1B>Ayase<FF03>Huh? Uh,,por_traducir,
e1_00032,26,<FF02> <FF01> <FF1B> <FF03>, where am I?<FF02><FF01> <FF1B>Yukino<FF03>Hey,,por_traducir,
e1_00033,114,<FF03> <FF02> <FF01> <FF1B> <FF03> <FF02> <FF01> <FF1B> <FF03> <FF02> <FF01> <FF1B> <FF03>, This is the courtyard. What the<FF03>hell's going on here.?<FF02><FF01> <FF1B>Ayase<FF03>Whoa. Look.<FF02><FF01><FF1B>Yukino<FF03>Ms! Saeko.<FF02><FF01><FF1B>Yukino<FF03>What the,,por_traducir,
e1_00034,21,<FF02> <FF01> <FF1B> <FF03>,<FF02><FF01>  <FF1B>Ms! Saeko<FF03>Hahaha,,por_traducir,
e1_00035,57,<FF03> <FF02> <FF01> <FF1B> <FF03>, Finally. I've been waiting<FF03>so long.<FF02><FF01>  <FF1B>Yukino<FF03>Ms! Saeko,,por_traducir,
e1_00036,23,<FF02> <FF01> <FF1B> <FF03>,<FF02><FF01> <FF1B>Ms! Saeko<FF03>Saeko? Oh,,por_traducir,
e1_00037,47,<FF02> <FF04> <FF1B> <FF03>, I see what's happening!<FF02><FF04><FF1B>Ms! Saeko<FF03>Poor Saeko,,por_traducir,
e1_00038,132,<FF02> <FF01> <FF1B> <FF03> <FF02> <FF04> <FF1B> <FF03> <FF03> <FF02> <FF01> <FF1B> <FF03>, Hahahah!<FF02><FF01><FF1B>Yukino<FF03>Huh? But you are Saeko.<FF02><FF04><FF1B>Yukino<FF03>Are you okay.? Did you trip and hit<FF03>your head or something?<FF02><FF01>  <FF1B>Ms! Saeko<FF03>Hahaha,,por_traducir,
e1_00039,53,<0028> <0028> <FF02> <FF04> <FF1B> <FF03>," <0028>I wore it, and I'm okay,<0028> eh?<FF02><FF04><FF1B>Ms! Saeko<FF03>Teeheehee",,por_traducir,
e1_00040,73,<FF03> <FF02> <FF04> <FF1B> <FF03>, Ahahaha. That's the Saeko<FF03>I remember so well!<FF02><FF04><FF1B>Ms! Saeko<FF03>Self-confident,,por_traducir,
e1_00041,14,, self-centered,,por_traducir,
e1_00042,220,<FF02> <FF04> <FF1B> <FF03> <FF03> <FF02> <FF01> <FF1B> <FF03> <FF02> <FF04> <FF1B> <FF03> <FF03> <FF02> <FF01> <FF1B> <FF03> <FF02> <FF04> <FF1B> <FF03>,"<FF02><FF04><FF1B>Ms! Saeko<FF03>She'd step on anyone to get to be the<FF03>center of attention!<FF02><FF01>  <FF1B>Yukino<FF03>What's wrong with you.?<FF02><FF04><FF1B>Yukino<FF03>Stop with the jokes, 'cause they<FF03>aren't funny.<FF02><FF01>   <FF1B>Ms! Saeko<FF03>Jokes?<FF02><FF04><FF1B>Ms! Saeko<FF03>Look around you! Hahaha",,por_traducir,
