id,limite_chars,tokens_protegidos,texto_original,texto_traducido,estado,notas
talk_kemono_00001,69,<FF03> <FFF5>, ME UNDERSTAND PERSUASION!<FF03>ME LIKE YOU IF YOU GOOD NEGOTIATOR!<FFF5>  HMMM,,por_traducir,
talk_kemono_00002,285,<FF03> <FFF1> <FFF5> <FFF0> <FF02> <FF04> <FFF5> <FFF0> <FF02> <FF04> <FF02> <FF04> <FFFD> <00FF> <F500> <FFF3> <FF02> <FF04> <FFF5> <FF02> <FF04> <FFFD> <01FF> <F500>, ME UNDERSTAND YOU WANT ME!<FF03>GIVE ME SOMETHING! THEN ME LIKE YOU!<FFF1><FFF5>   YOU HUMAN ME <FFF0>.<FF02><FF04>BLOOD NO MATCH! NO CARD FOR YOU.<FFF5>  YOU HUMAN ME <FFF0>.<FF02><FF04>BLOOD NO MATCH.<FF02><FF04>YOU ANNOYING. ROOARRR. SHUT UP.<FFFD><00FF><F500>ME <FFF3>! YOU PERSUADE ME!<FF02><FF04>AWOOOO. ME HAPPY!<FFF5>  YOU PERSUADE! ME HAPPY!<FF02><FF04>YOU WANT MY POWER?<FFFD><01FF><F500>  HMMM,,por_traducir,
talk_kemono_00003,48,<FF02> <FF04> <FFFD> <02FF> <F500>, YOU CONFIDENT!<FF02><FF04>ME STRONG! YOU STRONG?<FFFD><02FF><F500>   HMM,,por_traducir,
talk_kemono_00004,18,, YOU RECKLESS! HMM,,por_traducir,
talk_kemono_00006,204,<FFF5> <FF02> <FF04> <FFF1> <FFF5> <FFF3> <FF02> <FF04> <FFF5> <0056> <0056> <FF03> <FFFD> <03FF> <F500> <0056> <0056>, WE GO GOOD TOGETHER!<FFF5>   ROOOOARRR. ME MAD NOW.<FF02><FF04>ME EAT YOU WHOLE. YOU GIVE SOMETHING.<FFF1><FFF5> YOU TAUNT <FFF3>.?<FF02><FF04>ROAAAAR. ME MAD. YOU HATE.<FFF5>  <0056>whimper<0056> ME TIRED! HIBERNATING! YOU NO<FF03>BOTHER!<FFFD><03FF><F500>  <0056>whimper<0056> YOU SCARY,,por_traducir,
talk_kemono_00008,20,<FF03>,<FF03>BUT ME CAN'T GO NOW,,por_traducir,
talk_kemono_00009,73,<FF02> <FF04> <FFF1> <FFF5>, ME UNDERSTAND! YOU SCOUTING!<FF02><FF04>GIVE ME SOMETHING AND ME HELP YOU!<FFF1><FFF5>   HMM,,por_traducir,
talk_kemono_00010,29,<FF02> <FF04>, YOU SCOUT ME! ME HAPPY!<FF02><FF04>HMM,,por_traducir,
talk_kemono_00011,140,<FFFD> <04FF> <F500> <FFF0> <FF02> <FF04> <FFF5> <FFF3> <FF03> <FFFD>," ME HAVE NO TRICKS! STILL OK?<FFFD><04FF><F500>  YOU HUMAN. ME, <FFF0>. BLOOD NO MATCH.<FF02><FF04>ROAAAAR. THINK BEFORE TALK.<FFF5> ROAAAAAR. YOU ANNOYING <FFF3>. YOU<FF03>UNDERSTAND?<FFFD>",,por_traducir,
talk_kemono_00012,62,<0056> <FF02> <FF04> <0056> <0056>,whimper<0056> WHAT SHOULD ME DO?<FF02><FF04><0056>whimper<0056> ME NO UNDERSTAND HUMANS,,por_traducir,
talk_kemono_00013,39,<FFFD> <06FF> <F500> <0056> <0056>,<FFFD><06FF><F500>   <0056>whimper<0056> ME HAPPY YOU SCOUTED ME,,por_traducir,
talk_kemono_00014,177,<FF02> <FF04> <FFF5> <FF02> <FF04> <FFF1> <FFF5> <FF02> <FF04> <FFF5>,<FF02><FF04>BUT THIS TRAP? ME NO LIKE DANGER!<FFF5>YOU BAD. BAD SONG.<FF02><FF04>ROAAAAAR. ME MAD. GIVE SOMETHING.<FFF1><FFF5> ME LIKE THAT SONG. BUT YOU SUCK.<FF02><FF04>ROAAAR. BAD SINGER. ME CANNOT UNHEAR.<FFF5>HORRIBLE SONG,,por_traducir,
talk_kemono_00015,14,, ME HEAD HURTS,,por_traducir,
talk_kemono_00016,13,<FF03>,<FF03>YOU STOP NOW,,por_traducir,
talk_kemono_00018,14,, ME HEAD HURTS,,por_traducir,
talk_kemono_00019,42,<FF02> <FF04> <0056> <0056> <FF03>,<FF02><FF04><0056>whimper<0056> ME NO LIKE THAT SONG!<FF03>YOU STOP,,por_traducir,
talk_kemono_00020,139,<FFF5> <FF03> <FFF5> <FF02> <FF04> <FF03> <FFFD> <08FF> <F500>,<FFF5>  AWOOOO. ME HAPPY. YOU GOOD VOICE.<FF03>ME LIKE.<FFF5> AWOOO. ME LIKE SONGS!<FF02><FF04>YOU HAVE GOOD VOICE! ME HAPPY! ME HEAR<FF03>YOU SING MORE SONGS.<FFFD><08FF><F500>   HMMM,,por_traducir,
talk_kemono_00021,66,<FF03> <FF02> <FF04>,ME UNDERSTAND YOU NEED ME!<FF03>ME LIKE YOU IF YOU NEGOTIATE WELL!<FF02><FF04>HMM,,por_traducir,
talk_kemono_00022,43,<FF03> <FFFD> <09FF> <F500>, ME LIKE BLUE! WHAT COLOR YOU<FF03>LIKE?<FFFD><09FF><F500>  HMM,,por_traducir,
