id,archivo_origen,offset_inicio,offset_fin,longitud_original_bytes,texto_original,texto_traducido,notas,estado
sys_00000,sys.bin,196,2304,2108,  <3000> <4000> <4090>   ``<0300>`<4000>                                                                                                                                                                                           <0050>       T<0200>                                  <0041>   <0041>   U   U   $   $                                   <0030><FE2D>   <B100>  A<8DBE>   <F400>  U<01F4>   <F300>  )R   <F000>   H   <C000>                  <0035>   <0023>   <50CD>   <00BC>   <10AE>   -   <0015>   <0023>                                    <8000>   <7200>   <F803>   <F504>   <3700>   <6004>                                           <6C09>   <C401>   <8F0C>   <FB08>       <4E0C>       a                                      <1004>       <106F>       I       R<0600>                                  <0054>       =`  <0059>   <10DE><0200>  <004F>   <0085>   <100F>       <1004>               2                   <0048>       <008F>       <006C>                                       U   U   U   U       1       <0060>                    <607F>   <C000>   <F10B>   <B000>   <F401>   <3000>   <6200>   <C200>   <C400>   <B100>   <6200>                                                                                                                                                                                                                              ,,baja densidad de texto (posible mezcla con datos),revisar
sys_00001,sys.bin,2624,2756,132, W<6F00>  [<3F00>  <0060><FF06>  <00A0><FF03>   <F54F>   <FA1F>              $<1C00>      <30FF><DF01>  <0010>   <F77F><FA4F>  B<2C02> %<FF06><90FF><2A00> Y,,carácter repetido dominante (probable relleno gráfico),revisar
sys_00002,sys.bin,2784,2890,106, <D07F><F51E> <10F4><FFFF><FFFF><0F01>                    <F4FF><8FFC>W<0400> U<0500> )]<05FB><0400> ^<4644>`)=<1AFF><0400> <80FF><FFFF><0D00>),,carácter repetido dominante (probable relleno gráfico),revisar
sys_00003,sys.bin,4088,4284,196, <8688><8808>                                                          <B900>   <00A1><AF00> <0040><2F00>    <FA0A> 1<0800>    <80CF>`8     W<1D00><204F>     ,,sin palabras reconocibles (probable gráfico/opcode),revisar
sys_00004,sys.bin,4696,5360,664,    Q<4F00>T<1F00>             <6048>   <0080>?  <C08F>   H<700E>  <A07F>   0<F00C>  <901F>   <00FF><F00F>  <6005>   <0088><8008>                          <8008><8802>   <8317>  <F00F><FF04>  <0030><FF03>  <D00F><FD03>  1<6F00>  <B00B><BA00>  W<0C00>  <9002><2900>  ^<0400>      <00FF>       <30CF>           <5058>    <C604>  <10FD><0600>  G<CF03>  R<3F00>  @<0400>  <0060><CF00>  <008F>    <FE02>  <008F>    <F906>  <008F>    <F808>  <008F>           <B02A>   <0086><8804>  <80FF><3A00>  ]<CC06>  <0081><8F00>  -    <8F00>  -    <8F00>  -    <8F00>  -    <8F00>  -           <6088><4800>   <A23C>  <90CC><8F00>   <FE4D>   <8F00>   <BF00>   <8F00>   <CC00>   <8F00>   <EA00>   <8F00>  <0030><DF00>   <8F00>  !<2F00> ,,sin palabras reconocibles (probable gráfico/opcode),revisar
sys_00005,sys.bin,5624,7128,1504,                                                                                                                                 <10DF>       <00FF>`      [<0600>      S<1E00>      <0080><AF00>       <FA0A>       <4014>           <F808>  <008F>    <FB04>  <008F>   <0010><FF00>  <008F>   <0090><8F00>  <009F>   W<1D00>  ^<4C00>  <60FF><0200>  <0040><FC06>  <3024>    <2000>           <8F00>  -    <8F00>  -    <8F00>  -   <0010><8F00>  -   <20F8><6F00>  M<8804>  <E08F>`  ]<FF08>  <2000>                <8F00>  <0070><8F00>   <8F00>   <FB00>   <8F00>   <CC00>   <8F00>   <BD00>  <6088><8F00>   <FF06>  <C0FF><8F00>   <F66F>                          <609C>`   <B104>  <50FE><0A00>   <F903>  B<0C00>  <0040><9F00>  Q<0900>  1<1F00>  Q<0700>  Y<0600>  R<1D00>  <30CF>   <0050><CF00>  <C02F>           <700A>   <0090><5505>  <607F>   U<F407>  ]<0200>  <009E><D900>  T<0B00>  <704F><4F00>  <0080><5F00>  <F1C6><0A00>  <0010><FE01>  <CAF6>`   <F60A> <0030><3F9F>           <5055><0900>  <90CC><CC09>  <703F><4F00>  <C0CF><CC09>  <009D><E900>  <C00F>   U<F408>  <C00F>   <00A0><6C1F>  <C00F>   <0010><6FAC>  <C00F>    <F9F4><0300> <C00F>               <6088><8806>      <C040><440C>   <C009>  <C0E0><8806>   <F00C>  <C0C0>    <F00C>  <C0C0>    <F00C>  <C0C0>    <F00C>  <C0C0>               $<CC0A>      U<FF01>   <E40F>  U<6F00>   <840C>  U<0E00>   <840C>  U<0900>   <840C>  U<0800>   <840C>  U<0400>          <30CC><CC00>      Y<FF00>  <0041><0200>  !<FF00>  U<0800>  <0060><FF00>  U<0800>  <0010><FF00>  U<0800>   <FE00> ,,baja densidad de texto (posible mezcla con datos),revisar
sys_00006,sys.bin,7256,7346,90,]<FFFF><FFFF><0C00>]<FFFF><FFFF><0F00> U<0800>                         D<0500>D<0300>    V,,carácter repetido dominante (probable relleno gráfico),revisar
sys_00007,sys.bin,7352,8056,704,    <0030><FF07><F64F>      <F3DF><FF03>      <20FF><4F00>      <00B0><7F00>  <808F>   R<0900>  ^<0200>  Q<0800>  T<0C00>  !<0B00>  <0080><5F00>  Z<0C00>   <ED01>  <90FF><0500>   <F307>       <2000>           <FB04> <0010><8ECA>   <0040><BF00>  <F5F3><0600>  A<1F00>  <C07B><1F00>  Y<0500>  <205F><9D00>  <20BF>   I<F503>  <A01F>   B<A70A>  <0002>   <0020>            <ACE8>  <C00F>   <0060><3F5F>  <C00F>   R<C70C>  <C00F>   :<F502>  <C00F>   <305F><8E00>  <3004>   <A07A><1E00>       <0200>               <F00C>  <C0C0>    <F00C>  <C0C0>    <F00C>  <C0C0>    <F00C>  <C0C4>   <2044><F40C>  <6068>   <80FF><FF0C>      <2044><4403>               <840C>  U<0600>   <840C>  U<0800>   <840C>  U<0B00>   <840C>  U<2F00>  <40CE><6C0C>  U<BF00>  <408C><880E>  U<FF0A>  <1044><4404>   <2004>           <FC00> ,,baja densidad de texto (posible mezcla con datos),revisar
sys_00008,sys.bin,8064,8176,112,  <FF00>  U<0800>  <0030><FF00>  U<0800>  <00A0><FF00>  U<0800>  T<FF00>  U<0800>  <30FF><FF00>       <4300>             ,,carácter repetido dominante (probable relleno gráfico),revisar
sys_00009,sys.bin,8344,8522,178,    V<0A00>Y<0500>    <0020> <0020>                                               <0200>      <00A0><3F00>      <00A0><3F00>       ` ',,sin palabras reconocibles (probable gráfico/opcode),revisar
sys_00010,sys.bin,10120,10360,240,     Q<0800>      Q<0800>      Q<0800>      !<0600>                                                                                     <00B0><8F00>  ,,sin palabras reconocibles (probable gráfico/opcode),revisar
sys_00011,sys.bin,10736,10800,64,             <1044><0200>  X<03F9>` <F5FF><8F00>  [>  <FE7C><FF02> ,,carácter repetido dominante (probable relleno gráfico),revisar
sys_00012,sys.bin,10912,10938,26, !<0C00> 2<8F01>F<3F00> <03F0><0C20> Z,,sin palabras reconocibles (probable gráfico/opcode),revisar
