id,archivo_origen,offset_inicio,offset_fin,longitud_original_bytes,texto_original,texto_traducido,notas,estado
moon_00000,moon.bin,928,974,46,X<5E00>  <50FE><0700>X<5E00>[<0900>  _<0A00>[<0900>^<0600>  ]<0D00>^,,sin palabras reconocibles (probable gráfico/opcode),revisar
moon_00001,moon.bin,1052,1108,56,[<0900>  <C0FE><0700>X<5E00>    <B2FE><0A00>[<0900> <0020>  <B4FC><0D00>^<0600> <0040>  ,,sin palabras reconocibles (probable gráfico/opcode),revisar
moon_00002,moon.bin,3578,3618,40, T<0F00>W<0D00>^<BCBB><4B00> W<0D00>Z<0A00>[<BEBB><0400> Z<0A00>X,,baja densidad de texto (posible mezcla con datos),revisar
moon_00003,moon.bin,3628,3662,34,X<CFBB>[<BEBB><BB6B> Z<0A00>[<BDBB>^<BCBB><BB03> W<0D00>^,,carácter repetido dominante (probable relleno gráfico),revisar
moon_00004,moon.bin,3712,3798,86,^<BC49>  W<0D00>^<BC04>[<BE27>  Z<0A00>[<BE02><BB27> <50FE><0700>X<CFBB><0700> <6B00> Z<0A00>[<BE7B>  <0600> W<0D00>^<BC08>    T,,sin palabras reconocibles (probable gráfico/opcode),revisar
moon_00005,moon.bin,3836,3922,86,    W<0D00>^<0C00>    Z<0A00>[<0E00>  <50FE><0700>X<5E00>  <50FE><0700>Z<0A00>[<0900>  Z<0A00>W<0D00>^<0600>  W<0D00>T,,sin palabras reconocibles (probable gráfico/opcode),revisar
moon_00006,moon.bin,3928,3954,26,  T<0F00>R<0F00><00FF>`  R<0F00>T,,sin palabras reconocibles (probable gráfico/opcode),revisar
moon_00007,moon.bin,3960,4002,42,  T<0F00>W<0D00>^<0600>  W<0D00>Z<0A00>[<0900>  Z<0A00>X,,sin palabras reconocibles (probable gráfico/opcode),revisar
moon_00008,moon.bin,4734,4880,146,                 <0500> <7000> <7000> <1000> <3000> <0200> <1000>`<1000><1000>`<0200>  <3000> <4000> <6000>   <0200>`<0300>`<4000>       <F80F><FF0F><FF1F><FF2F><FF3F><FF4F><FF5F><FF6F><FF8F><FF9F><FFAF><FFBF><FFCF><FFDF><FFEF><FFFF>,,carácter repetido dominante (probable relleno gráfico),revisar
moon_00009,moon.bin,5776,6016,240,        <9C00>*<CC9C>     <CF00>]<8868>     <CF00>]<4414>     <CF00>]<FF4F>     <CF00>]      <FFCC><3CFC>      <8888><2886>      <0500> <7000> <7000> <1000> <3000> <0200> <1000>`<1000><1000>`<0200>  <3000> <4000> <6000>   <0200>`<0300>`<4000>        <FF1F><FF2F><FF3F><FF4F><FF5F><FF6F><FF7F><FF8F><FF9F><FFAF><FFBF><FFCF><FFDF><FFEF><FFFF>,,carácter repetido dominante (probable relleno gráfico),revisar
moon_00010,moon.bin,6658,6768,110, <7000> <7000> <1000> <3000> <0200> <1000>`<1000><1000>`<0200>  <3000> <4000> <6000>   <0200>`<0300>`<4000>       <0F0D>QQQQQ<FF0F><FF1F><FF2F><FF3F><FF4F><FF5F><FF6F><FF7F><FF8F><FF9F>,,carácter repetido dominante (probable relleno gráfico),revisar
moon_00011,moon.bin,9460,10452,992,      <AAAA><AAFB>      <AAAA><AABA>      <AAAA><AAAA>      <AAAA><AAAA>      <AAAA><AAAA>      <AAAA><AAAA>      <AAAA><AAAA>                                                                             <F0AB>       <00BF>       Q                                        <AAAA><AAAA>      <AAAA><AAAA>      <ABAA><AAAA>      <BFAA><AAAA>      <F0AB><AAAA>      <00BF><AAAA>      Q<ABAA>       <BFAA>                                                                                                                                       <F0AB>       <00BF>       1                                              <0500> <7000> <7000> <1000> <3000> <0200> <1000>`<1000><1000>`<0200>  <3000> <4000> <6000>   <0200>`<0300>`<4000>        QQQQQQQQQ,,carácter repetido dominante (probable relleno gráfico),revisar
