id,limite_chars,tokens_protegidos,texto_original,texto_traducido,estado,notas
talk_yakuza_00001,197,<FFF5> <FF03> <FF03> <FFF5> <FF03> <FFF5>,"<FFF5> You want a fist in yer face, punk.?<FF03>I don't trust no empty suits like you<FF03>who get interested in yakuza.<FFF5>Hey kid. You got a lot of guts talkin' to<FF03>those who walk the bloody path!<FFF5>  Ha, right, punk",,por_traducir,
talk_yakuza_00002,196,<FF03> <FF03> <FFF5> <FF03> <FFF5> <FF03>," Oh well! I guess yer<FF03>more manly than some weak-ass dude with<FF03>no spirit!<FFF5> You better cut the crap, kid! Or do you<FF03>wanna see what hell looks like.?<FFF5>   I'm being made fun of by a buncha<FF03>regular Joes",,por_traducir,
talk_yakuza_00003,26,<FF03>, Maybe it's time to<FF03>retire,,por_traducir,
talk_yakuza_00004,77,<FFF5> <FF03>,"<FFF5> If you're travelin' with me, you better<FF03>be ready to cross the gates of hell",,por_traducir,
talk_yakuza_00005,107,<FFF5> <FF03> <FFF5>,"<FFF5> In our world, we've got duty and<FF03>formalities! You can't ignore that.<FFF5>   I've exchanged cups with the Boss",,por_traducir,
talk_yakuza_00006,21,<FF03>,<FF03>I won't hurt a civvy,,por_traducir,
talk_yakuza_00007,66,<FFF5> <FF03> <FFF5>,<FFF5>   You wanna get decked.? No man sings<FF03>before me.<FFF5> You're singing,,por_traducir,
talk_yakuza_00009,29,<FF03>,<FF03>I guess honor is really dead,,por_traducir,
talk_yakuza_00010,164,<FFF5> <FF03> <FF03> <FFF5> <FF03>,"<FFF5>That song reminds me of myself in my<FF03>younger days! I see the shadow of a<FF03>yakuza in you!<FFF5>If you're travelin' with me, you better<FF03>be ready to cross the gates of hell",,por_traducir,
talk_yakuza_00011,474,<FFF5> <FF03> <FF03> <FFF5> <FF03> <FFF5> <FF03> <FF03> <FFF5> <FF03> <FFF5> <FF03> <FFF5> <FF03> <FF03>,"<FFF5> You wanna be a yakuza wife? You can't.<FF03>If ya stay happy, you just keep<FF03>mindin' the law.<FFF5>Hahaha, You're crazy to come lookin'<FF03>for help from a yakuza, girl.<FFF5> Whaddaya think you're doing.? Yakuza<FF03>aren't dumb enough to fall for some<FF03>broad's con job.<FFF5>  You tryin' to get on our good side?<FF03>You ain't an undercover cop, are ya?<FFF5>   Hahaha. The gang world doesn't move on<FF03>empty compliments!<FFF5>  You're interesting! In our world, it's<FF03>the smooth talkers that make their way<FF03>to the top",,por_traducir,
talk_yakuza_00012,19,, If they stay alive,,por_traducir,
talk_yakuza_00013,506,<FFF5> <FF03> <FF03> <FFF5> <FF03> <FFF5> <FF03> <FFF5> <FF03> <FF03> <FFF5> <FF03> <FFF5> <FF03> <FFF5> <FF03> <FFF5>,"<FFF5>  You better cut the crap, lady. Yakuza<FF03>aren't dumb enough to fall for some<FF03>broad's con job.<FFF5> You tryin' to con a yakuza.? Hahaha.<FF03>Damn shame that you're a woman!<FFF5>   Don't worry! Yakuza don't hurt the<FF03>civvies!<FFF5>Whaddaya gettin' all excited about.?<FF03>I don't give you law-abidin' citizens<FF03>a second thought.<FFF5>   Hahaha. Yakuza never bruise a woman's<FF03>face!<FFF5>You sniff too much product? Look real<FF03>close, I'm a man!<FFF5>What're you thinking.? Yakuza don't<FF03>drink tea with you nobodies.<FFF5>   You should get that checked out",,por_traducir,
talk_yakuza_00014,697,<FFF5> <FF03> <FFF5> <FF03> <FFF5> <FF03> <FF03> <FFF5> <FFF5> <FF03> <FFF5> <FF03> <FFF5> <FFF5> <FF03> <FF03> <FFF5> <FF03> <FF03> <FFF5> <FF03> <FF03> <FFF5> <FF03>,"<FFF5> You better quit with the jokes while<FF03>I'm still smilin'!<FFF5>Heh, funny! Yakuza gotta have a sense<FF03>of humor too, ya know!<FFF5>   You better cut the crap. I've killed<FF03>guys for tellin' better jokes than<FF03>that.<FFF5>  SAD DUMMY, APPARENTLY!<FFF5> You're funny! Who's your manager? I'll<FF03>buy him out!<FFF5>You wanna talk with a yakuza? Guess<FF03>there's some real crazies out there!<FFF5>   Pipe down a bit, will ya?<FFF5>  Haha, a yakuza and a civvy talkin' to<FF03>each other like old friends. Times<FF03>must be good!<FFF5> If you're set on followin' the law, you<FF03>better quit bein' stupid! Idiots don't<FF03>last long out there!<FFF5>You don't like having all ten fingers?<FF03>Or maybe we'll go straight to the dirt<FF03>nap!<FFF5> I'm being made fun of by a buncha<FF03>damn kids",,por_traducir,
talk_yakuza_00015,26,<FF03>, Maybe it's time to<FF03>retire,,por_traducir,
talk_yakuza_00016,561,<FFF5> <FF03> <FF03> <FFF5> <FF03> <FFF5> <FF03> <FFF5> <FF03> <FFF5> <FFF5> <FF03> <FFF5> <FF03> <FFF5> <FF03> <FF03> <FFF5>,"<FFF5>You're pretty understanding for a<FF03>civilian! I don't use my head when I<FF03>don't have to!<FFF5>  Don't mess with a yakuza. Bribes are<FF03>against the code.<FFF5> Hahaha. In this world, you gotta take<FF03>while the takin's good!<FFF5>  You're quite a looker! When you become<FF03>a politican, take care of us, alright?<FFF5>  Pipe down a bit, will ya?<FFF5>  Hahaha. You have a big head, and you<FF03>talk big too. Too funny, man!<FFF5> You've got balls, kid! Maybe you'd be<FF03>a good yakuza!<FFF5>   Hey, you wanna take a peek at hell?<FF03>If I don't use my sword once in a while,<FF03>the blade'll start cryin'!<FFF5>I ain't no civvy",,por_traducir,
talk_yakuza_00017,28,<FF03>, If you're from<FF03>another gang,,por_traducir,
talk_yakuza_00018,385,<FFF5> <FF03> <FFF5> <FF03> <FFF5> <FF03> <FFF5> <FF03> <FFF5> <FF03> <FFF5> <FF03> <FFF5>,"<FFF5> Kid, one day I'll hand you a cup<FF03>personally.<FFF5>   You must be ready to live in hell if<FF03>you're makin' fun of a yakuza, kid.<FFF5>   Hahaha. All demons who walk the<FF03>gangster's path end up like me!<FFF5>You're pretty good! We could use a<FF03>singer or two in our crew!<FFF5>  What an eyesore! I better swat this fly<FF03>with my sword!<FFF5> Hahaha. You're still young, kid! Go back<FF03>and train s'more!<FFF5> Ha, right, punk",,por_traducir,
talk_yakuza_00019,196,<FF03> <FF03> <FFF5> <FF03> <FFF5> <FF03>," Oh well! I guess yer<FF03>more manly than some weak-ass dude with<FF03>no spirit!<FFF5> You better cut the crap, kid! Or do you<FF03>wanna see what hell looks like.?<FFF5>   I'm being made fun of by a buncha<FF03>regular Joes",,por_traducir,
talk_yakuza_00020,26,<FF03>, Maybe it's time to<FF03>retire,,por_traducir,
