id,limite_chars,tokens_protegidos,texto_original,texto_traducido,estado,notas
talk_worm_00001,171,<FF03> <FFFD> <02FF> <F500> <FF03> <FFF5> <FF03> <FFF5> <FFF3> <FF03> <FFF1> <FFF5>, ME STRONG!<FF03>YOU STRONG TOO?<FFFD><02FF><F500> YOU RECKLESS. ME RECKLESS TOO.<FF03>HAHHHH. US GET ALONG GOOD.<FFF5>  GWAOOOOH. ME NO IN GOOD MOOD.<FF03>EAT YOU.<FFF5> ME <FFF3>.<FF03>ME HATE YOU. GIVE SOMETHING.<FFF1><FFF5>KRRR,,por_traducir,
talk_worm_00006,13,<FF03>, WANT GO<FF03>HOME,,por_traducir,
talk_worm_00007,23,, BUT NO CAN GO HOME YET,,por_traducir,
talk_worm_00008,178,<FFF5> <FF03> <FFF1> <FFF5> <FF03> <FFFD> <04FF> <F500> <FFF5> <FF03> <FFF3> <FFFD> <05FF> <F500>,<FFF5> HAHHHH. ME UNDERSTAND INVITATION.<FF03>GIVE SOMETHING.<FFF1><FFF5> HAHHHH. ME HAPPY WITH INVITATION.<FF03>OKAY ME NO DO TRICKS?<FFFD><04FF><F500>  GWAOHHHHH. NO.<FFF5> GWAOHHHH. YOU NOISY.<FF03>ME <FFF3>. UNDERSTAND?<FFFD><05FF><F500>   KRRR,,por_traducir,
talk_worm_00009,20,, WHAT YOU DO WITH ME,,por_traducir,
talk_worm_00011,24,, ME NO UNDERSTAND HUMANS,,por_traducir,
talk_worm_00013,39,<FF03>, ME WONDER ABOUT INVITATION!<FF03>HATE TRAPS,,por_traducir,
talk_worm_00014,103,<FFF5> <FF03> <FFF1> <FFF5> <FF03> <FFF5>,<FFF5>  GWAOHHHH. NO. YOU SING BAD.<FF03>GIVE SOMETHING.<FFF1><FFF5>   THAT ME SONG. GWAOHHHH.<FF03>ME NO FORGIVE YOU.<FFF5> BAD SONG,,por_traducir,
talk_worm_00015,15,, HEAD SPLITTING,,por_traducir,
talk_worm_00016,13,<FF03>,<FF03>YOU STOP NOW,,por_traducir,
talk_worm_00018,32,<FF03>, ME HATE THAT SONG!<FF03>YOU STOP NOW,,por_traducir,
talk_worm_00019,514,<FFF5> <FF03> <FFF5> <FF03> <FFFD> <08FF> <F500> <FF03> <FFFD> <09FF> <F500> <FF03> <FFF1> <FFF5> <FF03> <FFF5> <FFF3> <FF03> <FFFD> <0AFF> <F500> <FF03> <FFF1> <FFF5> <FF03> <FFFD> <0BFF> <F500> <FF03> <FFF5> <FF03> <FFFD> <0CFF> <F500>,"<FFF5> AWOOOOH. ME HAVE GREAT MOOD.<FF03>YOU HAVE NICE VOICE.<FFF5>  AWOOOH. ME LIKE SONGS. ME LISTEN<FF03>ALL KINDS OF SONGS.<FFFD><08FF><F500> HAHHHH. ME UNDERSTAND. ME LIKE<FF03>GREEN! WHAT COLOR YOU LIKE?<FFFD><09FF><F500>   HAHHHH. ME HELP. ME UNDERSTAND<FF03>YOU REQUEST! YOU GIVE SOMETHING.<FFF1><FFF5>   GWAOHHHH. YOU LOUD. ME HAVE<FF03>BAD MOOD.<FFF5>  GWAOHHHH. ME <FFF3>.<FF03>WHY YOU ASK ME THAT?<FFFD><0AFF><F500> ME HAPPY. YOU LIKE ME.<FF03>SO GIVE SOMETHING.<FFF1><FFF5> AWOOOOH. YOU REQUEST ME!<FF03>WANT ME POWER?<FFFD><0BFF><F500>  YOU KISS BUTT. ME HATE.<FF03>GWAOHHHH. RAGE.<FFF5>YOU TOO SILLY. ME SHRED.<FF03>BLOOD, GUSH GUSH.<FFFD><0CFF><F500>   HAVE BAD FEELING",,por_traducir,
talk_worm_00020,51,<FF03> <FFFD> <0DFF> <F500>, ME TEST YOU!<FF03>WHAT FOOD YOU LIKE?<FFFD><0DFF><F500> YOU FLATTER ME,,por_traducir,
talk_worm_00021,38,<FF03>, ME VERY<FF03>EMBARRASSED! THIS GO TOO GOOD,,por_traducir,
talk_worm_00022,460,<FFF5> <FF03> <FFF1> <FFF5> <FF03> <FFFD> <0EFF> <F500> <FF03> <FFF5> <FF03> <FFFD> <0FFF> <F500> <FF03> <FFF1> <FFF5> <FF03> <FFFD> <10FF> <F500> <FF03> <FFF1> <FFF5> <FF03> <FFFD> <11FF> <F500> <FFFD> <12FF> <F500>,<FFF5> AWOOOH. THAT RIGHT. YOU SAY GOOD<FF03>THING. ME TAKE SOMETHING.<FFF1><FFF5>ME HAVE GOOD MOOD. HOW MUCH YOU<FF03>LIKE ME?<FFFD><0EFF><F500> HAHHHH. ME SURPRISED. YOU KNOW<FF03>WEIRD THING. ME SHOCKED.<FFF5>HAHHHH. ME SURPRISED. WHERE YOU<FF03>HEAR THAT STORY?<FFFD><0FFF><F500> GWAOHHHH. ME HATE LIARS.<FF03>GIVE SOMETHING.<FFF1><FFF5>  NO LIES. ME HATE LIES.<FF03>ME CUT YOU OPEN.<FFFD><10FF><F500>  ME LOVE CRAZY STORIES. ME HAPPY.<FF03>SO GIVE SOMETHING.<FFF1><FFF5>   AWOOOOH. ME LOVE CRAZY STORIES.<FF03>TELL ME ONE.<FFFD><11FF><F500> HAHHHH. YOU SCARED? ME EAT YOU.<FFFD><12FF><F500>  HAHHHH. YOU SCARED,,por_traducir,
talk_worm_00023,124,<FF03> <FF03> <FFF1> <FFF5> <FFF3> <FF03> <FFF5> <FF03>," IT BECAUSE<FF03>ME STRONG? YOU GIVE SOMETHING,<FF03>ME LET GO.<FFF1><FFF5>GWAOHHHH. ME <FFF3>.<FF03>ME HATE COWARDS.<FFF5>   YOU COWARD. ME NO FIGHT<FF03>WEAKLINGS",,por_traducir,
talk_worm_00024,131,<FFF1> <FFF5> <FF03> <FFF1> <FFF5> <FF03>, GIVE SOMETHING.<FFF1><FFF5>  AWOOOH. THAT RIGHT. ME STRONGEST<FF03>ONE THERE IS. YOU GIVE PRESENT.<FFF1><FFF5>  ME HAVE GOOD MOOD. YOU GOOD AT<FF03>PRAISE. GOOD,,por_traducir,
talk_worm_00026,15,<FF02> <FF04>,<FF02><FF04>YUMMY IS GOOD,,por_traducir,
talk_worm_00027,42,<FF03> <FFFD> <13FF> <F500>, YOU HAVE THING<FF03>YOU LIKE EAT?<FFFD><13FF><F500>   YOU MAN,,por_traducir,
talk_worm_00029,83,<FF03> <FF02> <FF04> <FF03> <FFF5>, BUT YOU<FF03>HIT ON ME?<FF02><FF04>HAHHHH. YOU SAY WEIRD THING.<FF03>ME REAL HAPPY.<FFF5>   HAHHHH. YOU MAN,,por_traducir,
talk_worm_00031,53,<FF02> <FF04> <FFFD> <14FF> <F500>,<FF02><FF04>THAT NOT RIGHT. WHAT YOU WANT?<FFFD><14FF><F500> GWAOHHHH. YOU MAN,,por_traducir,
talk_worm_00033,86,<FF02> <FF04> <FF03> <FFFD> <15FF> <F500> <FFF5>,"<FF02><FF04>SOCIETY NEVER APPROVE. YOU BAD.<FF03>GO AWAY.<FFFD><15FF><F500> GWAOHHHH. GO HIT ON GIRL, IDIOT.<FFF5>   KRRR",,por_traducir,
talk_worm_00036,34,<FF02> <FF04> <FF03>,<FF02><FF04>ME NORMAL. YOU WEIRDO?<FF03>ME SCARED,,por_traducir,
talk_worm_00040,16,<FF02> <FF04>,<FF02><FF04>ME LIKE NORMAL,,por_traducir,
talk_worm_00041,118,<FFFD> <16FF> <F500> <FF02> <FF04> <FF03> <FFFD> <17FF> <F500>, WHAT ARE YOU?<FFFD><16FF><F500>   AWOOOH. YOU HIT ON ME. ME HAPPY.<FF02><FF04>QUESTION BEFORE DATE.<FF03>YOU WEAR PAJAMAS?<FFFD><17FF><F500>AWOOOOH. ME GIRL? GIRL,,por_traducir,
talk_worm_00042,148,<FF02> <FF04> <FF03> <FFF1> <FFF5> <FF03> <FFFD> <18FF> <F500> <FF03>,"<FF02><FF04>AWOOOOH. ME LOSE INTEREST.<FF03>GIVE SOMETHING.<FFF1><FFF5>YOU FUNNY HUMAN. HAVE MORE<FF03>FUNNY JOKES?<FFFD><18FF><F500>  ME UNDERSTAND JOKES. WILL JUDGE<FF03>FOR YOU, SO GIVE SOMETHING",,por_traducir,
talk_worm_00043,147,<FFF1> <FFF5> <FF03> <FFFD> <19FF> <F500> <FF03> <FF02> <FF04> <FF03> <FFF1> <FFF5>,"<FFF1><FFF5> YOU JOKES WORST. DO BETTER JOKES<FF03>NEXT TIME.<FFFD><19FF><F500>  GWAOHHHH. BAD JOKES.<FF03>YOU FAIL AT COMEDY.<FF02><FF04>GWAOHHHH. IF NO WANT FAIL,<FF03>THEN GIVE SOMETHING.<FFF1><FFF5> KRRR",,por_traducir,
talk_worm_00044,25,<FFFD> <1AFF> <F500>, WAS THAT JOKE?<FFFD><1AFF><F500>   KRRR,,por_traducir,
talk_worm_00045,25,<FF03>, ME NO UNDERSTAND!<FF03>BORING,,por_traducir,
talk_worm_00047,272,<FFF5> <FF02> <FF04> <FFF1> <FFF5> <FF02> <FF04> <FF03> <FFFD> <1BFF> <F500> <FF03> <FFFD> <1CFF> <F500> <FF02> <FF04>,"<FFF5>  AWOOOOH. YOU AWESOME. FUNNY JOKES.<FF02><FF04>AWOOOOH. ME LIKE. ME GET SOMETHING.<FFF1><FFF5>   AWOOOOH. YOU FUNNY. JOKES GREAT.<FF02><FF04>ME HAVE GOOD MOOD, WILL SING SONG.<FF03>YOU HAVE REQUEST?<FFFD><1BFF><F500>   HAHHHH. HUMANS INTERESTING!<FF03>LIKE STORIES THAT MUCH?<FFFD><1CFF><F500>  HAHHHH. WHY YOU TALK TO ME?<FF02><FF04>ME NO UNDERSTAND",,por_traducir,
talk_worm_00048,25,<FF03>, BUT IT FEEL KIND<FF03>OF NICE,,por_traducir,
talk_worm_00049,21,, SHOULD GET SOMETHING,,por_traducir,
talk_worm_00050,287,<FFF1> <FFF5> <FF03> <FFF5> <FF02> <FF04> <FF03> <FFFD> <1DFF> <F500> <FF03> <FFFD> <1EFF> <F500> <FF03> <FFF5> <FF03>,"<FFF1><FFF5>  YOU, HUMAN! ME, DRAGON.<FF03>TOO DIFFERENT TO TALK.<FFF5> YOU, HUMAN! ME, DRAGON.<FF02><FF04>ME NO UNDERSTAND YOU TALKING.<FF03>GOOD MATCH.<FFFD><1DFF><F500>   AWOOOOH. ME LIKE STORIES.<FF03>YOU LIKE STORIES?<FFFD><1EFF><F500>  AWOOOOH. ME DO SMALL TALK FOR<FF03>FIRST TIME. ME HAVE GOOD MOOD.<FFF5>   ME SURPRISED. NOT BEEN SURPRISED<FF03>IN LONG TIME. NEAT",,por_traducir,
talk_worm_00051,56,<FFF5> <FF03> <FFFD> <1FFF> <F500>,<FFF5> HAHHHH. ME SURPRISED.<FF03>YOU SURPRISED TOO?<FFFD><1FFF><F500> ME ANNOYED,,por_traducir,
talk_worm_00052,111,<FF03> <FFF1> <FFF5> <FF03> <FFFD> <20FF> <F500>, YOU SAY YOU SORRY.<FF03>AND GIVE SOMETHING.<FFF1><FFF5>  GWAOHHHH. ME CAUGHT OFF GUARD.<FF03>CATCH YOU OFF GUARD IN RETURN.<FFFD><20FF><F500>KRRR,,por_traducir,
talk_worm_00053,18,, ME FROZEN IN FEAR,,por_traducir,
talk_worm_00055,12,, NASTY HUMAN,,por_traducir,
talk_worm_00056,19,<FF03>, YOU BULLY<FF03>A DRAGON,,por_traducir,
talk_worm_00057,46,<FFFD> <21FF> <F500> <FF03>,<FFFD><21FF><F500> ME WANT THAT. BUT ME NOT KNOW YOU<FF03>TOO GOOD,,por_traducir,
