id,limite_chars,tokens_protegidos,texto_original,texto_traducido,estado,notas
talk_kosiki_00001,157,<FFF5> <FF03> <FF03> <FFFD> <00FF> <F500> <FFF5>,"<FFF5>I see, thou may appear young, but thou<FF03>hast endured many trials! Thy words<FF03>bear weight!<FFFD><00FF><F500>  Speak not such nonsense.<FFF5>   Thou speakest of such uncanny things",,por_traducir,
talk_kosiki_00002,103,<FF03> <FFFD> <01FF> <F500> <FF03>,<FF03>Is this thine intention?<FFFD><01FF><F500> What reason hast thou to speak on such<FF03>subjects? Art thou interested in me,,por_traducir,
talk_kosiki_00003,152,<FFF5> <FF03> <FFFD> <02FF> <F500> <FF03> <FFF5>,<FFF5> What meanest thou? Dost thou desire my<FF03>power?<FFFD><02FF><F500>Thou hast confidence! A battle with thee<FF03>would be most enjoyable!<FFF5>  Thou art confident in thy strength,,por_traducir,
talk_kosiki_00004,171,<FF03> <FFFD> <03FF> <F500> <FFF5> <FF03> <FF03>,"<FF03>What wouldst thou do with me?<FFFD><03FF><F500>  Shall I be thine opponent?<FFF5> Thy tongue weaveth a grand tapestry, but<FF03>it shalt fall mute if thou hast not the<FF03>fortitude to back thy words",,por_traducir,
talk_kosiki_00005,79,<FFFD> <04FF> <F500> <FF03> <FFF5>,"<FFFD><04FF><F500>  Thou art an extortionist, knave? I have<FF03>no coin for thee!<FFF5>  Hm? That scowl",,por_traducir,
talk_kosiki_00006,31,<FFFD> <05FF> <F500>,<FFFD><05FF><F500>What thou sayest is rational,,por_traducir,
talk_kosiki_00007,167,<FFF5> <FF03> <FF03> <FFFD> <06FF> <F500> <FFF5>,<FFF5>Thou dost display sound reason to seek<FF03>courtship with me! Thou art truly one<FF03>who knoweth the world!<FFFD><06FF><F500>  Speak not such nonsense.<FFF5>   Thou art confident in thy strength,,por_traducir,
talk_kosiki_00008,64,<FF03> <FFFD> <07FF> <F500>,<FF03>What wouldst thou do with me?<FFFD><07FF><F500>  I am unamused by such stories,,por_traducir,
talk_kosiki_00010,96,<FF03> <FF03>," Thou conspirest to seize me<FF03>with words made to seem sweet, when in<FF03>truth, they drip with malice",,por_traducir,
talk_kosiki_00011,25,<FFFD> <08FF> <F500>,<FFFD><08FF><F500>   A fine voice indeed,,por_traducir,
talk_kosiki_00012,27,<FF03>, But let us change<FF03>the tune,,por_traducir,
talk_kosiki_00013,140,<FFF5> <FF03> <FF03> <FFFD> <09FF> <F500>, I would have thy screams.<FFF5> Dost thou mean to challenge the bearer<FF03>of the netherworld's sweetest voice?<FF03>Consider the gauntlet thrown.<FFFD><09FF><F500>Hark,,por_traducir,
talk_kosiki_00015,15,, have bested me,,por_traducir,
talk_kosiki_00016,95,<FFF5> <FF03> <FF03> <FFFD> <0AFF> <F500>,<FFF5>  How dost thou maintain thy calm<FF03>disposition with such vile sounds<FF03>assaulting thee?<FFFD><0AFF><F500>   Haha,,por_traducir,
talk_kosiki_00017,53,<FF03> <FFF5>," Thou canst match me not, but<FF03>it doth suffice!<FFF5>  Hmmm",,por_traducir,
talk_kosiki_00018,33,<FFFD> <0BFF> <F500>,<FFFD><0BFF><F500>  What thou sayest is rational,,por_traducir,
