id,limite_chars,tokens_protegidos,texto_original,texto_traducido,estado,notas
talk_kyouki_00001,646,<FF03> <FFFD> <00FF> <F500> <FF03> <FFF5> <FF03> <FF03> <FF02> <FF04> <FF03> <FFFD> <01FF> <F500> <FFF5> <FF03> <FFF3> <FFFD> <02FF> <F500> <FF03> <FF03> <FFF5> <FF03> <FFFD> <03FF> <F500> <FF03> <FFF5> <FF03> <FFFD> <04FF> <F500>," You lyin'<FF03>about your age?<FFFD><00FF><F500> You punk. You pullin' one over on me.?<FF03>Are ya.?<FFF5>You seriously tryin' to talk me into<FF03>this? Lying only causes trouble, man.<FF03>Wanna know why?<FF02><FF04>Because liars get their tongues ripped<FF03>out by the law.<FFFD><01FF><F500>   Hyahahahaha. You need me? ME, you say.?<FFF5>You think you could actually control me?<FF03>ME, <FFF3>?<FFFD><02FF><F500>  Sounds like you're pretty sure of<FF03>yourself. Better not let it go to your<FF03>head, or you'll regret it.<FFF5>You think you could kill me.? Gahaha,<FF03>you couldn't handle it!<FFFD><03FF><F500>Hehehe. Time to see if the blood of<FF03>stupid humans runs as red as they say.<FFF5> What's that? You want me to kill you<FF03>first? Ha, my pleasure.<FFFD><04FF><F500> I didn't do anything",,por_traducir,
talk_kyouki_00002,38,<FF03>," C'mon, you're<FF03>fingerin' the wrong guy",,por_traducir,
talk_kyouki_00003,270,<FFF5> <FF03> <FF03> <FFFD> <05FF> <F500> <FF03> <FFF5> <FF03> <FF03>,"<FFF5>   I'm beggin' ya, lemme go! I've got a<FF03>wife and kid back home, and they're<FF03>starvin'!<FFFD><05FF><F500>   I don't know what nerds like you talk<FF03>about, but it sounds kinda fun!<FFF5>  Bein' invited's fine and all, but are<FF03>you really a high school kid? You better<FF03>not be lyin' 'bout your age",,por_traducir,
talk_kyouki_00004,234,<FFFD> <06FF> <F500> <FF03> <FFF5> <FF03> <FF03> <FF02> <FF04> <FF03> <FFFD> <07FF> <F500>,"<FFFD><06FF><F500>You punk. You pullin' one over on me.?<FF03>Are ya.?<FFF5>You seriously tryin' to talk me into<FF03>this? Lying only causes trouble, man.<FF03>Wanna know why?<FF02><FF04>Because liars get their tongues ripped<FF03>out by the law.<FFFD><07FF><F500>   Where you plannin' on takin' me",,por_traducir,
talk_kyouki_00005,38,<FF03>,<FF03>Maybe it's best to steer clear of you,,por_traducir,
talk_kyouki_00006,60,<FFF5> <FF03>,"<FFF5>   Oh, er, damn. I got errands to run! Man,<FF03>I almost forgot",,por_traducir,
talk_kyouki_00007,158,<FFFD> <08FF> <F500> <FF03> <FFF5> <FF03> <FFFD> <09FF> <F500>,"<FFFD><08FF><F500>  That song is whack. Unless you're TRYING<FF03>to sound like a whale.<FFF5>Damn, no need to go showin' off.<FF03>I'm SO sorry I'm tone-deaf, alright.?<FFFD><09FF><F500>   Y-You're good",,por_traducir,
talk_kyouki_00008,83,<FFF5> <FF03> <FFFD> <0AFF> <F500>,"<FFF5>   Damn, are you part banshee.? S-Stop<FF03>it, please.<FFFD><0AFF><F500>  Ah, my heart feels cleansed",,por_traducir,
talk_kyouki_00009,38,<FF03>, Maybe<FF03>it's time to re-evalute my life,,por_traducir,
talk_kyouki_00010,159,<FFF5> <FFFD> <0BFF> <F500> <FF03> <FFF5> <FF03>,"<FFF5>   Bravo. Oh, good for you.<FFFD><0BFF><F500> I don't know what chicks like you<FF03>talk about, but it sounds kinda fun!<FFF5> You don't sound much like a high<FF03>schooler when you talk",,por_traducir,
talk_kyouki_00011,586,<FF03> <FFFD> <0CFF> <F500> <FF03> <FFF5> <FF03> <FF02> <FF04> <FF03> <FFFD> <0DFF> <F500> <FFF5> <FF03> <FFF3> <FFFD> <0EFF> <F500> <FF03> <FFF5> <FF03> <FFFD> <0FFF> <F500> <FF03> <FFF5> <FF03>," You lyin'<FF03>about your age?<FFFD><0CFF><F500> You tramp. You pullin' one over on me.?<FF03>Are ya.?<FFF5>   You serious, girl? If it's a lie, you're<FF03>in deep shit.<FF02><FF04>Because liars get their tongues ripped<FF03>out by the law.<FFFD><0DFF><F500>   Hyahahahaha. You need me? ME, you say.?<FFF5>You think you could actually control me?<FF03>ME, <FFF3>, human?<FFFD><0EFF><F500>   I'm the strongest, most popular demon<FF03>ever to cruise the streets. Don't front.<FFF5> Damn girl, what's with that? You ain't<FF03>got no pride left?<FFFD><0FFF><F500>You gonna shank me when I turn my back?<FF03>That's scary. I'm gettin' the chills.<FFF5>  Don't even bother! Nobody likes me<FF03>anyway! I bet YOU'RE more popular",,por_traducir,
talk_kyouki_00012,48,<FFFD> <10FF> <F500> <FF03>,"<FFFD><10FF><F500>  Well, I'll be ruling this world pretty<FF03>soon",,por_traducir,
talk_kyouki_00013,277,<FFF5> <0006> <FF03> <FF02> <FF04> <FF03> <FFFD> <11FF> <F500> <FF03> <FFF5> <FF03>," You can be my queen. Hahaha.<FFF5>It's just what you'd think<0006> Demons gotta<FF03>roll strong.<FF02><FF04>In other words, if you're a pansy, you<FF03>ain't a demon at all.<FFFD><11FF><F500>  I don't know what chicks like you<FF03>talk about, but it sounds kinda fun!<FFF5> You don't sound much like a high<FF03>schooler when you talk",,por_traducir,
