id,limite_chars,tokens_protegidos,texto_original,texto_traducido,estado,notas
talk_korou_00001,293,<FFFD> <00FF> <F500> <FF03> <FFF5> <FF03> <FFFD> <01FF> <F500> <FFFD> <02FF> <F500> <FF03> <FFF5>," I can't help you!<FFFD><00FF><F500> Argh, whaddaya want from an old man.?<FF03>Look at a demon before ya open yer trap!<FFF5> Hey. If yer tryin' to make friends with<FF03>demons, ya better be upfront with 'em.<FFFD><01FF><F500>   Ho ho. Ya want my card ya say? Hmmm?<FFFD><02FF><F500> Ho ho. No matter how old ya get, it's<FF03>nice to be counted on.<FFF5>   Heh",,por_traducir,
talk_korou_00002,349,<FF03> <FF03> <FFF5> <FF03> <FFFD> <03FF> <F500> <FF03> <FF03> <FFFD> <04FF> <F500> <FF03> <FFF5>," The closer ya come to yer death<FF03>bed, the easier it gets to forgive!<FF03>The mistakes of youth don't bother me!<FFF5>  Ho ho. I'm like a stone wall! You<FF03>couldn't break me if ya tried.<FFFD><03FF><F500> Argh. It don't take much to rough up<FF03>you high-spirited youths. Ya got no<FF03>backbone.<FFFD><04FF><F500>   I got my pride too. My back may be<FF03>givin' out, but I accept your challenge.<FFF5>I'm old",,por_traducir,
talk_korou_00003,60,<FF03>, All I want is to live out<FF03>the rest of my days like a hermit,,por_traducir,
talk_korou_00004,17,<FFF5>,<FFF5>  Y-You wouldn't,,por_traducir,
talk_korou_00005,150,<FF03> <FFFD> <05FF> <F500> <FF03> <FFF5>," You wouldn't torment a<FF03>defenseless old man, would ya?<FFFD><05FF><F500>  Ho ho. Never thought I'd be gettin'<FF03>called out at this age.<FFF5>You're sure into strange things",,por_traducir,
talk_korou_00006,241,<FF03> <FF03> <FFFD> <06FF> <F500> <FF03> <FFF5> <FF03> <FFF0> <FFFD> <07FF> <F500> <FF03>," What<FF03>good you think an old man like me can<FF03>do for ya?<FFFD><06FF><F500> I just want to live in peace. Please,<FF03>leave me be.<FFF5> Argh. I may be old, but I'm still a<FF03><FFF0>. I'm free to pick my work.<FFFD><07FF><F500> I know yer just tryin' to sweet talk<FF03>yer way into my good favor",,por_traducir,
talk_korou_00007,56,<FFF5> <FF03>,<FFF5> You'd be takin' a loss if you hired an<FF03>old man like me,,por_traducir,
talk_korou_00009,87,<FFFD> <08FF> <F500> <FF03> <FFF5>,"<FFFD><08FF><F500>Argh. This is terrible. There's a limit<FF03>to bein' tone-deaf, boy.<FFF5>   I hate this song",,por_traducir,
talk_korou_00010,28,<FF03>, It brings back bad<FF03>memories,,por_traducir,
talk_korou_00011,24,<FFFD> <09FF> <F500>,<FFFD><09FF><F500>   What is that voice,,por_traducir,
talk_korou_00012,40,<FF03>, Maybe that's<FF03>why I've got this headache,,por_traducir,
talk_korou_00013,24,<FFF5>,<FFF5>  What a terrible voice,,por_traducir,
