id,limite_chars,tokens_protegidos,texto_original,texto_traducido,estado,notas
talk_doppel_00001,83,<FFF5> <FF03> <FF03>,<FFF5>   Are you Maki Sonomura?<FF03>I could tell right off. You have a unique<FF03>aura about you,,por_traducir,
talk_doppel_00002,126,<FF03> <FFF5> <FF03>, I think your mother's grandpa is<FF03>your guardian angel! He's really strong.<FFF5>   Want to know the truth? The ones behind<FF03>all this,,por_traducir,
talk_doppel_00003,137,<FFF5> <FF03> <FFF5>," are really aliens! Or not.<FFF5> If you do what I say, by some miracle<FF03>a bronze statue of you will be erected.<FFF5>  I got lost and wandered here",,por_traducir,
talk_doppel_00004,76,<FF03> <FFF5> <FFF5> <FF03>,<FF03>Please forgive me.<FFF5> A-A human. D-Don't come near me.<FFF5>   Ahahahahaha.<FF03>Please,,por_traducir,
talk_doppel_00005,103,<FFF5> <FF03> <FFF5> <FFF5>," spare me.<FFF5>   So you're a human? So what. C'mon, baby,<FF03>let's play a symphony of love.<FFF5>Bullshit.<FFF5>  Oh no",,por_traducir,
talk_doppel_00007,280,<FFF5> <FF03> <FFF5> <FF03> <FF03> <FFF5> <FF03> <FF03> <FFF5>,"<FFF5> Heeheehee. You and me could have some<FF03>good times together.<FFF5> Alright, what's the difference between<FF03>a rottweiler and a poodle? They're two<FF03>totally different breeds. Get it?<FFF5>Hell no, Hidehiko. You're not going to<FF03>make me mimic something that awful,<FF03>are you? Have a heart.<FFF5>  Sheesh",,por_traducir,
talk_doppel_00008,68,<FF03>, You're really going to make me<FF03>mimic a weapons-grade joke like that,,por_traducir,
talk_doppel_00009,249,<FFF5> <FF03> <FF03> <FFF5> <FF03> <FFF5> <FF03>,"<FFF5>  What do you do if you're on a horse and<FF03>you see a giraffe and lion next to you?<FF03>Get off the carousel. C'mon, laugh.<FFF5>How've you been? I heard you're on<FF03>a roll! Not me, it's been pretty slow!<FFF5>  Man, it's hot out. I like summer, but<FF03>not this kind of",,por_traducir,
talk_doppel_00010,93,<FFF5> <FF03>," Ugh, screw this.<FFF5> So, got any crushes? Yeah, there's been<FF03>someone on my mind, too! Heeheehee",,por_traducir,
talk_doppel_00013,68,<0056> <0056> <FF03> <FFF5> <FF03> <FF03>," <0056>puke<0056><FF03>That surprised you, didn't it.?<FFF5> BOO.<FF03>Heh, you fell for it!<FF03>",,por_traducir,
talk_doppel_00014,26,<FFF5>,"Just kidding, moron.<FFF5> Dude",,por_traducir,
talk_doppel_00015,43,<FF03>, I can't possibly mimic something<FF03>like that,,por_traducir,
talk_doppel_00016,527,<FFF5> <FF03> <FF03> <FFF5> <FFF5> <FF03> <FFF5> <FF03> <FF03> <FFF5> <FFF5> <FF03> <FFF5> <FF03> <FFF5> <FF03> <FFF5>," What should I do?<FFF5>This is just a down payment! Do you want<FF03>land? Stocks? Hmph. I'll give you a photo<FF03>of myself.<FFF5>  I refuse.<FFF5>  I'll give you a coin whose front and back<FF03>are reversed! I even signed it!<FFF5>  Are you happy with your station in life?<FF03>That way is the epitome of foolishness.<FF03>I'll grasp true happiness on my own.<FFF5>  Hell no.<FFF5>   The masses must act, or their station in<FF03>life will never change.<FFF5>   You're an utter imbecile.<FF03>But don't worry about it!<FFF5>I've never known such a dunce.<FF03>You think you're a match for me.?<FFF5>   Hmph",,por_traducir,
talk_doppel_00017,14,, What a cretin,,por_traducir,
talk_doppel_00018,19,<FFF5>,<FFF5>   Your egotism is,,por_traducir,
talk_doppel_00019,84,<FFF5> <FF03> <FFF5>, stunning!<FFF5>   There's definitely no comparison between<FF03>demons and your kind!<FFF5> I know,,por_traducir,
talk_doppel_00020,158,<FFF5> <0044> <FFF3> <FF03> <FFF5> <0044> <FFF3> <FFF5> <0044> <FFF3> <FFF5> <FFF5> <FFF5>,<FFF5>  <0044> <FFF3> showed off his<FF03>smooth moves!<FFF5>   <0044> <FFF3> danced crazy.<FFF5>  <0044> <FFF3> danced happily!<FFF5>You think you're bad? Then try me.<FFF5> You want some of this.?<FFF5>Hey. I'm right here,,por_traducir,
