id,limite_chars,tokens_protegidos,texto_original,texto_traducido,estado,notas
talk_zombiko_00001,251,<FF03> <FFF5> <FF03> <FF03> <FFF5> <FFF5> <FF03>," it just doesn't apply<FF03>to me anymore!<FFF5>  Don't talk like you know everything.<FF03>I mean, you're still alive. You can act<FF03>that way once you've experienced death.<FFF5>   Liar. I won't get fooled again.<FFF5>Am I still pretty? That was all I used<FF03>to have going for me",,por_traducir,
talk_zombiko_00003,52,<FF03> <FFF5>," Shall I take off my head<FF03>in return?<FFF5>  Aaah, stop it",,por_traducir,
talk_zombiko_00004,47,<FF03>," If I move around too<FF03>much, I'll fall to pieces",,por_traducir,
talk_zombiko_00005,126,<FFF5> <FF03> <FFF5> <FFF5> <FF03>,<FFF5>Wh-What're you doing? I thought my heart<FF03>was going to stop.<FFF5>Nooooo.<FFF5>You do some pretty bold things! That gave<FF03>me a good laugh,,por_traducir,
talk_zombiko_00007,100,<FF03> <FFF5> <FF03>," Who do you think's stronger,<FF03>you or me?<FFF5>It's okay, I'm not mad! I just want you<FF03>to become one of us",,por_traducir,
talk_zombiko_00008,39,<FFF5>,<FFF5> Hey. You're dealing with a demon here,,por_traducir,
talk_zombiko_00009,74,<FF03> <FFF5>,<FF03>Can't you be scared even a little.?<FFF5>   I'll tell you a really scary story,,por_traducir,
talk_zombiko_00010,81,<FF03> <FF02> <FF04> <FFF5>,<FF03>You're the heroine in it!<FF02><FF04>And now the fear begins.<FFF5>  Th-That's not scary at all,,por_traducir,
talk_zombiko_00011,46,<FF02> <FF04> <FF03>,"<FF02><FF04>Wh-Why am I shaking? I-It's cold,<FF03>that's all",,por_traducir,
talk_zombiko_00012,144,<FFF5> <FF03> <FFF5> <FF03> <FFF5>,<FFF5> That's hilarious. No one knows what<FF03>true fear is like.<FFF5> How dare you talk that way to someone<FF03>who has so much more life experience.?<FFF5>   A-Aagh,,por_traducir,
talk_zombiko_00016,58,<FFF5>, You really can do a lot.<FFF5>   I'm not the girl I used to be,,por_traducir,
talk_zombiko_00017,211,<FF03> <FFF5> <FF03> <FFF5> <FF03> <FFF5>," I'm not<FF03>going to stand by and let you pick on me.<FFF5> You're okay with that? Well, I don't<FF03>wanna hear you cry about it later!<FFF5>I like strong men, but I have a pretty<FF03>twisted way of showing affection!<FFF5>   Now hold on",,por_traducir,
talk_zombiko_00018,26,<FF03>, What did I ever do<FF03>to you,,por_traducir,
talk_zombiko_00019,131,<FFF5> <FF03> <FFF5> <FF03>,<FFF5>   I've been so mellow lately that I don't<FF03>even feel like getting mad at that!<FFF5>I already know that. You don't have to<FF03>say it twice,,por_traducir,
talk_zombiko_00020,349,<FF03> <FFF5> <FF03> <FF02> <FF04> <FFF5> <FFF5> <FFF5> <FF03> <FF03> <FFF5> <FF03>," That's why I always<FF03>tried not to stand out.<FFF5> When I was still human, I really liked<FF03>guys like you!<FF02><FF04>I was so immature then.<FFF5> Well, I'm honored to hear you say so!<FFF5>  Oh? What is it? Do you wanna play house?<FFF5>   I might not look like it now, but I<FF03>actually liked kids when I was still<FF03>a human!<FFF5>  Are my moves out of date? That kind of<FF03>thing worries me",,por_traducir,
talk_zombiko_00021,114,<FFF5> <FF03> <FF03> <FFF5>,"<FFF5> Sheesh, you suck. And anyway, if you wore<FF03>that getup, the bouncers would stop you<FF03>before you could go in!<FFF5>  Haha",,por_traducir,
talk_zombiko_00022,61,<FF03>, Leave the dancing to me! I used<FF03>to dance every day back when,,por_traducir,
talk_zombiko_00023,531,<FFF5> <FF03> <FF03> <FFF5> <FF03> <FFF5> <FF03> <FFF5> <FF03> <FFF5> <FFF5> <FF03> <FFF5> <FF03> <FFF5>," you know!<FFF5>  So you're pretty much the class clown,<FF03>I take it! But actually, I don't mind<FF03>your lame jokes so much!<FFF5>  Your jokes aren't funny at all. Someone<FF03>tell this guy how lame they are.<FFF5>   Well? Are you going to take responsibility<FF03>for killing the mood?<FFF5>   There isn't that much that's fun to do<FF03>around here! You really brightened my day.<FFF5>  Aren't you a little off key?<FFF5>   Sing all you want. I'll be biting into<FF03>your throat in a few seconds.<FFF5>   Hey. Can you cut it out with that<FF03>screeching.?<FFF5> I want to go to karaoke again. Ahh",,por_traducir,
talk_zombiko_00024,26,<FF03>,<FF03>just once would be enough,,por_traducir,
talk_zombiko_00026,53,<FF03>," don't breathe fire or anything<FF03>out of the blue, okay",,por_traducir,
talk_zombiko_00027,260,<FFF5> <FF03> <FFF5> <FFF5> <FF03> <FFF5> <FFF5> <FF03> <FFF5>,<FFF5>   Do it again. I'll figure out the trick<FF03>this time for sure.<FFF5> So a lot's happened? I heard all about it!<FFF5> I already knew that. Don't underestimate<FF03>my sources.<FFF5>   No way. Seriously?<FFF5> How do I always get stuck with guys like<FF03>this? It really makes me mad.<FFF5> Am I,,por_traducir,
talk_zombiko_00028,33,<FF03>, still attractive? I-I'm so<FF03>happy,,por_traducir,
talk_zombiko_00029,82,<FFF5> <FF03> <FFF5>,"<FFF5>Will you quit bothering me.?<FF03>Just stop already.<FFF5>Oh wow, you're okay with me? Haha",,por_traducir,
talk_zombiko_00030,39,<FF03> <FFF5>,<FF03>I'll think about it!<FFF5>  D-Don't tell me,,por_traducir,
