id,limite_chars,tokens_protegidos,texto_original,texto_traducido,estado,notas
talk_zomb_man_00001,38,<FFF5>,<FFF5>  There'z no proov you won't trick me,,por_traducir,
talk_zomb_man_00002,32,<FFF5>,<FFF5> I wuz so lonely bein all 'lone,,por_traducir,
talk_zomb_man_00003,12,<FFF5>,<FFF5>  Yur funny,,por_traducir,
talk_zomb_man_00004,39,<FF03>, I uzed to see guyz like<FF03>you on TV alot,,por_traducir,
talk_zomb_man_00005,155,<FFF5> <FFF5> <FF03> <FFF5> <FFF5>,"<FFF5> Whu wuz thaa for? I'm not good to eat.<FFF5> Whut're you doing.? I'll eat you, starting<FF03>with yur head.<FFF5>  Whu wuz thaat for.? Are you scared ov me.?<FFF5> Yur weird",,por_traducir,
talk_zomb_man_00006,45,<FFF5>, but I like it!<FFF5>I've never lossa fight before,,por_traducir,
talk_zomb_man_00007,47,<FF03> <FFF5>,<FF03>Wanna try me?<FFF5> I wanna drag you into the earth,,por_traducir,
talk_zomb_man_00008,29,<FFF5>,<FFF5> Howcum yur not scared ov me,,por_traducir,
talk_zomb_man_00009,30,<FFF5>,<FFF5>I useda be a real scaredy cat,,por_traducir,
talk_zomb_man_00010,17,<FF03>, but I'm<FF03>fine now,,por_traducir,
talk_zomb_man_00012,45,<FF03>," There'z not really anything<FF03>behind me, right",,por_traducir,
talk_zomb_man_00013,41,<FFF5> <FF03>,<FFF5>  Yur scared ov something like thaa?<FF03>Haw,,por_traducir,
talk_zomb_man_00014,197,<FF03> <FFF5> <FF03> <FF02> <FF04> <FF03> <FFF5>," I could write storiez thaa'd make<FF03>King run'n hide.<FFF5>   My gramma sayz when people die, they go<FF03>to heaven!<FF02><FF04>How dare you talk thaa way to a heav'nly<FF03>creazure like me.?<FFF5>Why're you being so mean to me",,por_traducir,
talk_zomb_man_00015,27,<FFF5>,<FFF5> Yur juzt like my old lady,,por_traducir,
talk_zomb_man_00016,29,<FF03>, I wunner if<FF03>she'z doing okay,,por_traducir,
talk_zomb_man_00017,106,<FFF5> <FF03> <FFF5> <FF03>,"<FFF5>   You pick on me, and I'll get you back<FF03>a hunzred times over.<FFF5>Di'nt you have some kinda business<FF03>with me",,por_traducir,
talk_zomb_man_00018,100,<FFF5> <FFF5> <FFF5> <FF03>,"<FFF5> I hate people with no manners.<FFF5> Wut're you all mad for?<FFF5>If I wuz my old self, I wudn't forgive<FF03>you",,por_traducir,
talk_zomb_man_00020,28,<FFF5>,<FFF5>  Girlz these dayz're scary,,por_traducir,
talk_zomb_man_00021,80,<FFF5> <FF03> <FFF5>,"<FFF5>   Yur alive, wearing cool clothez, and<FF03>you still wanna pick on me?<FFF5>   Hurrhurr",,por_traducir,
talk_zomb_man_00022,16,, How embarrazing,,por_traducir,
talk_zomb_man_00023,53,<FFF5> <FF03>,"<FFF5> Wut'z with you allova sudden? I'm not<FF03>a baby, y'kno",,por_traducir,
talk_zomb_man_00024,32,<FFF5>,<FFF5> Izzit okay if I act like a kid,,por_traducir,
talk_zomb_man_00025,177,<FFF5> <FF03> <FFF5> <FFF5> <FF03>,"<FFF5> I never got to go to a club! I wunner<FF03>wut kinda place it iz!<FFF5>   I alrea'y kno I suck at dancing.<FFF5>   If I could dance, would I be popular too?<FF03>W-Would the kogalz be all over me",,por_traducir,
talk_zomb_man_00026,111,<FFF5> <FFF5> <FF03> <FFF5>,<FFF5>Wanna do stand-up routinez with me?<FFF5>Thaa wuz booooring. I'm picky when it<FF03>comez to stan'up comedy.<FFF5> So coooold,,por_traducir,
talk_zomb_man_00027,30,<FF03>, I feel like I'm in<FF03>the Ar'tic,,por_traducir,
talk_zomb_man_00028,26,<FFF5>,<FFF5> You gotta sense ov humor,,por_traducir,
talk_zomb_man_00029,68,<FFF5> <FFF5>, I promize.<FFF5> Wuz thaa song called?<FFF5>  I alwayz got D'z in muzic class,,por_traducir,
talk_zomb_man_00030,96,<FFF5> <FF03> <FFF5>,<FFF5> I never knew anywun inna world sucked<FF03>thaa much at singing.<FFF5>My muzic teazure wuz a real beauty,,por_traducir,
talk_zomb_man_00031,53,<FFF5> <FF03>,<FFF5>  Wudduya think yur doing? Where'd you<FF03>think this iz,,por_traducir,
talk_zomb_man_00032,87,<FFF5> <FFF5> <FF03>,"<FFF5> Yur pretty good. Iunno how you did it.<FFF5> Even after I died, the world keeps on<FF03>turning",,por_traducir,
talk_zomb_man_00033,177,<FFF5> <FF03> <FFF5> <FFF5> <FF03> <FFF5>,"<FFF5>   Thaa haz nuthing to do with me anymore.<FF03>Don' even bring it up.<FFF5> There'z a lotta stuff I wanna ask about!<FFF5>   Hey, I'm just a guy! Can't you tell by<FF03>looking at me?<FFF5>  S-Stoppit",,por_traducir,
talk_zomb_man_00034,149,<FFF5> <FFF5> <FFF5> <FF03>, I alrea'y have a girl I like.<FFF5> I wud'nt mind being frienz with you!<FFF5>   Yur not my kinda girl. Get away.<FFF5>   You look like a tasty lumpa meat!<FF03>Not bad,,por_traducir,
