id,archivo_origen,offset_inicio,offset_fin,longitud_original_bytes,texto_original,texto_traducido,notas,estado
kage_00000,kage.bin,2,32,30, <D030>`<D030>`<D030>`<D030>`<D030>`<0A00>   ,,carácter repetido dominante (probable relleno gráfico),revisar
kage_00001,kage.bin,44,104,60,  <0200> <C030>`<1000> <1000> <0300> <B030>`<1000> <1000> <0400> <502C>`<502C>`<1000> <3000> <0500>`,,carácter repetido dominante (probable relleno gráfico),revisar
kage_00002,kage.bin,116,2768,2652,  <3000> <4000> <402C>`  ``<0300>`<4000>       aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,,carácter repetido dominante (probable relleno gráfico),revisar
kage_00003,kage.bin,2848,2896,48,aaaaaaaaaaaaaaaaaaaaaaaa,,carácter repetido dominante (probable relleno gráfico),revisar
kage_00004,kage.bin,2976,3024,48,aaaaaaaaaaaaaaaaaaaaaaaa,,carácter repetido dominante (probable relleno gráfico),revisar
kage_00005,kage.bin,3104,3152,48,aaaaaaaaaaaaaaaaaaaaaaaa,,carácter repetido dominante (probable relleno gráfico),revisar
kage_00006,kage.bin,3232,3280,48,aaaaaaaaaaaaaaaaaaaaaaaa,,carácter repetido dominante (probable relleno gráfico),revisar
kage_00007,kage.bin,3360,3408,48,aaaaaaaaaaaaaaaaaaaaaaaa,,carácter repetido dominante (probable relleno gráfico),revisar
kage_00008,kage.bin,3488,3536,48,aaaaaaaaaaaaaaaaaaaaaaaa,,carácter repetido dominante (probable relleno gráfico),revisar
kage_00009,kage.bin,3616,3664,48,aaaaaaaaaaaaaaaaaaaaaaaa,,carácter repetido dominante (probable relleno gráfico),revisar
kage_00010,kage.bin,3744,3792,48,aaaaaaaaaaaaaaaaaaaaaaaa,,carácter repetido dominante (probable relleno gráfico),revisar
