id,limite_chars,tokens_protegidos,texto_original,texto_traducido,estado,notas
talk_slime_00001,175,<FFF5> <FF03> <FFF5> <FF03> <FF03> <FFF5>," But you still want me.?<FFF5>You're just using me to practice<FF03>negotiating. Cruel, cruel humans.<FFF5> Do ya need me?<FF03>Do ya really need me?<FF03>You DO need me.?<FFF5>  I'm the weakest demon EVER",,por_traducir,
talk_slime_00002,154,<FF03> <FFF5> <FF03> <FFF5>," But you<FF03>can get stronger. I'm soooo jealous.<FFF5> Hey. Just because I'm sword-fodder to<FF03>you doesn't mean you can yell at me.<FFF5> I'm the weakest demon, you know",,por_traducir,
talk_slime_00003,24,<FF03>,<FF03>Don't do anything scary,,por_traducir,
talk_slime_00004,172,<FFF5> <FF03> <FFF5> <FF03> <FFF5>,"<FFF5>  What kinda weirdos invite the weakest<FF03>guy around to their party?<FFF5>   You're just using me to practice<FF03>negotiating. Ohh, the humanity.<FFF5>   I've got a bad feeling about this",,por_traducir,
talk_slime_00005,24,<FF03>,"<FF03>Ya know, I'm gonna pass",,por_traducir,
talk_slime_00006,85,<FFF5> <FF03> <FFF5>,"<FFF5>If you sing, I might collapse like a<FF03>week-old flan. Stop. Stoooop it.<FFF5>  Please don't",,por_traducir,
talk_slime_00007,42,<FF03>, I don't wanna take<FF03>my ears in for repairs,,por_traducir,
talk_slime_00008,51,<FFF5> <FFF5>,<FFF5>   What a great song. It made me all happy.<FFF5>   Hey,,por_traducir,
talk_slime_00009,49,<FF03>," I really am the lowest, weakest<FF03>worst demon ever",,por_traducir,
talk_slime_00010,289,<FF03> <FFF5> <FF03> <FFF5> <FF03> <FF03> <FFF5> <FF03> <FFF5> <FF03>, But you're okay with<FF03>that.?<FFF5> I know you're just making fun of me.<FF03>What a nasty human.<FFF5>   Do ya need me?<FF03>Do ya really need me?<FF03>You DO need me.?<FFF5>  I know all too well I'm the weakest<FF03>demon in the history of demons. You lie.<FFF5>   I know all too well I'm the weakest link<FF03>in the chain of demons,,por_traducir,
talk_slime_00011,29,<FF03>, This must be<FF03>some kinda trap,,por_traducir,
talk_slime_00012,283,<FFF5> <FF03> <FF03> <FFF5> <FF03> <FFF5> <FF03> <FF03> <FFF5> <FF03>,"<FFF5> You really think I'm a great demon.?<FF03>Well I'm happy to hear that, so I'll let<FF03>it slide.<FFF5>You say weird things, but I think<FF03>they're funny.<FFF5>   I bet you just lied to me. You're a<FF03>human, and that's no good. I don't<FF03>like that one bit.<FFF5>  Is that a true story.? I bet I could<FF03>use that for",,por_traducir,
