id,archivo_origen,offset_inicio,offset_fin,longitud_original_bytes,texto_original,texto_traducido,notas,estado
title_title_00000,title/title.bin,22,112,90,`<D025>`<D025>`<D025>`<D06D>`<D06D>`<D06D>`<D06D>`<50B9> <F008> <F005> <F010> <D07D> <D044> <D028> <D028> <D0BF> <503F> <D034>`<0A00>       ,,carácter repetido dominante (probable relleno gráfico),revisar
title_title_00001,title/title.bin,23094,23364,270,                                                                                             <0500> <5004> <5004> <1000> <3000> <0300> <0001>`<2000><1000>`<0200>  <3000> <4000> <4004>   <0200>`<0300>`<4000>       <FFFF><FF00>,,carácter repetido dominante (probable relleno gráfico),revisar
title_title_00002,title/title.bin,40898,41008,110, <7000> <7000> <1000> <3000> <0200> <1000>`<1000><1000>`<0200>  <3000> <4000> <6000>   <0200>`<0300>`<4000>       QQQ<FF0F><FF2F><FF4F><FF6F><FF7F><FF8F><FF9F><FFAF><FFBF><FFCF><FFDF><FFEF><FFFF>,,carácter repetido dominante (probable relleno gráfico),revisar
title_title_00003,title/title.bin,41092,41146,54,  <3000> <4000> <40FE>`  ``<0300>`<4000>       <FFFF><FFFF><FFFF><FFFF><FF80>,,carácter repetido dominante (probable relleno gráfico),revisar
title_title_00004,title/title.bin,106464,106544,80,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,,carácter repetido dominante (probable relleno gráfico),revisar
title_title_00005,title/title.bin,106592,106672,80,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,,carácter repetido dominante (probable relleno gráfico),revisar
title_title_00006,title/title.bin,106720,106800,80,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,,carácter repetido dominante (probable relleno gráfico),revisar
title_title_00007,title/title.bin,106848,106928,80,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,,carácter repetido dominante (probable relleno gráfico),revisar
title_title_00008,title/title.bin,106976,107056,80,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,,carácter repetido dominante (probable relleno gráfico),revisar
title_title_00009,title/title.bin,107104,107184,80,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,,carácter repetido dominante (probable relleno gráfico),revisar
title_title_00010,title/title.bin,107232,107312,80,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,,carácter repetido dominante (probable relleno gráfico),revisar
title_title_00011,title/title.bin,107360,107440,80,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,,carácter repetido dominante (probable relleno gráfico),revisar
title_title_00012,title/title.bin,107488,107568,80,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,,carácter repetido dominante (probable relleno gráfico),revisar
title_title_00013,title/title.bin,107616,107696,80,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,,carácter repetido dominante (probable relleno gráfico),revisar
title_title_00014,title/title.bin,107744,107824,80,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,,carácter repetido dominante (probable relleno gráfico),revisar
title_title_00015,title/title.bin,107872,107952,80,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,,carácter repetido dominante (probable relleno gráfico),revisar
