id,limite_chars,tokens_protegidos,texto_original,texto_traducido,estado,notas
talk_sinsi_00001,60,<FF03> <FFF5>, I would<FF03>rather you refrained from mocking me.<FFF5>  Another lie,,por_traducir,
talk_sinsi_00002,79,<FF03> <FFFD> <01FF> <F500>," I can already imagine<FF03>your undignified lifestyle!<FFFD><01FF><F500> Haha, those eyes of yours",,por_traducir,
talk_sinsi_00003,123,<FF03> <FFF5> <FF03> <FFFD> <02FF> <F500>," It's all<FF03>just a pretext to talk with me, no?<FFF5>  So you understand how much power is<FF03>flowing through my superior body?<FFFD><02FF><F500>Hmm",,por_traducir,
talk_sinsi_00004,253,<FF03> <FFF5> <FF03> <FFFD> <03FF> <F500> <FF03> <FFF5> <FF03>," Well, well! Sounds like we<FF03>should spar!<FFF5> Are you using those barbaric negotiation<FF03>tactics in hopes that I'll listen?<FFFD><03FF><F500>  If you can cross even me, you are really<FF03>rather hopeless.<FFF5>  The changing seasons always bring these<FF03>types around! It's so troubling",,por_traducir,
talk_sinsi_00005,50,<FFFD> <04FF> <F500> <FF03>,<FFFD><04FF><F500>   It would be easiest were I to just<FF03>crush you,,por_traducir,
talk_sinsi_00006,37,<FF03>, But I will stay my hand a<FF03>bit longer,,por_traducir,
talk_sinsi_00007,257,<FFF5> <FF03> <FFFD> <05FF> <F500> <FF03> <FF03> <FFF5> <FF03> <FFFD> <06FF> <F500>,"<FFF5>If you kill a demon who puts up no<FF03>resistance, your reputation will suffer!<FFFD><05FF><F500>  It seems logical, but I'm rather<FF03>suspicious as to whether or not you<FF03>comprehend its meaning!<FFF5>   So, what merits are there to listening<FF03>to you speak?<FFFD><06FF><F500> Such senseless chit-chat",,por_traducir,
talk_sinsi_00008,60,<FF03> <FFF5>, I would<FF03>rather you refrained from mocking me.<FFF5>  Another lie,,por_traducir,
talk_sinsi_00009,86,<FF03> <FFFD> <07FF> <F500>, I can already imagine<FF03>your undignified lifestyle!<FFFD><07FF><F500> I will not become anyone's slave,,por_traducir,
talk_sinsi_00011,98,<FFF5> <FF03> <FF03>,"<FFF5>How many of my compatriots have lost<FF03>their lives, taken in by those clever<FF03>words? I am not a fool",,por_traducir,
talk_sinsi_00012,60,<FFFD> <08FF> <F500> <FF03>,<FFFD><08FF><F500> That unsophisticated song is nothing<FF03>short of disturbing,,por_traducir,
talk_sinsi_00013,133,<FFF5> <FF03> <FF03> <FFFD> <09FF> <F500>, Stop at once.<FFF5>  You thought to gain my interest with<FF03>such an amateur voice.? How absurd.<FF03>I recommend voice lessons.<FFFD><09FF><F500>  Your poverty,,por_traducir,
talk_sinsi_00014,19,, It is too horrible,,por_traducir,
talk_sinsi_00015,26,<FF03>,<FF03>I can scarcely believe it,,por_traducir,
talk_sinsi_00016,37,<FFF5>,<FFF5> Is your strategy to destroy my ears,,por_traducir,
talk_sinsi_00017,13,, How cowardly,,por_traducir,
talk_sinsi_00020,262,<FF03> <FFF5> <FF03> <FFFD> <0BFF> <F500> <FF03> <FF03> <FFF5> <FF03> <FFFD> <0CFF> <F500>," Yes, I like it.<FF03>Keep it up.<FFF5> What a superb song. You must be loved<FF03>by the muses.<FFFD><0BFF><F500>  It seems logical, but I'm rather<FF03>suspicious as to whether or not you<FF03>comprehend its meaning!<FFF5>   So, what merits are there to listening<FF03>to you speak?<FFFD><0CFF><F500> Such senseless chit-chat",,por_traducir,
talk_sinsi_00021,60,<FF03> <FFF5>, I would<FF03>rather you refrained from mocking me.<FFF5>  Another lie,,por_traducir,
talk_sinsi_00022,79,<FF03> <FFFD> <0DFF> <F500>," I can already imagine<FF03>your undignified lifestyle!<FFFD><0DFF><F500> Haha, those eyes of yours",,por_traducir,
talk_sinsi_00023,259,<FF03> <FFF5> <FF03> <FFFD> <0EFF> <F500> <FF03> <FF03> <FFF5>," It's all<FF03>just a pretext to talk with me, no?<FFF5>  So you understand how much power is<FF03>flowing through my superior body?<FFFD><0EFF><F500>I am not one to be fooled by the shallow<FF03>wit of humans. I would prefer that you<FF03>not underestimate me.<FFF5>  It seems I expected too much of you",,por_traducir,
talk_sinsi_00024,63,<FF03> <FFFD> <0FFF> <F500>,<FF03>I did not assume you were so wretched.<FFFD><0FFF><F500>What are you planning,,por_traducir,
talk_sinsi_00025,71,<FF03> <FF03>, Surely you<FF03>wouldn't do something like that without<FF03>thinking it through,,por_traducir,
talk_sinsi_00026,67,<FFF5> <FF03>,<FFF5>I've heard you are one who is feared<FF03>and respected by other demons,,por_traducir,
talk_sinsi_00027,115,<FFFD> <10FF> <F500> <FF03> <FFF5> <FF03>,"<FFFD><10FF><F500>Hahahaha, unfortunately, the calvary<FF03>isn't coming!<FFF5> You have no need to fear! I just wanted<FF03>to converse with you",,por_traducir,
talk_sinsi_00028,59,<FF02> <FF04> <FF03>,"<FF02><FF04>See how kind I am? Although, this always<FF03>leads to trouble",,por_traducir,
talk_sinsi_00029,46,<FF03>, I end up gaining an<FF03>even larger human fanbase,,por_traducir,
talk_sinsi_00030,182,<FFFD> <11FF> <F500> <FF03> <FF03> <FFF5> <FF03> <FFFD> <12FF> <F500>,"<FFFD><11FF><F500>   It seems logical, but I'm rather<FF03>suspicious as to whether or not you<FF03>comprehend its meaning!<FFF5>   So, what merits are there to listening<FF03>to you speak?<FFFD><12FF><F500> Such senseless chit-chat",,por_traducir,
talk_sinsi_00031,60,<FF03> <FFF5>, I would<FF03>rather you refrained from mocking me.<FFF5>  Another lie,,por_traducir,
talk_sinsi_00032,79,<FF03> <FFFD> <13FF> <F500>," I can already imagine<FF03>your undignified lifestyle!<FFFD><13FF><F500> Haha, those eyes of yours",,por_traducir,
talk_sinsi_00033,267,<FF03> <FFF5> <FF03> <FFFD> <14FF> <F500> <FF03> <FFF5> <FF03>," It's all<FF03>just a pretext to talk with me, no?<FFF5>  So you understand how much power is<FF03>flowing through my superior body?<FFFD><14FF><F500>Excuse me. There is no need for this<FF03>baseless fear. I am quite tolerant!<FFF5>   You have no need to fear me! I only<FF03>punish those who forget their place",,por_traducir,
