id,archivo_origen,offset_inicio,offset_fin,longitud_original_bytes,texto_original,texto_traducido,notas,estado
ch_menu_00000,ch_menu.bin,4828,5018,190,  <0500> <5004> <5004> <1000> <3000> <0300> <0001>`<2000><1000>`<0200>  <3000> <4000> <4004>   <0200>`<0300>`<4000>       <FFFF><FF00> <0023> <0037> <0053> <005B> <0063> <0081> <0090> <0097> <00B7> [ <00FF>`<0176>`<01EE>a<02DF>abajaua<014D>a<017B>a<01AB>a<01C7>a<01CD>a<01D2>a<01D8>a<01E4>a,,baja densidad de texto (posible mezcla con datos),revisar
ch_menu_00001,ch_menu.bin,10670,10798,128, <0500> <5004> <5004> <1000> <3000> <0300> <0001>`<2000><1000>`<0200>  <3000> <4000> <4004>   <0200>`<0300>`<4000>       <FFFF><FF00> <0006> <00B4> <00BE> I Q Y <00FF>a<0154>a<018E>a<01A6>a,,sin palabras reconocibles (probable gráfico/opcode),revisar
ch_menu_00002,ch_menu.bin,13808,14080,272,aaaaam<325C><655C>                                <0A00>       <0700>       `       <0D00>                                                                       ,,baja densidad de texto (posible mezcla con datos),revisar
ch_menu_00003,ch_menu.bin,15712,15720,8,aaad,,carácter repetido dominante (probable relleno gráfico),revisar
ch_menu_00004,ch_menu.bin,16130,16138,8,aaaa,,carácter repetido dominante (probable relleno gráfico),revisar
ch_menu_00005,ch_menu.bin,16146,16156,10,aaaaa,,carácter repetido dominante (probable relleno gráfico),revisar
ch_menu_00006,ch_menu.bin,16180,16190,10,aav<A271>a,,carácter repetido dominante (probable relleno gráfico),revisar
ch_menu_00007,ch_menu.bin,16376,16618,242,                                                                    <0500> <5004> <5004> <1000> <3000> <0300> <0001>`<2000><1000>`<0200>  <3000> <4000> <4004>   <0200>`<0300>`<4000>       <FFFF><FF00> <00FF>`<0327>`<01D4> <07FF>a<017D>a,,carácter repetido dominante (probable relleno gráfico),revisar
ch_menu_00008,ch_menu.bin,17700,18406,706,  <3000> <4000> <4012>   ``<0300>`<4000>                                                                                                                                                                                                                                                                                                                     <0011>n                           ,,carácter repetido dominante (probable relleno gráfico),revisar
ch_menu_00009,ch_menu.bin,22354,22490,136, <5004> <5004> <1000> <3000> <0300> <0001>`<2000><1000>`<0200>  <3000> <4000> <4004>   <0200>`<0300>`<4000>       <FFFF><FF00> <01E6> <001E> <0099> <00A5> <00BD> 4 <00FF>`<0036>`<012A>`<015E>a<0150>a<016C>a<0186>a,,sin palabras reconocibles (probable gráfico/opcode),revisar
ch_menu_00010,ch_menu.bin,28188,28326,138,  <0500> <5004> <5004> <1000> <3000> <0300> <0001>`<2000><1000>`<0200>  <3000> <4000> <4004>   <0200>`<0300>`<4000>       <FFFF><FF00> <0005> ' <0057> <0077> <00B8> O <00FF>a<02E3>a<0187>a<019A>a<01A8>a<01C3>a,,sin palabras reconocibles (probable gráfico/opcode),revisar
ch_menu_00011,ch_menu.bin,34034,34118,84, <5004> <5004> <1000> <3000> <0300> <0001>`<2000><1000>`<0200>  <3000> <4000> <4004>   <0200>`<0300>`<4000>       <FFFF><FF00> ,,carácter repetido dominante (probable relleno gráfico),revisar
ch_menu_00012,ch_menu.bin,39874,39982,108, <5004> <5004> <1000> <3000> <0300> <0001>`<2000><1000>`<0200>  <3000> <4000> <4004>   <0200>`<0300>`<4000>       <FFFF><FF00> <0123> <012F> <0091> <00FF> <04FF>`<08E5>a,,carácter repetido dominante (probable relleno gráfico),revisar
ch_menu_00013,ch_menu.bin,45710,45826,116, <0500> <5004> <5004> <1000> <3000> <0300> <0001>`<2000><1000>`<0200>  <3000> <4000> <4004>   <0200>`<0300>`<4000>       <FFFF><FF00> <004D> <0082> <009B> Ya<015A>a<01B9>a<01EF>a,,sin palabras reconocibles (probable gráfico/opcode),revisar
ch_menu_00014,ch_menu.bin,51554,51726,172, <5004> <5004> <1000> <3000> <0300> <0001>`<2000><1000>`<0200>  <3000> <4000> <4004>   <0200>`<0300>`<4000>       <FFFF><FF00> <000B> <0020> <006A> <0084> <009C> <00B0> <00B9> 0 J <00FF> <04FF>`<0176>`<01AA>`<01E2>a<02C0>a<02DC>a<02FB>a<0144>a<0155>a<017E>a<0194>a<0AFF>`,,baja densidad de texto (posible mezcla con datos),revisar
ch_menu_00015,ch_menu.bin,53230,53380,150,<FFFF><FFFF><FFFF><FFFF><FF9F><9999><9999><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><9999><99F9><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><0500> <7000> <7000> <1000> <3000> <0200> <1000>`<1000><1000>`<0200>  <3000> <4000> <6000>   <0200>`<0300>`<4000>       <0F0D>Q,,carácter repetido dominante (probable relleno gráfico),revisar
ch_menu_00016,ch_menu.bin,54012,54132,120,<FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><0500> <7000> <7000> <1000> <3000> <0200> <1000>`<1000><1000>`<0200>  <3000> <4000> <6000>   <0200>`<0300>`<4000>       <0F0D>Q,,carácter repetido dominante (probable relleno gráfico),revisar
ch_menu_00017,ch_menu.bin,54748,54884,136,<FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><0500> <7000> <7000> <1000> <3000> <0200> <1000>`<1000><1000>`<0200>  <3000> <4000> <6000>   <0200>`<0300>`<4000>       <0F0D>Q,,carácter repetido dominante (probable relleno gráfico),revisar
ch_menu_00018,ch_menu.bin,55500,55644,144,                          <0500> <9000> <9000> <1000> <3000> <0300> <1000>`<2000><1000>`<0200>  <3000> <4000> <8000>   <0200>`<0300>`<4000>          <00FF><2200>O,,carácter repetido dominante (probable relleno gráfico),revisar
ch_menu_00019,ch_menu.bin,62958,64702,1744,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 <0500> <5004> <5004> <1000> <3000> <0300> <0001>`<2000><1000>`<0200>  <3000> <4000> <4004>   <0200>`<0300>`<4000>          <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <1AFF> <48FF> <58FF> ,,carácter repetido dominante (probable relleno gráfico),revisar
ch_menu_00020,ch_menu.bin,65550,65718,168,   <000A> ^<8FFF><0C00>     1<FFCF>       <FD0C>       <A000>          <0500> <7000> <7000> <1000> <3000> <0200> <1000>`<1000><1000>`<0200>  <3000> <4000> <6000>   <0200>`<0300>`<4000>        QQ,,sin palabras reconocibles (probable gráfico/opcode),revisar
ch_menu_00021,ch_menu.bin,65828,65928,100,  <3000> <4000> <4006>   ``<0300>`<4000>                                  7,,sin palabras reconocibles (probable gráfico/opcode),revisar
ch_menu_00022,ch_menu.bin,67216,68146,930,                                <E5E0><DBD7>      <DFDB><D8D6>      <D8D7><D600>      <D600>                                       <0500> <5004> <5004> <1000> <3000> <0300> <0001>`<2000><1000>`<0200>  <3000> <4000> <4004>   <0200>`<0300>`<4000>          <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> <00FF> ,,carácter repetido dominante (probable relleno gráfico),revisar
ch_menu_00023,ch_menu.bin,76974,77936,962,<FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><31FF><31F1><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><1F17><FFFF><FFEA><FCFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FF50><F6FF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FF0F><65FF><E3F3><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><30F0><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFE2><F4FF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><9FCE><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><1F03><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><E70F><ECF0><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><31FF><31F1><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><AFCE><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><0F65><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><0500> <7000> <7000> <1000> <3000> <0200> <1000>`<1000><1000>`<0200>  <3000> <4000> <6000>   <0200>`<0300>`<4000>       ,,carácter repetido dominante (probable relleno gráfico),revisar
ch_menu_00024,ch_menu.bin,77958,77968,10,!1AQ<FF0F>,,sin palabras reconocibles (probable gráfico/opcode),revisar
ch_menu_00025,ch_menu.bin,78304,78570,266,                        <1111><1111>       <0010>`       `      <0010>`     <1111><1111>                              <0500> <7000> <7000> <1000> <3000> <0200> <1000>`<1000><1000>`<0200>  <3000> <4000> <6000>   <0200>`<0300>`<4000>       <7000>QQQQ,,carácter repetido dominante (probable relleno gráfico),revisar
ch_menu_00026,ch_menu.bin,79434,79572,138,                           <0500> <7000> <7000> <1000> <3000> <0200> <1000>`<1000><1000>`<0200>  <3000> <4000> <6000>   <0200>`<0300>`<4000>       <FF0F> ,,carácter repetido dominante (probable relleno gráfico),revisar
ch_menu_00027,ch_menu.bin,80442,80580,138,                           <0500> <7000> <7000> <1000> <3000> <0200> <1000>`<1000><1000>`<0200>  <3000> <4000> <6000>   <0200>`<0300>`<4000>       <FF0F> ,,carácter repetido dominante (probable relleno gráfico),revisar
ch_menu_00028,ch_menu.bin,81450,81588,138,                           <0500> <7000> <7000> <1000> <3000> <0200> <1000>`<1000><1000>`<0200>  <3000> <4000> <6000>   <0200>`<0300>`<4000>       <FF0F> ,,carácter repetido dominante (probable relleno gráfico),revisar
ch_menu_00029,ch_menu.bin,82458,82596,138,                           <0500> <7000> <7000> <1000> <3000> <0200> <1000>`<1000><1000>`<0200>  <3000> <4000> <6000>   <0200>`<0300>`<4000>       <FF0F> ,,carácter repetido dominante (probable relleno gráfico),revisar
