id,limite_chars,tokens_protegidos,texto_original,texto_traducido,estado,notas
talk_kouman_00001,149,<FF03> <FF03> <FF02> <FF04> <FF03> <FFFD> <00FF> <F500>," Your opinion is foolish, but<FF03>amusing nonetheless! Consider yourself<FF03>lucky!<FF02><FF04>What? You think I would give my spell<FF03>card to the likes of you?<FFFD><00FF><F500>   Hmm",,por_traducir,
talk_kouman_00002,609,<FF03> <FF03> <FFFD> <01FF> <F500> <FF03> <FFFD> <02FF> <F500> <FFFD> <03FF> <F500> <FF02> <FF04> <0006> <FF03> <FFFD> <04FF> <F500> <FF03> <FF02> <FF04> <FFF3> <FF03> <FFFD> <05FF> <F500> <FF03> <FFF5> <FF03>," You are an interesting human to<FF03>so boldly attempt to sway me to your<FF03>side. Do you not value your life?<FFFD><01FF><F500>Ha. Do you truly think I could obey<FF03>beings as weak and foolish as humans.?<FFFD><02FF><F500>   Silence. Your words are meaningless.<FFFD><03FF><F500> Muahaha. You say such asinine things!<FF02><FF04>I ask of you<0006> what value do you place<FF03>on my spell card?<FFFD><04FF><F500>   As I expected. The weaker the being, the<FF03>more desperate they are for my help.<FF02><FF04>I, <FFF3>, walk amongst you<FF03>as a god, wouldn't you agree?<FFFD><05FF><F500>  Muahaha. No feeling is greater than<FF03>watching the weak put on such a display.<FFF5>   Your insolent attitude does little more<FF03>than prove your inferiority",,por_traducir,
talk_kouman_00003,234,<FF02> <FF04> <FFFD> <06FF> <F500> <FF03> <FF02> <FF04> <FF03> <FFF0> <FFFD> <07FF> <F500> <FF03> <FFF5>,<FF02><FF04>Shall I show you the extent of my power?<FFFD><06FF><F500> How foolish for a being as low as you to<FF03>mock me in such a way.<FF02><FF04>How low do you place the rank of the<FF03><FFF0>?<FFFD><07FF><F500> I wouldn't bother to concern myself with<FF03>a being of your inferior power.<FFF5>   Urgh,,por_traducir,
talk_kouman_00004,12,, Who are you,,por_traducir,
talk_kouman_00005,25,<FF03>, Are you not<FF03>afraid of me,,por_traducir,
talk_kouman_00006,45,<FFF5> <FF03>,<FFF5>   Stop! I have no intention of fighting<FF03>you,,por_traducir,
talk_kouman_00007,49,<FF02> <FF04> <FF03>,"<FF02><FF04>Now begone, or I cannot guarantee your<FF03>survival",,por_traducir,
talk_kouman_00008,59,<FF03> <FFF5>, So even those who lack insight<FF03>can see my grandeur!<FFF5> I see,,por_traducir,
talk_kouman_00009,283,<FF03> <FFFD> <09FF> <F500> <FF03> <FFF5> <FF03> <FF02> <FF04> <FF03> <FFFD> <0AFF> <F500>," You want my power? I assume<FF03>there is something in it for me, yes?<FFFD><09FF><F500>   Fool. I don't bother dealing with<FF03>halfwits such as you.<FFF5>How ridiculous. You thought I would<FF03>accept an invitation such as that.?<FF02><FF04>If you hope to pacify my rage, your<FF03>apology had better be sincere.<FFFD><0AFF><F500>  Who are you",,por_traducir,
talk_kouman_00010,46,<FF03>, You must not be of<FF03>sound mind to invite me so,,por_traducir,
talk_kouman_00011,283,<FFF5> <FF03> <FF03> <FFFD> <0BFF> <F500> <FF03> <FF02> <FF04> <FF03> <FFF5> <FF03> <FFFD> <0CFF> <F500>,"<FFF5>   I believe only in myself! That being<FF03>said, do you still have business with<FF03>me?<FFFD><0BFF><F500>   Stop it. Stop it, I say. My ears will<FF03>burst if you continue.<FF02><FF04>Your kind says God gave you the gift<FF03>of song, but I say it's a curse.<FFF5>Stop it. I denounce your voice. You can<FF03>be silent now.<FFFD><0CFF><F500>   Ugh",,por_traducir,
talk_kouman_00012,21,, It's hard to believe,,por_traducir,
talk_kouman_00013,53,<FF03> <FF03>, a being<FF03>such as you could emit ultrasonic<FF03>soundwaves,,por_traducir,
talk_kouman_00014,205,<FF03> <FFFD> <0DFF> <F500> <FF03> <FF03> <FFFD> <0EFF> <F500> <FFFD> <0FFF> <F500>," You have a likable voice!<FF03>How did you come across it?<FFFD><0DFF><F500> Muahaha. You are truly the inferior<FF03>race! Are those twisted warblings the<FF03>only sounds you can emit?<FFFD><0EFF><F500>  Hm, not bad! Do you know any others?<FFFD><0FFF><F500> Hmm",,por_traducir,
talk_kouman_00015,44,<FF03>, A sheep has wandered too far<FF03>from the flock,,por_traducir,
talk_kouman_00016,38,<FF03> <FFFD> <10FF> <F500>," Girl, what do you<FF03>take me for?<FFFD><10FF><F500> Hmm",,por_traducir,
talk_kouman_00017,259,<FF02> <FF04> <FF03> <FFFD> <11FF> <F500> <FF03> <FF03> <FFF5> <FF03> <FFFD> <12FF> <F500>, You desire my power?<FF02><FF04>What do small beings like you even need<FF03>such grandiose power for?<FFFD><11FF><F500>   You are a foolish girl who cannot tell<FF03>the difference between us. Do not rouse<FF03>my fury.<FFF5>Impudent girl. You cannot simply rely<FF03>on my power. Do you understand?<FFFD><12FF><F500>Huaha,,por_traducir,
talk_kouman_00018,368,<FF03> <FF02> <FF04> <FFFD> <13FF> <F500> <FF03> <FF02> <FF04> <FFFD> <14FF> <F500> <FF03> <FF03> <FFF5> <FF03> <FFFD> <15FF> <F500>," It isn't such a bad feeling to<FF03>be relied on by a sweet, helpless girl.<FF02><FF04>What do you wish of me?<FFFD><13FF><F500> Muahaha. I revel in being relied on by<FF03>such a sweet, helpless girl.<FF02><FF04>Do you desire my power?<FFFD><14FF><F500> Ha. Using your wiles to reign me in?<FF03>How shameful. Only a foolish woman would<FF03>resort to such tactics.<FFF5>  Ha. If you mean those words, I shall<FF03>have you as my slave.<FFFD><15FF><F500>   Urgh",,por_traducir,
talk_kouman_00019,91,<FF03> <FF03>, What does a lowly human want of<FF03>me? This had better not be one of your<FF03>ill-conceived traps,,por_traducir,
talk_kouman_00021,21,, Your words are eerie,,por_traducir,
talk_kouman_00022,102,<FFF5> <FF03> <FF03> <FF02> <FF04>,"<FFF5>Muaha. So even amongst the incompetent<FF03>and ignorant humans, there are those<FF03>with wisdom!<FF02><FF04>So, tell me",,por_traducir,
talk_kouman_00023,119,<FF03> <FFFD> <17FF> <F500> <FF03> <FFFD> <18FF> <F500>, What aspect of mine<FF03>attracted you to me?<FFFD><17FF><F500>It's fine! I will live up to your<FF03>expectations! Tell me your desires!<FFFD><18FF><F500>Hmm,,por_traducir,
talk_kouman_00024,331,<FF03> <FFF5> <FF03> <FFFD> <19FF> <F500> <FFF5> <FF03> <FFF5> <FF03> <FF03> <FFF5>," Your words are eccentric!<FF03>Humans may have some merit after all!<FFF5> You speak lies without the slightest<FF03>hesitation! Do you mean to mock society?<FFFD><19FF><F500>I am not so blind as to be deceived.<FFF5>   Rubbish. If you must gossip, do so with<FF03>a female demon.<FFF5>Muahaha. A conversation that lacked any<FF03>real value, human girl, but I did enjoy<FF03>it!<FFF5>Huaha",,por_traducir,
