id,limite_chars,tokens_protegidos,texto_original,texto_traducido,estado,notas
talk_gaki_00001,26,<FF03>,<FF03>I think I'm getting kinda,,por_traducir,
talk_gaki_00002,82,<FFF5> <FF03> <FFF5>," Gahhh.<FFF5> I ain't the kinda brat that'll fall<FF03>for lamesauce like that.<FFF5>   Damn, bro",,por_traducir,
talk_gaki_00003,39,<FF03>, Your eyes get all freaky<FF03>when you talk,,por_traducir,
talk_gaki_00004,57,<FFF5> <FF03> <FFF5>,<FFF5> Are you that lame.? Who sings when<FF03>they're sober.?<FFF5> Bro,,por_traducir,
talk_gaki_00005,1185,<FFF5> <FF03> <FF03> <FFF5> <FF03> <FFF5> <FF03> <FFF5> <FF03> <FF03> <FFF5> <FF03> <FFF5> <FF03> <FFF5> <FF03> <FFF5> <FF03> <FFF5> <FF03> <FFF5> <FF03> <FF03> <FFF5> <FF03> <FFF5> <FFF5> <FF03> <FF03> <FFF5> <FF03> <FFF5> <FF03> <FFF5> <FFF5> <FF03> <FF03> <FFF5> <FF03> <FFF5>," Your throat's totally gone!<FFF5> Gyahahaha. Gyahahaha.<FF03>You're rockin', bro. Let's hear some<FF03>more shitty covers.<FFF5> Gah. You're rearin' to go, sister. I'm<FF03>totally crushin' on you.<FFF5>What was that, lameass.? Go hit on<FF03>someone else.<FFF5>   Gyahahaha. Gyahahaha.<FF03>You need me, huh.? Makes me wanna break<FF03>it down.<FFF5> What was that, lameass.? I ain't<FF03>fallin' for sweet talk like that.<FFF5> Damn girl, you're schemin' somethin',<FF03>huh?<FFF5> Gyahahaha. Gyahahaha.<FF03>I'm a preta, man. I'm freakin' amazing.<FFF5>  Gah. You say some weird shit outta the<FF03>blue, sister!<FFF5>   Like that'd ever happen. Are you a<FF03>freakin' moron.?<FFF5>Gyahahaha. Gyahahaha.<FF03>Did ya hit your head, sister.? You ain't<FF03>at the age of dreams anymore.<FFF5>   Gah. So slimes ain't the only ones<FF03>too scared to face me.<FFF5>  What was that, lameass.? Shut the hell up.<FFF5> Gyahahaha. Gyahahaha.<FF03>I'm scary, huh.?<FF03>Gyahahaha. Gyahahaha.<FFF5>   Gah. You swing both ways, bro.? You're<FF03>my freakin' idol.<FFF5>   What was that, lameass.? I'm a guy.<FF03>That shit ain't funny. I'll stab you.<FFF5>  Y-You're joking, right bro?<FFF5>Gyahahaha. Gyahahaha.<FF03>Good eye, bro. After all, I'm like,<FF03>puke-your-guts-out cute.<FFF5> Gah. Your jokes are awesome, bro.<FF03>Awesome 'cause they suck so bad.<FFF5> That ain't funny at all",,por_traducir,
talk_gaki_00006,87,<FF03> <FF03> <FFF5>," It gave me<FF03>the sudden urge to kill you! Ready to<FF03>die for me, bro?<FFF5>   Th-That's so lame",,por_traducir,
talk_gaki_00007,51,<FF03>," Dude, there should<FF03>be a worldwide ban on that joke",,por_traducir,
talk_gaki_00008,405,<FFF5> <FF03> <FFF5> <FFF5> <FF03> <FFF5> <FF03> <FF03> <FFF5> <FF03> <FFF5> <FF03> <FF03> <FFF5>,"<FFF5> Gyahahaha. Gyahahaha.<FF03>That's the best joke EVER, bro.<FFF5>  Gah. And then what happens.?<FFF5>   So what.? That ain't none of a preta's<FF03>business.<FFF5>   Gyahahaha. Gyahahaha.<FF03>I'm totally digging those kind of<FF03>pointless stories right now.<FFF5>   Gah. You're a badass, bro. I think I'm<FF03>falling for ya.<FFF5> What was that, lameass.? Don't act<FF03>like you're hot shit, you brown-headed<FF03>bastard.<FFF5> No one says stuff like that anymore",,por_traducir,
talk_gaki_00009,414,<FF03> <FFF5> <FF03> <FFF5> <FF03> <FFF5> <FF03> <FF03> <FFF5> <FF03> <FFF5> <FF03> <FFF5> <FF03> <FFF5>,"<FF03>You're behind the times, bro!<FFF5>   Gah. You must be rich, bro. I think I'm<FF03>fallin' for ya.<FFF5>What was that, lameass.? I'm an<FF03>extravagant guy.<FFF5>   Gyahahaha. Gyahahaha.<FF03>Gimme more stuff.<FF03>Gyahahaha. Gyahahaha.<FFF5>  Gah. You're a rationalist, eh, bro?<FF03>I like that school of thought!<FFF5> What was that, lameass.? I ain't<FF03>interested in speeches.<FFF5>   Gyahahaha. Gyahahaha.<FF03>You're absolutely right, bro.<FFF5>Gah. That kicked so much ass",,por_traducir,
talk_gaki_00010,118,<FF03> <FFF5> <FF03> <FFF5>,"<FF03>I wanna talk just like that.<FFF5>   What was that, lameass.? I don't<FF03>remember doing anything to piss you off.<FFF5>  C'mon bro",,por_traducir,
