id,limite_chars,tokens_protegidos,texto_original,texto_traducido,estado,notas
talk_syoujo_00001,191,<FF03> <FFFD> <00FF> <F500> <FFF5> <FF03> <FFFD> <01FF> <F500> <FF03>," You're actually pretty reliable,<FF03>mister!<FFFD><00FF><F500>  Don't make stuff up.<FFF5>   Your story sounds like a big phony to me.<FF03>Is it for real?<FFFD><01FF><F500>You just wanna talk to me, don't you?<FF03>I know I'm cute and all",,por_traducir,
talk_syoujo_00002,41,<FFF5>,<FFF5>   Hee hee. You're trying to persuade me,,por_traducir,
talk_syoujo_00003,164,<FF03> <FFFD> <02FF> <F500> <FF03> <FFF5> <FF03> <FFFD> <03FF> <F500>,"<FF03>In other words, you need me, right?<FFFD><02FF><F500> You're confident, aren't ya mister?<FF03>But I bet you're all talk.<FFF5> You seem strong, mister. So, what are<FF03>your plans for me?<FFFD><03FF><F500> ",,por_traducir,
talk_syoujo_00004,111,<FFF5> <FFFD> <04FF> <F500> <FF03>,"I'm not gonna play with you.<FFF5>You're a smooth talker, mister.<FFFD><04FF><F500>  What's so fun about surprising a<FF03>demon like me",,por_traducir,
talk_syoujo_00006,119,<FFFD> <05FF> <F500> <FF03> <FF03> <FFF5>,"<FFFD><05FF><F500>I don't really get what you're saying,<FF03>mister, but I feel like I'm being<FF03>invited!<FFF5>  I don't mind thinking about that",,por_traducir,
talk_syoujo_00007,163,<FF03> <FF03> <FFF1> <FFF5> <FFF5> <FF03> <FFFD> <06FF> <F500>,<FF03>but I hate people who promise to pay<FF03>up later.<FFF1><FFF5>Don't make stuff up.<FFF5>   Your story sounds like a big phony to me.<FF03>Is it for real?<FFFD><06FF><F500>I'm kinda in a hurry right now,,por_traducir,
talk_syoujo_00009,43,<FFF5> <FF03>,<FFF5> D-Don't tell me you're going to<FF03>kidnap me,,por_traducir,
talk_syoujo_00010,174,<FFFD> <07FF> <F500> <FF03> <FFF5> <FF03> <FFFD> <08FF> <F500>,"<FFFD><07FF><F500>You really wanna show off how good you<FF03>can sing, huh? You're a lousy human.<FFF5>Don't act all cool over something like<FF03>that. I'm way better than you.<FFFD><08FF><F500>Y-You're better than me",,por_traducir,
talk_syoujo_00011,61,<FFF5> <FF03>,"<FFF5> Do they call you Donald or something.?<FF03>Seriously, just stop",,por_traducir,
talk_syoujo_00012,88,<FFFD> <09FF> <F500> <FF03> <FFF5>,"<FFFD><09FF><F500>   You're not nearly as good as me, but I<FF03>think you have talent!<FFF5>  You're pretty good",,por_traducir,
talk_syoujo_00013,111,<FFFD> <0AFF> <F500> <FF03> <FFF5>,"<FFFD><0AFF><F500>I don't really get what you're saying,<FF03>miss, but I think I can help you!<FFF5>   I don't mind thinking about that",,por_traducir,
talk_syoujo_00014,194,<FF03> <FF03> <FFF1> <FFF5> <FFF5> <FF03> <FFFD> <0BFF> <F500> <FF03>,"<FF03>but I hate people who promise to pay<FF03>up later.<FFF1><FFF5>Don't make stuff up.<FFF5>   Your story sounds like a big phony to me.<FF03>Is it for real?<FFFD><0BFF><F500>You just wanna talk to me, don't you?<FF03>I know I'm cute and all",,por_traducir,
talk_syoujo_00015,36,<FFF5>,<FFF5>   I don't mind thinking about that,,por_traducir,
talk_syoujo_00016,234,<FF03> <FF03> <FFF1> <FFF5> <FF03> <FFF5> <FF03> <FFFD> <0CFF> <F500> <FF03> <FFF5>,"<FF03>but I hate people who promise to pay<FF03>up later.<FFF1><FFF5>Helloooo. It's completely obvious that<FF03>you don't mean it.<FFF5>  Don't you have any pride, miss? I hate<FF03>girls like you more than anything.<FFFD><0CFF><F500>Gross. Your real intentions are so<FF03>obvious.<FFF5>Hello",,por_traducir,
talk_syoujo_00017,168,<FF03> <FFFD> <0DFF> <F500> <FF03> <FFF5> <FF03>," I've heard a lot of rumors<FF03>about you too, Maki-chan!<FFFD><0DFF><F500>That's right. It's important to<FF03>recognize peoples' skills.<FFF5> I always knew I was too perfect. I even<FF03>scare myself",,por_traducir,
talk_syoujo_00018,302,<FFFD> <0EFF> <F500> <FF03> <FFF5> <FF03> <FFF5> <FFF5> <FF03> <FFFD> <0FFF> <F500> <FF03>," squee.<FFFD><0EFF><F500>   I don't really get what you're sayin<FF03>miss, but maybe you're right!<FFF5> You're pretty easy to trick, lady!<FF03>But that makes you so innocent and cute!<FFF5>Don't make stuff up.<FFF5>   Your story sounds like a big phony to me.<FF03>Is it for real?<FFFD><0FFF><F500>You just wanna talk to me, don't you?<FF03>I know I'm cute and all",,por_traducir,
talk_syoujo_00019,54,<FFF5> <FF03>,"<FFF5>   Ahahaha. I can't believe a story like<FF03>that, miss. ",,por_traducir,
talk_syoujo_00020,358,<FF03> <FFF5> <FFF5> <FF03> <FFFD> <10FF> <F500> <FF03> <FFF5> <FF03> <FFFD> <11FF> <F500> <FFF5> <FF03>,"Course, maybe if you<FF03>gave me something, it'd be different.<FFF5>   You really get it.<FFF5> I thought you were just stupid, miss!<FF03>Sorry.<FFFD><10FF><F500> Helloooo. It's completely obvious that<FF03>you don't mean it.<FFF5>  Don't you have any pride, miss? I hate<FF03>girls like you more than anything.<FFFD><11FF><F500>Hee hee. Modesty is the way to go. Yep.<FFF5>I always knew I was too perfect. I even<FF03>scare myself",,por_traducir,
talk_syoujo_00021,125,<FFFD> <12FF> <F500> <FF03> <FFF5> <FF03>," squee.<FFFD><12FF><F500>   You're so weird. But you have style,<FF03>so I don't mind.<FFF5>  I don't mind going out with your if it's<FF03>just for dinner",,por_traducir,
talk_syoujo_00022,37,<FF03> <FFFD> <13FF> <F500>," It'll be your treat,<FF03>right?<FFFD><13FF><F500>  Do I",,por_traducir,
talk_syoujo_00023,44,<FF03>, look easy to pick up on?<FF03>That kind of sucks,,por_traducir,
talk_syoujo_00024,88,<FFF5> <FF03> <FF03>,"<FFF5> Unless you're in a boy band, I'm not<FF03>interested, and you don't look like<FF03>you are. Like",,por_traducir,
talk_syoujo_00025,21,<FFFD> <14FF> <F500>, at all.<FFFD><14FF><F500>I'm scared,,por_traducir,
talk_syoujo_00027,59,<FFF5> <FF03>,"<FFF5>  No way, are you hitting on me?<FF03>Too bad you're like a two",,por_traducir,
talk_syoujo_00028,53,<FFF5> <FF03>,"<FFF5>No way, are you hitting on me?<FF03>Hmm, what should I do",,por_traducir,
talk_syoujo_00029,235,<FFFD> <15FF> <F500> <FF03> <FFF5> <FF03> <FFF5> <FFF5> <FF03> <FFFD> <16FF> <F500>,"<FFFD><15FF><F500> Do you wanna play with me that much?<FF03>You're such a little boy, mister.<FFF5> Ahahaha. I hear entertainers are<FF03>really smart.<FFF5> What's up with that.?<FFF5>  This is so boring. I don't even get what<FF03>the joke's supposed to be.<FFFD><16FF><F500>  Oh man, so lame",,por_traducir,
talk_syoujo_00030,73,<FFF5> <FFFD> <17FF> <F500> <FFF5>,<FFF5> Huuuh.? No way. You're a weird guy!<FFFD><17FF><F500>  Ahahaha. My tummy hurts.<FFF5>   Hmm,,por_traducir,
talk_syoujo_00031,116,<FF03> <FF03> <FFFD> <18FF> <F500>," That sounded like the kind of<FF03>gossip you'd hear from a street punk.<FF03>But I liked it.<FFFD><18FF><F500>   Oh, so that's how it works",,por_traducir,
talk_syoujo_00032,770,<FF03> <FFF5> <FF03> <FFFD> <19FF> <F500> <FF03> <FF03> <FFF5> <FF03> <FF03> <FFFD> <1AFF> <F500> <FF03> <FFF5> <FF03> <FFFD> <1BFF> <F500> <FF03> <FFF5> <FFFD> <1CFF> <F500> <FF03> <FFF5> <FF03> <FFFD> <1DFF> <F500> <FF03> <FFF5> <FF03>," Being<FF03>human sounds tough too!<FFF5>Don't you have any more interesting<FF03>stories?<FFFD><19FF><F500> This isn't the time to be talking about<FF03>that stuff. Man, you're really killing<FF03>the mood.<FFF5>   Can't you take this negotiation more<FF03>seriously.? This isn't the time for<FF03>small talk.<FFFD><1AFF><F500> Thanks for telling me a story. Ooh, I'll<FF03>tell you a great story I know later.<FFF5>  Thanks for telling me a story. But what<FF03>I like most of all is badmouthing people.<FFFD><1BFF><F500>You want me to play with you, mister?<FF03>You're such a little boy.<FFF5>Wh-What was that just now.?<FFFD><1CFF><F500>  Wh-What the.? Oh, you make me so<FF03>angry. Screw you.<FFF5> What's wrong with you.? Are you stupid<FF03>or something.?<FFFD><1DFF><F500>Yikes. Seriously, what was that for?<FF03>You're like, sorta out there, mister!<FFF5> Are you okay, mister? It's dangerous<FF03>if you're gonna get that hyper",,por_traducir,
talk_syoujo_00033,64,<FF03> <FFFD> <1EFF> <F500> <FF03>,"<FF03>Calm down a little, okay?<FFFD><1EFF><F500> You're giving me a present?<FF03>Really",,por_traducir,
talk_syoujo_00034,366,<FFF5> <FF03> <FFFD> <1FFF> <F500> <FF03> <FFF5> <FF03> <FFFD> <20FF> <F500> <FFF5> <FFFD> <21FF> <F500> <FF03> <FFF5>,"<FFF5>  Are you from a rich family? Then you can<FF03>give me more, right.?<FFFD><1FFF><F500>   Hey. Don't underestimate me. I'm not<FF03>gonna be coaxed with cheap items.<FFF5> I don't want something boring like that.<FF03>Don't you have anything better?<FFFD><20FF><F500> Yaaaay. I got a present.<FFF5>   Hee hee. Make more offerings to me. More.<FFFD><21FF><F500>I don't really get what you're saying,<FF03>mister, but you might be right!<FFF5> Hmm",,por_traducir,
talk_syoujo_00035,195,<FF03> <FFFD> <22FF> <F500> <FFF5> <FF03> <FFFD> <23FF> <F500> <FF03>," You're actually pretty reliable,<FF03>mister!<FFFD><22FF><F500>  Hey. Don't make up stuff.<FFF5>  Your story sounds like a big phony to me.<FF03>Is it for real?<FFFD><23FF><F500>You just wanna talk to me, don't you?<FF03>I know I'm cute and all",,por_traducir,
talk_syoujo_00036,240,<FFF5> <FF03> <FFFD> <24FF> <F500> <FF03> <FFF5> <FF03> <FFFD> <25FF> <F500>,"<FFF5>   Hee hee. You're making a big speech, but<FF03>what you mean is, you need me, right?<FFFD><24FF><F500>   You're confident, aren't ya miss?<FF03>But I bet you're all talk.<FFF5>   If you say you're strong, mister, I guess<FF03>you are. So, what are your plans for me?<FFFD><25FF><F500>   ",,por_traducir,
talk_syoujo_00037,123,<FFF5> <FFFD> <26FF> <F500> <FF03>,"Fine. See if I play with you anymore.<FFF5>   You're a smooth talker, mister.<FFFD><26FF><F500>  What's so fun about surprising a<FF03>demon like me",,por_traducir,
talk_syoujo_00039,66,<FFFD> <27FF> <F500> <FF03>,"<FFFD><27FF><F500>Say what you want, but you've got one<FF03>nasty personality, mister",,por_traducir,
talk_syoujo_00040,176,<FFF5> <FF03> <FFFD> <28FF> <F500> <FF03> <FFF5> <FF03>,"<FFF5> Hey, mister, is this your first time<FF03>talking to a girl?<FFFD><28FF><F500>  I'm actually older than you, you know.<FF03>Can't ya just act normal?<FFF5>   You should brush up on your negotiation<FF03>skills",,por_traducir,
talk_syoujo_00041,105,<FF03> <FFFD> <29FF> <F500> <FF03>," If you want to live a long<FF03>life, that is.<FFFD><29FF><F500>  Ahahaha. I get so embarrassed when you<FF03>praise me that much",,por_traducir,
talk_syoujo_00042,93,<FFF5> <FF03> <FFFD> <2AFF> <F500> <FF03>,"<FFF5>  Ahahaha. You're smart too, aren't you,<FF03>mister.?<FFFD><2AFF><F500>  I'm pretty good at doing sexy dances!<FF03>",,por_traducir,
talk_syoujo_00043,565,<FFF5> <FF03> <FFFD> <2BFF> <F500> <FF03> <FFF5> <FF03> <FF03> <FFFD> <2CFF> <F500> <FFF5> <FF03> <FFFD> <2DFF> <F500> <FF03> <FFF5> <FF03> <FFFD> <2EFF> <F500> <FFF5> <FFFD> <2FFF> <F500> <FF03>,"I'm not kidding.<FFF5>  Wow, you're pretty good. Teach me too<FF03>next time.<FFFD><2BFF><F500> Man, you totally suck! Come back after<FF03>some practice.<FFF5>  Yikes, what're you doing.? The bathroom<FF03>is that way. You're gonna embarrass<FF03>yourself if you don't hurry.<FFFD><2CFF><F500> That's so cool. I wanna join in.<FFF5>   Yayyyyy. This is my first time seeing<FF03>a human dance.<FFFD><2DFF><F500> You're confident, aren't ya mister?<FF03>But I bet you're all talk.<FFF5> You seem strong, mister. So, what are<FF03>your plans for me?<FFFD><2EFF><F500> See if I play with you anymore.<FFF5>You're a smooth talker, mister.<FFFD><2FFF><F500>  What's so fun about surprising a<FF03>demon like me",,por_traducir,
talk_syoujo_00045,560,<FFFD> <30FF> <F500> <FF03> <FFF5> <FF03> <FFF0> <FFFD> <31FF> <F500> <FFF5> <FFFD> <32FF> <F500> <FF03> <FFF5> <FF03> <FFFD> <33FF> <F500> <FF03> <FFF5> <FF03> <FFF5> <FFF5> <FF03> <FFFD> <34FF> <F500> <FF03>,"<FFFD><30FF><F500>Oh crap. Is there something on my<FF03>face?<FFF5>What is it? Are <FF03><FFF0> that rare?<FFFD><31FF><F500>Hmm? You got a problem or something?<FFF5>   Stop staring at me.<FFFD><32FF><F500>  You're staring at me all dreamily.<FF03>Hee hee. It's 'cause I'm cute!<FFF5>  Hmm? What's wrong? Never seen a demon<FF03>as cute as me?<FFFD><33FF><F500> I don't really get what you're saying,<FF03>mister, but you might be right!<FFF5> You're pretty easy to trick, huh mister?<FF03>But that's what makes you so cute.<FFF5>Hey. Don't make up stuff.<FFF5>  Your story sounds like a big phony to me.<FF03>Is it for real?<FFFD><34FF><F500>You just wanna talk to me, don't you?<FF03>I know I'm cute and all",,por_traducir,
