id,limite_chars,tokens_protegidos,texto_original,texto_traducido,estado,notas
talk_etc_00001,69,<FF02> <FF04> <0044> <FF03> <FFF5> <FFEB> <0056> <0056> <FF03>,<FF02><FF04><0044> Karma Pride has no intention of<FF03>negotiating with humans.<FFF5><FFEB><0056>yawn<0056><FF03>,,por_traducir,
talk_etc_00002,22,<FF02> <FF04> <0044>,<FF02><FF04><0044> Karma Sloth yawned,,por_traducir,
talk_etc_00003,53,<FF03> <FFF5> <FFEB> <FF03>, It doesn't<FF03>have the energy to negotiate.<FFF5>   <FFEB>Gewah.<FF03>,,por_traducir,
talk_etc_00004,65,<FF02> <FF04> <0044> <FF03> <FFF5> <FFEC>,<FF02><FF04><0044> Karma Wrath prefers a heated battle<FF03>to negotiations.<FFF5> <FFEC>Grrrrr,,por_traducir,
talk_etc_00005,47,<FF02> <FF04> <0044> <FF03>,"<FF02><FF04><0044> Karma Envy is jealous of someone,<FF03>somewhere",,por_traducir,
talk_etc_00006,34,<FF03> <FFF5> <FFED>, Negotiations are<FF03>impossible.<FFF5>   <FFED>,,por_traducir,
talk_etc_00007,90,<FF02> <FF04> <0044> <FF03> <FF03> <FFF5> <FFEB>,"<FF02><FF04><0044> Karma Greed seems to want something,<FF03>but whatever that is, it's not a<FF03>negotiation.<FFF5>  <FFEB>",,por_traducir,
talk_etc_00008,82,<FF02> <FF04> <0044> <FF03> <FFF5> <FFEB>,<FF02><FF04><0044> Karma Lust is lost in its own lewd<FF03>fantasies. Negotiations are impossible.<FFF5>  <FFEB>,,por_traducir,
talk_etc_00009,46,<FF02> <FF04> <0044> <FFF5> <FFEB>,<FF02><FF04><0044> The M!I!B! is not willing to negotiate.<FFF5> <FFEB>,,por_traducir,
talk_etc_00010,46,<FF02> <FF04> <0044> <FFF5> <FFEB>,<FF02><FF04><0044> The Agent is not willing to negotiate.<FFF5>  <FFEB>,,por_traducir,
talk_etc_00011,82,<FF02> <FF04> <0044> <FF03> <FFF5> <FF1B> <FF03>,<FF02><FF04><0044> The Secret Police are not willing<FF03>to negotiate.<FFF5> <FF1B>Kali<FF03>Bones of the underworld,,por_traducir,
talk_etc_00012,308,<FF03> <FF02> <FF04> <FF1B> <FF03> <FF02> <FF04> <FFED> <FF1B> <FF03> <FF02> <FF04> <FF1B> <FF03> <FF03> <FFEF> <FF1B> <FF03> <FF03> <FF02> <FF04> <FF1B> <FF03> <FF02> <FF04> <FFEE> <FF1B> <FF03>, I am the<FF03>goddess of death and destruction!<FF02><FF04><FF1B>Kali<FF03>Surely you have not forgotten me?<FF02><FF04><FFED><FF1B>Kwancha<FF03>Of course not.<FF02><FF04><FF1B>Kwancha<FF03>But I'm surprised to see you of all<FF03>deities fooling around with humans!<FFEF>   <FF1B>Kali<FF03>Worry not! I have my reasons for lending<FF03>my power to this human!<FF02><FF04><FF1B>Kali<FF03>Why don't you join us?<FF02><FF04><FFEE><FF1B>Kwancha<FF03>,,por_traducir,
talk_etc_00014,62,<FF03> <FFEF> <FF1B> <FF03>," Very well, human,<FF03>take my card!<FFEF><FF1B>Kali<FF03>Bones of the underworld",,por_traducir,
talk_etc_00015,357,<FF03> <FF02> <FF04> <FF1B> <FF03> <FF02> <FF04> <FFED> <FF1B> <FF03> <FF02> <FF04> <FF1B> <FF03> <FF03> <FFEF> <FF1B> <FF03> <FF03> <FF02> <FF04> <FF1B> <FF03> <FF02> <FF04> <FFEE> <FF1B> <FF03> <FF03>," I am the<FF03>goddess of death and destruction!<FF02><FF04><FF1B>Kali<FF03>Surely you have not forgotten me?<FF02><FF04><FFED><FF1B>Kwancha<FF03>Of course not.<FF02><FF04><FF1B>Kwancha<FF03>But I'm surprised to see you of all<FF03>deities fooling around with humans!<FFEF>   <FF1B>Kali<FF03>Worry not! I have my reasons for lending<FF03>my power to this human!<FF02><FF04><FF1B>Kali<FF03>Why don't you join us?<FF02><FF04><FFEE><FF1B>Kwancha<FF03>Even at your request, I have my pride<FF03>to consider",,por_traducir,
talk_etc_00016,15,<FFEF> <FF1B> <FF03>,<FFEF>   <FF1B>Kali<FF03>Human,,por_traducir,
talk_etc_00017,147,<FF03> <FF02> <FF04> <FFED> <FF1B> <FF03> <FF03> <FF02> <FF04> <FF1B> <FF03>," You are making a foolish<FF03>choice! Will you not reconsider?<FF02><FF04><FFED><FF1B>Kwancha<FF03>No, no, m'lady. In the end, these<FF03>humans will learn their lesson.<FF02><FF04><FF1B>Kwancha<FF03>I",,por_traducir,
talk_etc_00018,43,<FFEF> <FFEF> <FF1B> <FF03>, I should be going now.<FFEF><FFEF>   <FF1B>Kali<FF03>'Tis well,,por_traducir,
talk_etc_00019,40,<FF02> <FF04> <FFEC> <FF1B> <FF03>, This shall lighten my load!<FF02><FF04><FFEC><FF1B>Kwancha<FF03>,,por_traducir,
talk_etc_00020,65,<FF03> <0028>,This is rather lamentable! A shame to<FF03>the title of the <0028>Black One,,por_traducir,
talk_etc_00021,13,<FFEF> <FF1B> <FF03>,<FFEF> <FF1B>Durga<FF03>Gdon,,por_traducir,
talk_etc_00022,73,<FF03> <FF02> <FF04> <FFEC> <FF1B> <FF03>, Hast thou grown tired of bearing<FF03>this goddess upon your back?<FF02><FF04><FFEC><FF1B>Gdon<FF03>NO,,por_traducir,
talk_etc_00023,13,, ME YOUR RIDE,,por_traducir,
talk_etc_00024,61,<FF03> <FFEF> <FF1B> <FF03>, ME NO FORGET<FF03>BATTLE WITH THE ASURA!<FFEF> <FF1B>Durga<FF03>That is the past,,por_traducir,
talk_etc_00025,149,<FF03> <FF02> <FF04> <FF1B> <FF03> <FF02> <FF04> <FFEB> <FF1B> <FF03> <FF03> <FFEF> <FF1B> <FF03>," Now I lend my power<FF03>to this human!<FF02><FF04><FF1B>Durga<FF03>Come, wilt thou be my steed once more?<FF02><FF04><FFEB><FF1B>Gdon<FF03>ME ALWAYS HAPPY TO HELP YOU. HUMAN,<FF03>TAKE CARD.<FFEF><FF1B>Durga<FF03>Gdon",,por_traducir,
talk_etc_00026,73,<FF03> <FF02> <FF04> <FFEC> <FF1B> <FF03>, Hast thou grown tired of bearing<FF03>this goddess upon your back?<FF02><FF04><FFEC><FF1B>Gdon<FF03>NO,,por_traducir,
talk_etc_00027,13,, ME YOUR RIDE,,por_traducir,
talk_etc_00028,61,<FF03> <FFEF> <FF1B> <FF03>, ME NO FORGET<FF03>BATTLE WITH THE ASURA!<FFEF> <FF1B>Durga<FF03>That is the past,,por_traducir,
talk_etc_00029,113,<FF03> <FF02> <FF04> <FF1B> <FF03> <FF02> <FF04> <FFEB> <FF1B> <FF03>," Now I lend my power<FF03>to this human!<FF02><FF04><FF1B>Durga<FF03>Come, wilt thou be my steed once more?<FF02><FF04><FFEB><FF1B>Gdon<FF03>ME NO LIKE WEAK HUMANS",,por_traducir,
talk_etc_00030,21,<FF03>, ME GIVE VAGUE<FF03>ANSWER,,por_traducir,
