id,limite_chars,tokens_protegidos,texto_original,texto_traducido,estado,notas
talk_wtensi_00001,280,<FF03> <FFF5> <FF03> <FFFD> <02FF> <F500> <FF03> <FF03> <FFF5>," Now turn your heart to the Lord<FF03>and let us walk a path of righteousness.<FFF5>Do you wish to form a contract with me,<FF03>one of His messengers?<FFFD><02FF><F500>   You are overflowing with confidence!<FF03>Should the chance ever arise, I would<FF03>like a personal match with you!<FFF5> I understand now your strength",,por_traducir,
talk_wtensi_00002,163,<FF03> <FFFD> <03FF> <F500> <FF03> <FFF5> <FFFD> <04FF> <F500> <0007>,<FF03>But what will you do with me?<FFFD><03FF><F500>  I shall mend your twisted mind for<FF03>your own sake.<FFF5>  Where did you learn to speak such filth?<FFFD><04FF><F500> I am an angel<0007> His own messenger,,por_traducir,
talk_wtensi_00003,524,<FF03> <FFF5> <FF03> <FFFD> <05FF> <F500> <FF03> <FFF5> <FF03> <FF03> <FFFD> <06FF> <F500> <FF03> <FF03> <FFF5> <FF03> <FF02> <FF04> <FF03> <FF03> <FFFD> <07FF> <F500>,"<FF03>I do not yield to threats!<FFF5> As one of His messengers, you must attend<FF03>to me with respect!<FFFD><05FF><F500>Since you require my intervention,<FF03>your point is indeed reasonable!<FFF5>You have a great deal of foresight!<FF03>Young though you are, you are both<FF03>admirable and reliable!<FFFD><06FF><F500>   Do you truly require my intervention?<FF03>There is no sincerity in your speech<FF03>and actions.<FFF5>As a redeemed human, you must speak only<FF03>the truth.<FF02><FF04>Pursuing personal gain and deceitfully<FF03>hiding your true intentions will only<FF03>anger Him.<FFFD><07FF><F500> An invitation from a fallen one",,por_traducir,
talk_wtensi_00004,23,<FF03>,<FF03>You demon-ridden human,,por_traducir,
talk_wtensi_00005,47,<FF03>,I believe there are others better<FF03>suited than I,,por_traducir,
talk_wtensi_00006,121,<FFF5> <FF03> <FF03> <FFF5>,"<FFF5>  Though you try to appease angels with<FF03>such songs, His order will not be<FF03>swayed.<FFF5>An enchanting singer who seduces souls",,por_traducir,
talk_wtensi_00007,113,<FF03> <FF03> <FFFD> <08FF> <F500>,<FF03>Humans are indeed dangerous creatures!<FF03>They cannot be left unshepherded.<FFFD><08FF><F500>   I cannot bear to listen any longer,,por_traducir,
talk_wtensi_00008,30,<FF03>,<FF03>This must be a form of ordeal,,por_traducir,
talk_wtensi_00009,39,<FFF5>,<FFF5> Your song is not pleasing to His ears,,por_traducir,
talk_wtensi_00010,15,<FF03>,<FF03>S-Stop at once,,por_traducir,
talk_wtensi_00011,114,<FFFD> <09FF> <F500> <FF03> <FFF5> <FF03>,"<FFFD><09FF><F500>  Ah, such singing is truly the music of<FF03>the spheres.<FFF5>That voice must be a gift from Him, no?<FF03>I am deeply moved",,por_traducir,
talk_wtensi_00012,450,<FFFD> <0AFF> <F500> <FF03> <FFF5> <FF03> <FF03> <FFFD> <0BFF> <F500> <FF03> <FF03> <FFF5> <FF03> <FF02> <FF04> <FF03> <FF03> <FFFD> <0CFF> <F500> <FF03>,"<FFFD><0AFF><F500>Since you require my intervention,<FF03>your point is indeed reasonable!<FFF5>You have a great deal of foresight!<FF03>Young though you are, you are both<FF03>admirable and reliable!<FFFD><0BFF><F500>   Do you truly require my intervention?<FF03>There is no sincerity in your speech<FF03>and actions.<FFF5>As a redeemed human, you must speak only<FF03>the truth.<FF02><FF04>Pursuing personal gain and deceitfully<FF03>hiding your true intentions will only<FF03>anger Him.<FFFD><0CFF><F500> Your instincts are right to be interested<FF03>in me",,por_traducir,
talk_wtensi_00013,249,<FF03> <FFF5> <FF03> <FFFD> <0DFF> <F500> <FF03> <FFF5>," Now turn your heart to the Lord<FF03>and let us walk a path of righteousness.<FFF5>Do you wish to form a contract with me,<FF03>one of His messengers?<FFFD><0DFF><F500>   That will change nothing. You must cling<FF03>fast to your beliefs to live your life.<FFF5>   What an obvious charade",,por_traducir,
talk_wtensi_00014,81,<FF03> <FFFD> <0EFF> <F500> <FF03>, Your true<FF03>intentions are known to me.<FFFD><0EFF><F500> I feel there must be some catch to<FF03>this,,por_traducir,
talk_wtensi_00015,12,, How uncanny,,por_traducir,
talk_wtensi_00017,333,<FF03> <FFFD> <0FFF> <F500> <FF03> <FFF5> <FF03> <FF03> <FFFD> <10FF> <F500> <FF03> <FFF5>," I still lack experience<FF03>as one of His messengers!<FFFD><0FFF><F500>  Very true. Obedience to me is indeed the<FF03>first step on the path to redemption.<FFF5> So you instinctively sensed that an<FF03>almighty, transcendent entity is<FF03>enthroned in the heavens.<FFFD><10FF><F500>   Since you have been redeemed, your point<FF03>is indeed reasonable!<FFF5> You have a great deal of foresight",,por_traducir,
