id,limite_chars,tokens_protegidos,texto_original,texto_traducido,estado,notas
talk_kutisake_00001,178,<FF03> <FFF5> <FF03> <FFF5> <FF03> <FF02> <FF04>," I'm still young, too!<FF03>It makes me think!<FFF5>   Hmph. What do you think you're up to?<FF03>As if you know how I've suffered.<FFF5>I knew it. You're interested in me,<FF03>aren't you?<FF02><FF04>Let me guess",,por_traducir,
talk_kutisake_00002,204,<FF03> <FFF5> <FF03> <FFF5> <FF03> <FFF5>," You're attracted to<FF03>women with large mouths.<FFF5>  Goodness, you're rather confident!<FF03>Wanna put that to the test later on?<FFF5>The nerve, taunting me. Don't make me<FF03>take off this mask.<FFF5>  Wh-What's wrong with you",,por_traducir,
talk_kutisake_00003,38,<FF03>, Don't you<FF03>know how to speak to a lady,,por_traducir,
talk_kutisake_00004,195,<FFF5> <FF02> <FF04> <FFF5> <FF03> <FFF5> <FF03>,<FFF5> Do you really need my help?<FF02><FF04>Aren't you just trying to join our group?<FFF5> Are you trying to sweet-talk me?<FF03>Hmph. I'm not falling for that.<FFF5>   I'm not interested in people with small<FF03>mouths! Sorry,,por_traducir,
talk_kutisake_00005,41,<FFF5>, try someone else!<FFF5> What an amazing voice,,por_traducir,
talk_kutisake_00006,100,<FF03> <FF03> <FFF5>," It's so good,<FF03>I kind of hate it. Let's see what it<FF03>sounds like when it's screaming.<FFF5>   Stop singing",,por_traducir,
talk_kutisake_00007,97,<FFF5> <FF03> <FFF5>," I hate music!<FFF5>  Wow, that's a great voice! You know,<FF03>I was a good singer in my day, too!<FFF5>   Well",,por_traducir,
talk_kutisake_00008,226,<FF03> <FF03> <FFF5> <FF03> <FF02> <FF04> <FFF5> <FF03> <FF02> <FF04>," you're not using any product<FF03>in your hair, at least! I'll think<FF03>about it!<FFF5>  Hmph. I bet you've rehearsed those lines<FF03>before on other demons.<FF02><FF04>You disgust me.<FFF5>  Another favor? It seems like everyone's<FF03>been coming to me!<FF02><FF04>Ahaha",,por_traducir,
talk_kutisake_00009,97,<FFF5> <FF03> <FFF5>," Beauty can be a sin!<FFF5>  Don't you have any pride.? I hate women<FF03>like you.<FFF5>  Come on, cut that out",,por_traducir,
talk_kutisake_00010,83,<FFF5> <FF03> <FFF5>, It's creepy!<FFF5>  Yes. Exactly. The homely and the plain<FF03>must kneel before me.<FFF5>   Hmm,,por_traducir,
