id,limite_chars,tokens_protegidos,texto_original,texto_traducido,estado,notas
talk_qsiruba_00001,102,<FFF5> <FF03> <FFF5>,<FFF5>Eeeeeeee. You-you-you really suck.<FF03>Do me a fav-favor and shut up.<FFF5>  S-S-So you're a p-poltergeist too,,por_traducir,
talk_qsiruba_00004,340,<FFF5> <FF03> <FFF5> <0056> <0056> <0056> <FF03> <FFF5> <FF03> <FFF5> <FF03> <FFF5> <FF03> <FFF5> <0056>,"<FFF5>   Heeheehee. S-So you're apoltergeisttoo.<FF03>It's great to see a fellow poltergeist.<FFF5><0056>ring<0056> <0056>ring Y-Y-You want Q?<FF03>Awwww, that'ssocuuuute.<FFF5>   Eeeeeeeee. Q told you, she's not<FF03>inter-inter-interested.<FFF5>   Heeheehee. That means youneedQ, right.?<FF03>I feel pretty-pre-pretty good.<FFF5> Eeeeeeee. Q won't fall-f-fall for that<FF03>kind of sweet talk.<FFF5> <0056>crackle",,por_traducir,
talk_qsiruba_00005,15,, You-you you're,,por_traducir,
talk_qsiruba_00006,19,<FF03>, scheming<FF03>something,,por_traducir,
talk_qsiruba_00008,361,<FFF5> <FF03> <FFF5> <0056> <0056> <0056> <0056> <FF03> <FFF5> <FFF5> <FF03> <FFF5> <0056> <0056> <0056> <0056> <FF03> <FFF5> <FFF5> <FFF5> <0056> <0056> <0056> <0056>,"<FFF5>Heeheehee. You-you know what to say<FF03>tomakeQ happy.<FFF5> <0056>ring<0056> <0056>ring<0056> You say some weirWEIRweird<FF03>things, weirdo.<FFF5>   Eeeeeeee. It's wrong to l-l-lie.<FFF5>   Heeheehee. You-you tell someinteresting<FF03>stories. I-I-I-I like them.<FFF5><0056>ring<0056> <0056>ring<0056> Are-are you weak?<FF03>Are you?<FFF5>   Eeeeeeee. B-B-Be quQUIET.<FFF5>  Heeheehee. You-you know how scary Q is.<FFF5><0056>ring<0056> <0056>ring<0056> You-you're so cute",,por_traducir,
talk_qsiruba_00009,366,<FF03> <FF03> <FFF5> <FF03> <FFF5> <0056> <0056> <FFF5> <FF03> <FFF5> <0056> <0056> <0056> <0056> <FF03> <FFF5> <FF03> <FFF5> <0056> <0056> <FF03>,"<FF03>You mightmakea good comp-comp-companion<FF03>for Q.<FFF5> Eeeeeee. You-you're not worthy to<FF03>bemypart-partner.<FFF5><0056>crackle<0056><FFF5>  Heeheehee. Is this Q's static cling?<FF03>Heeheehee. Ohhh, whatshouldQ do?<FFF5>  <0056>ring<0056> <0056>ring<0056> That was too funnyyyyyyy.<FF03>Q is a fanofyours now.<FFF5> Eeeeeeee. Q likes the dry hu-HUmor of<FF03>British comedy best.<FFF5> <0056>crackle<0056> Something's not righ-right<FF03>right with your head",,por_traducir,
talk_qsiruba_00010,286,<FFF5> <FFF5> <0056> <0056> <0056> <0056> <FF03> <FFF5> <FF03> <FFF5> <FFF5> <0056> <0056> <0056> <0056> <FF03> <FFF5> <FFF5> <0056> <0056>,<FFF5>   Heeheehee. Heeheehee. Heeheehee.<FFF5>   <0056>ring<0056> <0056>ring<0056> Now you canlistento<FF03>Q's story.<FFF5>   Eeeeeeee. Don't tell such boring<FF03>sto-stor-stories.<FFF5> Heeheehee. Whatasilly storyyyyyy.<FFF5>  <0056>ring<0056> <0056>ring<0056> Not-not-not bad!<FF03>Q f-f-fellforit.<FFF5>Eeeeeee. You stupid brownhair.<FFF5> <0056>crackle<0056> What'swiththis human,,por_traducir,
talk_qsiruba_00011,1019,<FFF5> <0056> <0056> <0056> <0056> <FF03> <FFF5> <FFF5> <FF03> <FFF5> <0056> <0056> <0056> <0056> <FF03> <FFF5> <FF03> <FFF5> <FFF5> <FF03> <FFF5> <FF03> <FFF5> <0056> <0056> <FF03> <FFF5> <0056> <0056> <0056> <0056> <FFF5> <FF03> <FFF5> <FFF5> <0056> <0056> <0056> <0056> <FF03> <FFF5> <FF03> <FFF5> <FFF5> <0056> <0056> <0056> <0056> <FF03> <FFF5> <FF03> <FFF5> <0056> <0056> <FFF5> <0056> <0056> <0056> <0056> <FF03>,<FFF5> <0056>ring<0056> <0056>ring<0056> I know-know-know your<FF03>heart's in the right plaaaaaaace.<FFF5>  Eeeeeeee. Q doesn't need tha-that stuff.<FFF5>   Heeheehee. Q willtakeanything she<FF03>can get.<FFF5> <0056>ring<0056> <0056>ring<0056> You-you-you must be very<FF03>self-confident. Not bad-ba-BAD.<FFF5> Eeeeeeee. Hey-hey y-y-y-y-you.<FF03>Stop bragGINGsomuch to Q.<FFF5>   Heeheehee. You-you're exactly right.<FFF5>   Q isn't scared! You-you're a ggggggood<FF03>person after all.<FFF5>   Eeeeeeee. Some rich moronispicking<FF03>a f-f-f-fiiiIIIGHT with Q.?<FFF5> <0056>crackle<0056> You-you must be scaredofthis<FF03>place.<FFF5>  <0056>ring<0056> <0056>ring<0056> You-you know a lot about Q.<FFF5>  Eeeeeeeee. Q knows ever-everyTHING<FF03>you'rethinkinggggg.<FFF5> Heeheehee. That's just how Q-Q-Q is.<FFF5>   <0056>ring<0056> <0056>ring<0056> Dance. Dance.<FF03>D-D-D-Daance.<FFF5>  Eeeeeeee. You-you have no skillllllls.<FF03>It's like watching a car wreck-eck-eck.<FFF5> Heeheehee. N-N-Not bad. Heeheehee.<FFF5> <0056>ring<0056> <0056>ring<0056> Q isn't scared.<FF03>You you're a go-go-good person!<FFF5>  Eeeeeeee. Areyoupicking a f-f-fight<FF03>with Q.?<FFF5>   <0056>crackle<0056> Wh-What d-d-did Q do?<FFF5><0056>ring<0056> <0056>ring<0056> You're i-i-in-in-interested<FF03>in Q? What should I do-I do,,por_traducir,
talk_qsiruba_00012,435,<FFF5> <FF03> <FFF5> <FF03> <FF03> <FFF5> <0056> <0056> <0056> <0056> <FF03> <FFF5> <FFF5> <FF03> <FFF5> <FF03> <FFF5> <0056> <0056> <FF03>,"<FFF5>  Eeeeeeeee. What're youlookingat.?<FF03>Don't make me paint-aint-aint your face.<FFF5> Heeheehee. Q loves the look in your-<FF03>your-your eyes. It makesherwant to suck<FF03>them outttttt.<FFF5><0056>ring<0056> <0056>ring<0056> You say some weir-weir-<FF03>weird things, weirdo.<FFF5>Eeeeeeee. It's wrong to l-l-lie.<FFF5>   Heeheehee. You-you tell someinteresting<FF03>stories. I-I-I-I like them.<FFF5>Eeeeeee. That isn't s-s-SCARY at alllll.<FF03>Boooooriiiiing.<FFF5>   <0056>crackle<0056> You-you got-go-gotta be<FF03>joking",,por_traducir,
talk_qsiruba_00013,604,<FFF5> <FF03> <FFF5> <0056> <0056> <0056> <0056> <FF03> <FFF5> <FF03> <FFF5> <FF03> <FFF5> <0056> <0056> <0056> <0056> <FFF5> <FF03> <FFF5> <FF03> <FFF5> <0056> <0056> <0056> <0056> <FF03> <FFF5> <FF03> <FFF0> <FFF5> <0056> <0056> <FF03>,"<FFF5>Heeheehee. You-your stories soundlikethey<FF03>really hap-happened-ed-ed-ed.<FFF5><0056>ring<0056> <0056>ring<0056> You're pretty-pret-pretty<FF03>good. Notbadfor a human.<FFF5>   Eeeeeeee. You-you really suck.<FF03>Do me a favorandshut up.<FFF5>Heeheehee. S-So you're apoltergeisttoo.<FF03>It's great to see a fellow poltergeist.<FFF5><0056>ring<0056> <0056>ring<0056> You-you must like Q, huh.<FFF5>Eeeeeeee. Q is pretty old. Don't make<FF03>fun of h-h-heeeeeeeer.<FFF5>   Heeheehee. Can I take-ake-ake you up<FF03>on thatttttt.?<FFF5><0056>ring<0056> <0056>ring<0056> I can almost-most-most<FF03>believe it.<FFF5>   Eeeeeeee. Q isn't the helpful<FF03><FFF0> you think-ink-ink she is.<FFF5>  <0056>crackle<0056> You-you-you're planning to<FF03>sell Q off, aren't you",,por_traducir,
