id,limite_chars,tokens_protegidos,texto_original,texto_traducido,estado,notas
talk_hiho_00001,105,<FF03> <FFFD> <01FF> <F500> <FFF5>,"<FF03>You're a suspicious character.<FFFD><01FF><F500>   Hee-hoho. Everyone loves me, ho.<FFF5>   Putting two and two together, ho",,por_traducir,
talk_hiho_00002,129,<FF03> <FF02> <FF04> <FFFD> <02FF> <F500> <FF03>,"<FF03>Are you asking for my power, hee-ho?<FF02><FF04>Hee-hohohoho. Huh? No, ho?<FFFD><02FF><F500> You sound confident now, ho, but I'm<FF03>packing a super punch. ",,por_traducir,
talk_hiho_00003,235,<FF03> <FFF5> <FFFD> <03FF> <F500> <FF03> <FFF5> <FFFD> <04FF> <F500> <FFF5> <FF03>,"Just kidding.<FF03>Hee-hee-ho.<FFF5>   So what do you want me to do, hee-ho?<FFFD><03FF><F500>I'm against violence, but self-defense<FF03>is hee-okay, right?<FFF5> You're annoying. Hooooo.<FFFD><04FF><F500> Waaaaaaah. I'm scared, ho.<FFF5> You're not supposed to pick on little<FF03>kids, hee-ho",,por_traducir,
talk_hiho_00004,243,<FFFD> <05FF> <F500> <FF03> <FFF5> <FF03> <FFFD> <06FF> <F500> <FF03> <FFF5> <0056> <0056>,"<FFFD><05FF><F500>Hee, I don't understand what you're<FF03>saying at all. Ho well.<FFF5>Are you really that old, ho? If you are,<FF03>you're really reliable for your age.<FFFD><06FF><F500>Don't underestimate me, ho. I can tell<FF03>your story is full of hee-holes.<FFF5><0056>sniff<0056> I can smell lies, ho",,por_traducir,
talk_hiho_00005,323,<FF03> <FFFD> <07FF> <F500> <FF03> <FFF5> <FF03> <FFFD> <08FF> <F500> <FF03> <FFF5> <FF03> <FFFD> <09FF> <F500>,"<FF03>You're a suspicious character.<FFFD><07FF><F500>   I'm not into politics! It's boring!<FF03>Hee-ho hum!<FFF5>You want me to go with you, hee-ho?<FF03>Mama told me about stranger danger, ho.<FFFD><08FF><F500>  Oh, what a nice voice, ho! Next I want<FF03>to hee-hear you scream, ho.<FFF5> Are you making fun of my hee-horrible<FF03>singing, ho.? I'll never forgive you.<FFFD><09FF><F500>  No way, ho",,por_traducir,
talk_hiho_00006,29,<FF03>, You're heeven better than<FF03>me,,por_traducir,
talk_hiho_00007,90,<FFF5> <FF03> <FFFD> <0AFF> <F500>,"<FFF5>  Waaaah. My brain cells are melting, ho.<FF03>Waaaah. Stop it, ho.<FFFD><0AFF><F500> It's all about love, ho",,por_traducir,
talk_hiho_00008,90,<FF03> <FF03> <FFF5>," Learn to<FF03>love, and you become a better giver.<FF03>Hee-ho.<FFF5>   Oooooooh, so fascinating, hee-ho",,por_traducir,
talk_hiho_00009,253,<FFFD> <0BFF> <F500> <FF03> <FFF5> <FF03> <FF03> <FFFD> <0CFF> <F500> <FF03> <FFF5> <0056> <0056>,"<FFFD><0BFF><F500>  Hee, I don't understand what you're<FF03>saying at all. Ho well.<FFF5>Are you really that old, ho? If you are,<FF03>you're really reliable for your age.<FF03>Hee-ho.<FFFD><0CFF><F500>Don't underestimate me, ho. I can tell<FF03>your story is full of hee-holes.<FFF5><0056>sniff<0056> I can smell lies, ho",,por_traducir,
talk_hiho_00010,105,<FF03> <FFFD> <0DFF> <F500> <FFF5>,"<FF03>You're a suspicious character.<FFFD><0DFF><F500>   Hee-hoho. Everyone loves me, ho.<FFF5>   Putting two and two together, ho",,por_traducir,
talk_hiho_00011,206,<FF03> <FF02> <FF04> <FFFD> <0EFF> <F500> <FF03> <FFF5> <FFFD> <0FFF> <F500> <FF03>,"<FF03>Are you asking for my power, hee-ho?<FF02><FF04>Hee-hohohoho. Huh? No, ho?<FFFD><0EFF><F500> What-what? You're so weak, hee-ho.<FF03>Sooo not my type.<FFF5>   Liar.<FFFD><0FFF><F500>You creep me out, ho. What are ya gonna<FF03>do if I let my guard down? Hee-ho",,por_traducir,
