id,limite_chars,tokens_protegidos,texto_original,texto_traducido,estado,notas
talk_zmbityan_00001,248,<FFF5> <FF03> <FF03> <FFF5> <FF03> <FFF5>," But it's like, totally tubular.<FFF5>  Just 'cause I'm a zombie doesn't mean<FF03>you can like, invite me along with you.<FF03>Like, gag me with a spoon, loser.<FFF5>Damn, Sam. I'm like, totally floored<FF03>that you need someone like me.<FFF5>You're all like, sure of yourself",,por_traducir,
talk_zmbityan_00002,194,<FF03> <FFF5> <FF03> <FFF5> <FF03> <FFF5> <FF03>,"<FF03>But like, it's all talk, bro.<FFF5> Like, oh my God, I'm so annoyed. You<FF03>can't show me a good time, bro.<FFF5>   Like, what's so fun about taunting a<FF03>zombie?<FFF5>   I don't really get what you're saying,<FF03>bro",,por_traducir,
talk_zmbityan_00003,178,<FFF5> <FF03> <FF03> <FFF5>," But like, am I being invited?<FFF5>Just 'cause I'm a zombie doesn't mean<FF03>you can like, invite me along with you.<FF03>You're like, late to the loser show.<FFF5> Ummm, I'm like, in a hurry here",,por_traducir,
talk_zmbityan_00005,219,<FFF5> <FF03> <FF03> <FFF5> <FF03> <FF03> <FFF5>,"<FFF5>   Do you have to like, brag about being<FF03>such a good singer? You're like, a<FF03>douchebag squared.<FFF5>I'm like, trippin' out. You actually<FF03>make the singers around when I was alive<FF03>sound good.<FFF5>  You are like, so lame. I'm like",,por_traducir,
talk_zmbityan_00006,113,<FF03> <FFF5> <FF03>," a<FF03>zombie, and I'm cooler than you.<FFF5>  Hey dudette, I don't really like, get<FF03>you, but you don't trip me out either",,por_traducir,
talk_zmbityan_00007,212,<FFF5> <FF03> <FFF5> <FF03> <FFF5> <FF03> <FFF5>,"<FFF5> I'm like, a zombie. You need help from<FF03>the undead? As if.<FFF5>  I'm like, way shocked that someone<FF03>totally wants my help.<FFF5>  Hey. It's like, totally obvious that<FF03>you're faking that.<FFF5>   Are you like, complimenting me",,por_traducir,
talk_zmbityan_00008,21,<FF03>,<FF03>There's sooo a catch,,por_traducir,
talk_zmbityan_00009,49,<FFF5> <FF03>,"<FFF5> I'm like, totally stoked that I became<FF03>a zombie",,por_traducir,
talk_zmbityan_00010,66,<FFF5> <FF03>,"<FFF5> You're like, hysterical, dudette.<FF03>I wish we'd met sooner in life",,por_traducir,
talk_zmbityan_00011,216,<FFF5> <FF03> <FFF5> <FF03> <FFF5> <FF03> <FFF5> <FF03>,"<FFF5>Yo, sister, it's like, totally not<FF03>cool to lie.<FFF5>That was like, totally bunk, but I<FF03>laughed anyway.<FFF5> Damn skippy. You totally understand how<FF03>strong I am.<FFF5>   Hey. It's like, so obvious that you<FF03>totally don't mean that",,por_traducir,
talk_zmbityan_00012,49,<FFF5> <FF03>,"<FFF5> I'm like, totally stoked that I became<FF03>a zombie",,por_traducir,
talk_zmbityan_00013,118,<FFF5> <FF03> <FFF5> <FF03>,"<FFF5> You're like, way warped. But you're<FF03>hot too, so I'll let it slide.<FFF5> Do I look that easy to you? That's<FF03>totally whack",,por_traducir,
talk_zmbityan_00014,30,<FFF5>,"<FFF5>I'm like, shakin' in my boots",,por_traducir,
talk_zmbityan_00015,90,<FFF5> <FF03> <FF03>,"<FFF5>   Far out. Are you like, hitting on me.?<FF03>I'm like, totally stoked that I became<FF03>a zombie",,por_traducir,
talk_zmbityan_00016,99,<FFF5> <FF03> <FFF5> <FFF5>,"<FFF5>  That's hilariously happenin', bro.<FF03>You're totally outrageous.<FFF5>  BooooOOOOOooooring.<FFF5>Knock it off",,por_traducir,
talk_zmbityan_00017,41,<FF03>," I'm gonna like, catch<FF03>your stupidity flu",,por_traducir,
talk_zmbityan_00018,117,<FFF5> <FF03> <FFF5> <FF03>,"<FFF5>Ahahahaha. Totally fantabulous.<FF03>I'm gonna have a laugh attack.<FFF5> You're gonna talk to me? That's way<FF03>nice of you, man",,por_traducir,
talk_zmbityan_00019,110,<FFF5> <FF03> <FF03> <FFF5>,"<FFF5>This is like, sooo not the time.<FF03>I'm like, a zombie. You should be like,<FF03>way too nervous for that.<FFF5> Like, wow",,por_traducir,
talk_zmbityan_00020,215,<FF03> <FFF5> <FF03> <FFF5> <FF03> <FFF5>," The stuff people talk<FF03>about hasn't changed much! That's chill!<FFF5>Do you like, want me to tease you? Are<FF03>you like, five, bro?<FFF5>Like, oh my god, what was that for.?<FF03>You're such a lamer.<FFF5>  What's up with you? You're like",,por_traducir,
talk_zmbityan_00021,12,<FF03>,<FF03>way sketchy,,por_traducir,
talk_zmbityan_00022,71,<FFF5> <FF03>,"<FFF5>  You're giving someone like me a<FF03>present? That's way nice of you, bro",,por_traducir,
talk_zmbityan_00023,124,<FFF5> <FF03> <FFF5> <FF03>,"<FFF5>Like, why would I want boring stuff<FF03>like THAT?<FFF5> You're giving me a present? I'm like,<FF03>totally stoked that I became a zombie",,por_traducir,
talk_zmbityan_00024,12,<FFF5>,"<FFF5> Yikes, bro",,por_traducir,
talk_zmbityan_00025,65,<FF03> <FF03>," You're like, a total<FF03>space case to be giving speeches to<FF03>zombies",,por_traducir,
talk_zmbityan_00027,100,<FF03> <FF03> <FFF5>," soooooo not interested.<FF03>Why don't you like, use your brain when<FF03>you negotiate?<FFF5> I don't really like",,por_traducir,
talk_zmbityan_00029,26,<FF03>," but<FF03>I'm like, way touched",,por_traducir,
talk_zmbityan_00030,36,<FFF5>,"<FFF5>  You're all like, sure of yourself",,por_traducir,
talk_zmbityan_00031,149,<FF03> <FFF5> <FF03> <FFF5> <FF03>,"<FF03>But like, it's all talk, bro.<FFF5> Like, oh my God, I'm so annoyed. You<FF03>can't show me a good time, bro.<FFF5>   Like, what's so fun about yelling at<FF03>a zombie",,por_traducir,
talk_zmbityan_00032,347,<FFF5> <FF03> <FF03> <FFF5> <FF03> <FFF5> <0056> <0056> <FF03> <FFF5> <FF03> <FFF5> <FF03> <FFF5>,"<FFF5>  You have, like, the lamest personality<FF03>EVER. But I totally dig people like<FF03>that.<FFF5>   Uh, duhhh, I'm like, a zombie! I can<FF03>see right through your sarcasm.<FFF5>   <0056>squeal<0056> You're like, totally<FF03>embarrassing me now.<FFF5> You're totally rad, bro. Teach me<FF03>next time.<FFF5>   Smooth move, X-lax. You better like,<FF03>practice some more, 'cause you suck.<FFF5>  I can't like",,por_traducir,
talk_zmbityan_00033,70,<FF03> <FFF5>," dance, but I'm happy<FF03>to just watch.<FFF5>You're all like, sure of yourself",,por_traducir,
talk_zmbityan_00034,253,<FF03> <FFF5> <FF03> <FFF5> <FF03> <FFF5> <FF03> <FFF5>,"<FF03>But like, it's all talk, bro.<FFF5> Like, oh my God, I'm so annoyed. You<FF03>can't show me a good time, bro.<FFF5>   Like, what's so fun about taunting a<FF03>zombie?<FFF5>   Huh? Are you like, totally sprung<FF03>on zombies? You're a funny human, bro.<FFF5>   You got a problem with me",,por_traducir,
talk_zmbityan_00035,311,<FF03> <FFF5> <FF03> <FFF5> <FF03> <FFF5> <FF03> <FFF5> <FF03>," You can<FF03>like, stop looking at me now, creeper.<FFF5>  Even though I'm decaying, it's like<FF03>guys can't keep their eyes off me.<FFF5> That's like, so funny. Your sense of<FF03>humor is totally bangin'.<FFF5> You're totally lying. You shouldn't<FF03>like, make stuff up.<FFF5>   You just want to talk to me and<FF03>stuff, huh? Well, I AM super cute",,por_traducir,
talk_zmbityan_00036,115,<FFF5> <FF03> <FFF5> <FF03>,"<FFF5>   You are SO stupid to believe something<FF03>like that.<FFF5>  Like, seriously? I've totally never<FF03>heard a story like that",,por_traducir,
talk_zmbityan_00037,83,<FFF5> <FF03> <FFF5>,"<FFF5> That's way funny. Humans just don't<FF03>know what like, real fear is.<FFF5>  That's so rad",,por_traducir,
talk_zmbityan_00038,192,<FF03> <FFF5> <FF03> <FFF5> <FF03> <FF03> <FFF5>," You're like, pretty<FF03>cool, dudette.<FFF5>Oooh, that's way cool.<FF03>You're like, awesome, sister.<FFF5>   Do you have to like, brag about being<FF03>such a good singer? You're like, a<FF03>douchebag squared.<FFF5>Way cool",,por_traducir,
talk_zmbityan_00039,37,<FF03>, It's totally melting my<FF03>zombie heart,,por_traducir,
talk_zmbityan_00040,223,<FFF5> <FF03> <FFF5> <FF03> <FFF5> <FF03> <FFF5> <FF03>,"<FFF5>What was that all about? Are we like,<FF03>gonna play house?<FFF5>Barf me out. What's up with you.?<FF03>You can't make fun of me.<FFF5>Is that like, your negotiation style?<FF03>It's like, totally hip.<FFF5>  I don't really get what you're saying,<FF03>sis",,por_traducir,
talk_zmbityan_00041,161,<FFF5> <FF03> <FFF5> <FF03>," But like, am I being invited?<FFF5>You're like, sooo trying to use me for<FF03>my zombie powers! Get bent.<FFF5> So even someone like me can be of use?<FF03>I'm like, totally happy",,por_traducir,
talk_zmbityan_00042,139,<FFF5> <FF03> <FF03> <FFF5> <FFF5>,"<FFF5>  You have like, the lamest personality<FF03>EVER. But I totally dig people like<FF03>that.<FFF5>I'm like, SO annoyed.<FFF5>  No matter what you say, I'm like",,por_traducir,
talk_zmbityan_00043,30,<FF03>,"<FF03>still just a zombie, you know",,por_traducir,
talk_zmbityan_00045,178,<FF03> <FFF5> <FF03> <FF03> <FFF5> <0056> <0056>," but you're cool with<FF03>that.? You're the bestest human ever.<FFF5> I'm like, a zombie, but I'm still a<FF03>girl, too. No way I'm gonna be some<FF03>chick's gal pal.<FFF5>   <0056>blush<0056> I like you, Ayase",,por_traducir,
talk_zmbityan_00046,11,, Poor Ayase,,por_traducir,
talk_zmbityan_00047,27,<FF03>," I wanna like,<FF03>help you out",,por_traducir,
talk_zmbityan_00048,109,<FFF5> <FF03> <FFF5> <FF03>,"<FFF5> How I became a zombie is like, way<FF03>sadder than that story.<FFF5> I'm like, totally stoked that I became<FF03>a zombie",,por_traducir,
talk_zmbityan_00049,35,<FFF5>,"<FFF5> You're all like, sure of yourself",,por_traducir,
talk_zmbityan_00050,166,<FF03> <FFF5> <FF03> <FFF5> <FF03> <FFF5>,"<FF03>But like, it's all talk, dudette.<FFF5> Like, oh my God, I'm so annoyed. You<FF03>can't show me a good time, Ayase.<FFF5> Like, what's so fun about taunting a<FF03>zombie?<FFF5>   Don't like",,por_traducir,
talk_zmbityan_00051,116,<FF03> <FF03> <FFF5>," underestimate me.<FF03>For reals, I'll like, eat your brains<FF03>and make you a zombie too.<FFF5>   You're totally freaky, sister",,por_traducir,
talk_zmbityan_00052,76,<FFF5> <FF03>,"<FFF5>   Um, hellooooo, I'm like, a zombie?<FF03>Nothing you say can get under my skin",,por_traducir,
talk_zmbityan_00053,65,<FFF5> <FF03> <FFF5>,<FFF5>You're a total space case to try and<FF03>persuade a zombie.<FFF5>I'm like,,por_traducir,
talk_zmbityan_00054,100,<FF03> <FF03> <FFF5>," soooooo not interested.<FF03>Why don't you like, use your brain when<FF03>you negotiate?<FFF5> I don't really like",,por_traducir,
talk_zmbityan_00056,26,<FF03>," but<FF03>I'm like, way touched",,por_traducir,
