id,limite_chars,tokens_protegidos,texto_original,texto_traducido,estado,notas
talk_basket_00001,83,<FF03> <FFF5> <FF03>," Eh, I'll think<FF03>about it!<FFF5>I don't mind helping, but my goal is to<FF03>make it to finals",,por_traducir,
talk_basket_00002,535,<FFFD> <00FF> <F500> <FF03> <FFF5> <FF03> <FFFD> <01FF> <F500> <FF03> <FFF5> <FF03> <FFFD> <02FF> <F500> <FF03> <FFF5> <FF03> <FFFD> <03FF> <F500> <FF03> <FFF5> <FF03> <FF02> <FF04> <FFFD> <04FF> <F500>,"<FFFD><00FF><F500> I ain't stupid enough to fall for some<FF03>weak-ass rhetoric.<FFF5>  Shut up, man. The only thing on my mind<FF03>is making it to the pros.<FFFD><01FF><F500>Hahaha. You need me on your team?<FF03>You'd make a good scout.<FFF5> Can a nerd like you tap into the raw<FF03>power of a true baller?<FFFD><02FF><F500> Hey, push your luck and you'll get a<FF03>technical foul.<FFF5>   Think you're better than me or<FF03>somethin'? Ha. Don't waste your time!<FFFD><03FF><F500> Basketball is a gentleman's sport.<FF03>Don't be hatin'.<FFF5>Hmmm? What's that? You want me to kill<FF03>you first?<FF02><FF04>Heheh, sure thing.<FFFD><04FF><F500>Don't say such scary things",,por_traducir,
talk_basket_00003,41,<FF03>," I'm sorry<FF03>about that last foul, so c'mon",,por_traducir,
talk_basket_00004,77,<FFF5> <FF03>,"<FFF5> C'mon, can't ya look the other way? I'm<FF03>gonna be on the dream team some day",,por_traducir,
talk_basket_00005,62,<FFFD> <05FF> <F500> <FF03>,<FFFD><05FF><F500>   Jocks like me always fall for the<FF03>passionate invitations,,por_traducir,
talk_basket_00006,86,<FF02> <FF04> <FFF5> <FF03>,"<FF02><FF04>Well, I'll think about it!<FFF5>I don't mind helping, but my goal is to<FF03>make it to finals",,por_traducir,
talk_basket_00007,217,<FFFD> <06FF> <F500> <FF03> <FFF5> <FF03> <FFFD> <07FF> <F500> <FF03>,"<FFFD><06FF><F500> I can see straight through you. I ain't<FF03>dumb enough to fall for that.<FFF5>  Shut up, man. The only thing on my mind<FF03>is making it to the pros.<FFFD><07FF><F500>Where you tryin' to take me? I'm not<FF03>goin' anywhere that don't got a ball",,por_traducir,
talk_basket_00008,80,<FFF5> <FF03> <FFFD> <08FF> <F500>,"<FFF5>   Oh yeah. I almost forgot about practice.<FF03>Sorry, gotta go.<FFFD><08FF><F500>Your song is all",,por_traducir,
talk_basket_00009,363,<FF03> <FFF5> <FF03> <FFFD> <09FF> <F500> <FF03> <FFF5> <FF03> <FFFD> <0AFF> <F500> <FF03> <FFF5> <FFFD> <0BFF> <F500>," talk.<FF03>That don't hit home at all.<FFF5>Damn, you showin' off in front of me?<FF03>Yeah, so what if I can't sing.?<FFFD><09FF><F500>What are you thinkin'? How can you break<FF03>into song in front of a demon?<FFF5>Those sound waves are whack. Make them<FF03>stop. P-Please.<FFFD><0AFF><F500>   That song ain't half bad. It'd make a<FF03>perfect theme song for me.<FFF5>   Bravo. Bravooo.<FFFD><0BFF><F500>  I'm a sucker for the pleas of a lady",,por_traducir,
talk_basket_00010,82,<FF03> <FFF5> <FF03>,"<FF03>I'll think about it!<FFF5>   I don't mind helping, but my goal is to<FF03>make it to finals",,por_traducir,
talk_basket_00011,482,<FFFD> <0CFF> <F500> <FF03> <FFF5> <FF03> <FFFD> <0DFF> <F500> <FFF5> <FF03> <FFFD> <0EFF> <F500> <FF03> <FFF5> <FF03> <FFFD> <0FFF> <F500> <FF03> <FF02> <FF04>,"<FFFD><0CFF><F500> You think I'm weak enough to be<FF03>persuaded by some girl's sweet talk.?<FFF5>  Shut up, man. The only thing on my mind<FF03>is making it to the pros.<FFFD><0DFF><F500>Hahaha. It ain't easy bein' the man.<FFF5>   You think a girl like you can tap into<FF03>the raw power of a true demon baller?<FFFD><0EFF><F500> I'm tryin' to practice here. Go get in<FF03>some other dude's way, will ya.?<FFF5>Hey lady. You're not a spy from the<FF03>enemy team, are ya.?<FFFD><0FFF><F500> I'm not a very well-known demon, so why<FF03>are you so full of compliments?<FF02><FF04>Creeps me out",,por_traducir,
talk_basket_00012,399,<FFF5> <FF03> <FFFD> <10FF> <F500> <FF03> <FFF5> <FFFD> <11FF> <F500> <FF03> <FFF5> <FF03> <FFFD> <12FF> <F500> <FF03> <FFF5>,"<FFF5>  You plan on beating my mad ballin'<FF03>skills with that kind of attitude?<FFFD><10FF><F500>I'll be the number 23 of the demon<FF03>world pretty soon. Wish me luck.<FFF5>Well, yeah. I can dunk on anyone.<FFFD><11FF><F500>You bookworms say such far-out things!<FF03>Seriously.<FFF5>  Hey, I ain't gonna condone lying, but<FF03>imagination is important in sports.<FFFD><12FF><F500>Hey woman, are you tryin' to pull a<FF03>fast one on me.?<FFF5>   You better not be playin' me, girlie",,por_traducir,
talk_basket_00013,343,<FF03> <FF02> <FF04> <FF03> <FFFD> <13FF> <F500> <FF03> <FFF5> <FF02> <FF04> <FFFD> <14FF> <F500> <FF03> <FFF5> <FF03>,"<FF03>If you are, you're in for it.<FF02><FF04>The rule is, liars get their tongues<FF03>pulled out.<FFFD><13FF><F500>  I don't know what the hell you're<FF03>sayin', but you must mean I'm a genius.<FFF5>  Huh.? I've never heard that before.<FF02><FF04>You should cut back on the TV!<FFFD><14FF><F500>  Don't be scared. I'm a nice guy to the<FF03>ladies.<FFF5> Hey, c'mon, I'm a baller. I would never<FF03>try to beat you down. ",,por_traducir,
