id,archivo_origen,offset_inicio,offset_fin,longitud_original_bytes,texto_original,texto_traducido,notas,estado
e0_00000,e0.bin,2,108,106, <0040> <0040> <0058> <0058> <0070> <0070> <00A0> <00A0> ! ! A A  ` `<0020>`<0020>`<0040>`<0040>`<0060>`<0060>`<0080>`<0080>`<00A0>`<00A0>`)`)`,,carácter repetido dominante (probable relleno gráfico),revisar
e0_00001,e0.bin,212,226,14,1<0400>1<0400>Y<0400>Y,,carácter repetido dominante (probable relleno gráfico),revisar
e0_00002,e0.bin,268,290,22,!<0500>!<0500>A<0500>A<0500>Y<0500>Y,,sin palabras reconocibles (probable gráfico/opcode),revisar
e0_00003,e0.bin,388,402,14,!<0700>!<0700>I<0700>I,,carácter repetido dominante (probable relleno gráfico),revisar
e0_00004,e0.bin,468,490,22,!<0900>!<0900>9<0900>9<0900>Q<0900>Q,,carácter repetido dominante (probable relleno gráfico),revisar
e0_00005,e0.bin,572,594,22,1<0B00>1<0B00>I<0B00>I<0B00> <0C00> ,,sin palabras reconocibles (probable gráfico/opcode),revisar
e0_00006,e0.bin,668,682,14,1<0D00>1<0D00>I<0D00>I,,sin palabras reconocibles (probable gráfico/opcode),revisar
e0_00007,e0.bin,732,746,14,1<0E00>1<0E00>Q<0E00>Q,,sin palabras reconocibles (probable gráfico/opcode),revisar
e0_00008,e0.bin,820,842,22,1<1000>1<1000>I<1000>I<1000> <1100> ,,carácter repetido dominante (probable relleno gráfico),revisar
e0_00009,e0.bin,900,922,22,!<1100>!<1100>9<1100>9<1100>Q<1100>Q,,carácter repetido dominante (probable relleno gráfico),revisar
e0_00010,e0.bin,948,970,22,!<1200>!<1200>I<1200>I<1200> <1300> ,,carácter repetido dominante (probable relleno gráfico),revisar
e0_00011,e0.bin,1084,1098,14,9<1400>9<1400>Q<1400>Q,,carácter repetido dominante (probable relleno gráfico),revisar
e0_00012,e0.bin,1228,1250,22,1<1700>1<1700>I<1700>I<1700> <1800> ,,carácter repetido dominante (probable relleno gráfico),revisar
e0_00013,e0.bin,1268,1282,14,!<1800>!<1800>9<1800>9,,sin palabras reconocibles (probable gráfico/opcode),revisar
e0_00014,e0.bin,1308,1330,22,)<1900>)<1900>A<1900>A<1900>Y<1900>Y,,sin palabras reconocibles (probable gráfico/opcode),revisar
e0_00015,e0.bin,1396,1410,14,1<1A00>1<1A00>I<1A00>I,,sin palabras reconocibles (probable gráfico/opcode),revisar
e0_00016,e0.bin,1460,1482,22,)<1B00>)<1B00>A<1B00>A<1B00>Y<1B00>Y,,sin palabras reconocibles (probable gráfico/opcode),revisar
e0_00017,e0.bin,1540,1562,22,)<1C00>)<1C00>A<1C00>A<1C00>Y<1C00>Y,,sin palabras reconocibles (probable gráfico/opcode),revisar
e0_00018,e0.bin,1676,1690,14,1<1E00>1<1E00>Y<1E00>Y,,sin palabras reconocibles (probable gráfico/opcode),revisar
e0_00019,e0.bin,1716,1730,14,1<1F00>1<1F00>Y<1F00>Y,,sin palabras reconocibles (probable gráfico/opcode),revisar
e0_00020,e0.bin,1772,2094,322,!<2000>!<2000>9<2000>9<2000>Q<2000>                                                                                                                                <FFFF>`<FFFF><FFFF><FFFF><0500><FFFF><FFFF><FFFF><FFFF><3200> <FFFF>`<FFFF><FFFF>`<FFFF><FFFF>`<FFFF><FFFF><FFFF>,,carácter repetido dominante (probable relleno gráfico),revisar
e0_00021,e0.bin,2102,5336,3234, <D810> <F810> <E010> <F810> <E810> <B012> <F010> <F810> <D80C> <0202><100B>` <F812>    <0B0E><0402> <1811>   <9011>                                                           <B012> <B812> <C012> <C812> <D012> <D812> <E012> <E812>                                                                                                                 <FFFF> <FFFF><FFFF><0001>`i<0780>  <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF><0201>`k<0680>  <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF><0301>`e<0780>  <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF><0301>`h<0680>  <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF><0001>`k<0880>  <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>a`j<0380>  <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF><0301>`f<0580>  <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF><FF00>   <FFFF><FFFF><FF00>   <FFFF> <FFFF><FFFF><FF00>   <FFFF><FFFF><FF00>   <FFFF> <FFFF><FFFF><FF00>   <FFFF><FFFF><FF00>   <FFFF> <FFFF><FFFF><FF00>   <FFFF><FFFF><FF00>   <FFFF> <FFFF><FFFF><FF00>   <FFFF><FFFF><FF00>   <FFFF> <FFFF><FFFF><FF00>   <FFFF><FFFF><FF00>   <FFFF> <FFFF><FFFF><FF00>   <FFFF><FFFF><FF00>   <FFFF> <FFFF><FFFF><FF00>   <FFFF><FFFF><FF00>   <FFFF><FF00>    <FFFF><FF00>    <FFFF><FF00>    <FFFF><FF00>    <FFFF><FF00>    <FFFF><FF00>    <FFFF><FF00>    <FFFF><FF00>    <020C>`<0F0C>` <FF00> <FF00> <FF00> <FF00> <FF00> <FF00><FFFF><FFFF>      <FFFF><FFFF>      <FFFF><FFFF>      <FFFF><FFFF>      <FFFF><FFFF>      <FFFF><FFFF>      <FFFF><FFFF>      <FFFF><FFFF>        ,,carácter repetido dominante (probable relleno gráfico),revisar
