id,limite_chars,tokens_protegidos,texto_original,texto_traducido,estado,notas
talk_tinpra_00002,421,<FF03> <FF03> <FFF5> <FF03> <FFF5> <FF03> <FFF5> <FF03> <FF03> <FFF5> <FF03>," don't ask me stuff like you 'n<FF03>me are best buddies. I might be small<FF03>time, but don't go underestimatin' me.<FFF5>Ya got some real damn guts! I like it!<FF03>Ya ain't scared o' me, neither!<FFF5> You wanna step, man? Eh, I'll let it go!<FF03>At least ya ain't no prancin' prick!<FFF5>  Ya want some.? 'Cause I'll give ya<FF03>more'n ya can handle. Better quit if<FF03>ya know what's good for ya.<FFF5>Guess I went soft, if even the humans<FF03>are underestimatin' me",,por_traducir,
talk_tinpra_00004,193,<FF03> <FF03> <FFF1> <FFF5> <FF03> <FF03> <FFF5>," I got enough<FF03>work of my own! But I might change my<FF03>mind if you gimme somethin'!<FFF1><FFF5>  We got our own code, and negotiatin'<FF03>with humans for no damn reason ain't<FF03>part of it.<FFF5>  I'll pass on that one",,por_traducir,
talk_tinpra_00005,43,<FF03>, I doubt ya'd<FF03>do better than a half-ass job,,por_traducir,
talk_tinpra_00006,118,<FFF5> <FF03> <FFF5> <FF03>,"<FFF5> Man, ya suck so bad my ears are gonna<FF03>go on strike. Stop singin' already.<FFF5>  I can't believe ANYONE can sing that<FF03>bad",,por_traducir,
talk_tinpra_00007,110,<FFF5> <FF03> <FFF5>," Ya got a throat problem?<FFF5>   Wow, ya sing just like Jones.<FF03>Kick ass, man!<FFF5>   I wanna give you a hand, but ehhh",,por_traducir,
talk_tinpra_00008,287,<FF03> <FFF1> <FFF5> <FF03> <FFF5> <FF03> <FFF5> <FF03> <FFF5>,"<FF03>Gimme somethin' first!<FFF1><FFF5>   Don't underestimate me just 'cause I'm<FF03>small-time. This ain't charity hour.<FFF5>I can see why ya'd wanna rely on me!<FF03>It's great you're bein' so honest!<FFF5>It ain't that fun gettin' praise from<FF03>ya, y'know.? It just pisses me off.<FFF5>  Ya don't gotta be so modest, y'know",,por_traducir,
talk_tinpra_00009,583,<FF03> <FFF5> <FF03> <FFF5> <FF03> <FFF5> <FF03> <FFF5> <FF03> <FFF5> <FF03> <FFF5> <FF03> <FFF5> <FF03> <FFF5> <FF03>,"<FF03>It gives me the creeps, kinda!<FFF5>  Hey, a girl that understands me.<FF03>Now that makes my day.<FFF5>You're an interestin' kid! Who knows,<FF03>maybe the crap you're sayin' is true!<FFF5>No more of your bullshit. I ain't so<FF03>thick I'm gonna fall for that crap.<FFF5>   Ya lie so bad! If ya wanna fool a hood<FF03>like me, ya gotta give it your all.<FFF5> Relax, willya? I'm a nice hood! I ain't<FF03>gonna attack or nothin'!<FFF5>   Whaddaya talkin' to me for.? I ain't<FF03>interested in no ordinary humans.<FFF5> Whaddaya talkin' about? Don't worry,<FF03>me and my guys are all gentlemen!<FFF5> Seriously, man? Get yourself checked out<FF03>at the doc's",,por_traducir,
talk_tinpra_00010,160,<FF03> <FFF5> <FF03> <FF03> <FFF5>," If there ain't nothin'<FF03>wrong with ya, I'll think about it!<FFF5>The hell are ya talkin' about.? A hood<FF03>like me can't go around havin' tea with<FF03>no regular joes.<FFF5>Dude",,por_traducir,
talk_tinpra_00011,26,, Hurry up and go see a doc,,por_traducir,
talk_tinpra_00012,276,<FFF5> <FF03> <FF03> <FFF5> <FF03> <FF03> <FFF5> <FF03> <FF03>,"<FFF5>   Man, that joke is wearin' out its<FF03>welcome! Ya better quit while I'm<FF03>still laughin'!<FFF5>You're pretty frickin' funny, ya know<FF03>that? Ya could be the next Diceman!<FF03>Let's hear your nursery rhymes!<FFF5>  Ya tell another shitty joke, and I'm<FF03>gonna cut ya down. Ya got talent,<FF03>all right",,por_traducir,
