id,limite_chars,tokens_protegidos,texto_original,texto_traducido,estado,notas
talk_toilet_00001,299,<FF03> <FFFD> <00FF> <F500> <FF03> <FFF5> <FF03> <FFFD> <01FF> <F500> <FF03> <FF03> <FFF5>," You're actually pretty reliable,<FF03>mister!<FFFD><00FF><F500>  Hey. Don't talk crap just 'cause I'm a<FF03>toilet ghost.<FFF5>   Your story sounds like a big phony to me.<FF03>Is it for real?<FFFD><01FF><F500>Say what you want, but you wanna sit on<FF03>me, huh? This is one comfortable toilet<FF03>seat, after all.<FFF5>   Hee hee. You're trying to persuade me",,por_traducir,
talk_toilet_00002,102,<FF03> <FFFD> <02FF> <F500> <FF03>,"<FF03>In other words, you need me, right?<FFFD><02FF><F500> Normally someone who taunted a toilet<FF03>would be seen as a freak",,por_traducir,
talk_toilet_00003,103,<FF03> <FFF5> <FF03> <FFFD> <03FF> <F500>," but you<FF03>might be an interesting person!<FFF5>  You seem strong, mister. So, what are<FF03>your plans for me?<FFFD><03FF><F500> ",,por_traducir,
talk_toilet_00004,131,<FFF5> <FFFD> <04FF> <F500> <FF03>,"Fine. See if I play with you anymore.<FFF5>   You're a smooth talker, mister.<FFFD><04FF><F500>  W-Waaaaah. You get your kicks out of<FF03>taunting a toilet",,por_traducir,
talk_toilet_00005,23,<FFF5>,<FFF5> W-Waaaaah. I'm scared,,por_traducir,
talk_toilet_00006,120,<FFFD> <05FF> <F500> <FF03> <FF03> <FFF5>,"<FFFD><05FF><F500> I don't really get what you're saying,<FF03>mister, but I feel like I'm being<FF03>invited!<FFF5>  I don't mind thinking about that",,por_traducir,
talk_toilet_00007,186,<FF03> <FF03> <FFF1> <FFF5> <FF03> <FFF5> <FF03> <FFFD> <06FF> <F500>,<FF03>but I hate people who promise to pay<FF03>up later.<FFF1><FFF5>Hey. Don't talk crap just 'cause I'm a<FF03>toilet ghost.<FFF5>   Your story sounds like a big phony to me.<FF03>Is it for real?<FFFD><06FF><F500>I'm in kind of a rush,,por_traducir,
talk_toilet_00008,20,<FF03>," Um, can I<FF03>leave now",,por_traducir,
talk_toilet_00009,45,<FFF5> <FF03>,<FFF5>   D-Don't tell me you're going to<FF03>kidnap me,,por_traducir,
talk_toilet_00010,174,<FFFD> <07FF> <F500> <FF03> <FFF5> <FF03> <FFFD> <08FF> <F500>,"<FFFD><07FF><F500>You really wanna show off how good you<FF03>can sing, huh? You're a lousy human.<FFF5>Don't act all cool over something like<FF03>that. I'm way better than you.<FFFD><08FF><F500>Y-You're better than me",,por_traducir,
talk_toilet_00011,61,<FFF5> <FF03>,"<FFF5> Do they call you Donald or something.?<FF03>Seriously, just stop",,por_traducir,
talk_toilet_00012,210,<FFFD> <09FF> <F500> <FF03> <FFF5> <FFFD> <0AFF> <F500> <FF03> <FFF5>,"<FFFD><09FF><F500>   You're not nearly as good as me, but I<FF03>think you have talent!<FFF5>  Hee hee. You're pretty good.<FFFD><0AFF><F500> I don't really get what you're saying,<FF03>miss, but I think I can help you!<FFF5>   I don't mind thinking about that",,por_traducir,
talk_toilet_00013,297,<FF03> <FF03> <FFF1> <FFF5> <FF03> <FFF5> <FF03> <FFFD> <0BFF> <F500> <FF03> <FF03> <FFF5>,"<FF03>but I hate people who promise to pay<FF03>up later.<FFF1><FFF5>Hey. Don't talk crap just 'cause I'm a<FF03>toilet ghost.<FFF5>   Your story sounds like a big phony to me.<FF03>Is it for real?<FFFD><0BFF><F500>Say what you want, but you wanna sit on<FF03>me, huh? This is one comfortable toilet<FF03>seat, after all.<FFF5>   I don't mind thinking about that",,por_traducir,
talk_toilet_00014,217,<FF03> <FF03> <FFF1> <FFF5> <FF03> <FFF5> <FF03> <FFFD> <0CFF> <F500>,"<FF03>but I hate people who promise to pay<FF03>up later.<FFF1><FFF5>Helloooo. It's completely obvious that<FF03>you don't mean it.<FFF5>  Don't you have any pride, miss? I hate<FF03>girls like you more than anything.<FFFD><0CFF><F500>W-Waaaah. You're up to something",,por_traducir,
talk_toilet_00016,24,," complimenting me, right",,por_traducir,
talk_toilet_00017,48,<FF03> <FF03>,"<FF03>I've heard a lot of rumors about you,<FF03>Miss Maki",,por_traducir,
talk_toilet_00018,96,<FFFD> <0DFF> <F500> <FFF5> <FF03>,<FFFD><0DFF><F500> Hee hee. Modesty is the way to go. Yep.<FFF5>I always knew I was too perfect. I even<FF03>scare myself,,por_traducir,
talk_toilet_00019,572,<FFFD> <0EFF> <F500> <FF03> <FFF5> <FF03> <FFF5> <FF03> <FFF5> <FF03> <FFFD> <0FFF> <F500> <FF03> <FF03> <FFF5> <FF02> <FF04> <FF03> <FFF1> <FFF5> <FF03> <FFF5>," squee.<FFFD><0EFF><F500>   I don't really get what you're saying,<FF03>miss, but you might be right!<FFF5>   You're pretty easy to trick, huh miss?<FF03>But that's what makes you so cute.<FFF5>  Hey. Don't say whatever comes to mind.<FF03>It's easy to tell you're lying.<FFF5> Your story sounds like a big phony to me.<FF03>Is it for real?<FFFD><0FFF><F500>Say what you want, but you wanna sit on<FF03>me, huh? This is one comfortable toilet<FF03>seat, after all.<FFF5>   Hee hee. I can't believe your story, miss!<FF02><FF04>Hee hee hee. Of course, it would be<FF03>different if you gave me something.<FFF1><FFF5>   You really get it. I like people who are<FF03>on the ball.<FFF5>  Huh",,por_traducir,
talk_toilet_00020,41,<FF03>," I thought you were just plain dumb,<FF03>miss",,por_traducir,
talk_toilet_00021,298,<FF03> <FFFD> <10FF> <F500> <FF03> <FFF5> <FF03> <FFFD> <11FF> <F500> <FFF5> <FF03>," But you actually know what you're<FF03>doing when it comes to demons.<FFFD><10FF><F500>  Helloooo. It's completely obvious that<FF03>you don't mean it.<FFF5>  Don't you have any pride, miss? I hate<FF03>girls like you more than anything.<FFFD><11FF><F500>Hee hee. Modesty is the way to go. Yep.<FFF5>I always knew I was too perfect. I even<FF03>scare myself",,por_traducir,
talk_toilet_00022,16,<FFFD> <12FF> <F500>, squee.<FFFD><12FF><F500>   Huh,,por_traducir,
talk_toilet_00023,190,<FF03> <FFF5> <FF03> <FF03> <FFFD> <13FF> <F500>," well, that was weird. But you<FF03>seem cool, so I don't mind.<FFF5>   I don't mind going out with you, as long<FF03>as it's just to grab a bite! It's your<FF03>treat, right?<FFFD><13FF><F500>D-Do I look that easy to pick up",,por_traducir,
talk_toilet_00024,26,<FF03>,<FF03>I don't think I like that,,por_traducir,
talk_toilet_00025,87,<FFF5> <FF03> <FFFD> <14FF> <F500>,"<FFF5>  I'm only interested in toilets.<FF03>You're out of the picture.<FFFD><14FF><F500>   You're not a guy, so",,por_traducir,
talk_toilet_00026,29,<FFF5>," pass!<FFF5>  You're not a guy, so",,por_traducir,
talk_toilet_00027,163,<FFF5> <FF03> <FF03> <FFF5> <FF03>," pass!<FFF5>  Hee hee. Are you hitting on me? I'm glad<FF03>to know there are people with a toilet<FF03>fetish--maybe I have a chance.<FFF5> Whoa, are you hitting on me? I'm glad,<FF03>but",,por_traducir,
talk_toilet_00028,282,<FFFD> <15FF> <F500> <FF03> <FFF5> <FF03> <FFF5> <FFF5> <FF03> <FFFD> <16FF> <F500>," Hee hee. What should I do?<FFFD><15FF><F500> Do you really want my attention that bad?<FF03>You're like a kid, mister.<FFF5>   Hee hee. I heard that entertainers are<FF03>really smart.<FFF5>   What's up with that.?<FFF5>  This is so boring. I don't even get what<FF03>the joke's supposed to be.<FFFD><16FF><F500>  W-Waaaaaah. This is so lame",,por_traducir,
talk_toilet_00029,36,<FFF5>,<FFF5> Huuuh.? No way. You're a weird guy,,por_traducir,
talk_toilet_00030,189,<FFFD> <17FF> <F500> <FFF5> <FF03> <FFFD> <18FF> <F500> <FF03> <FF03>,"<FFFD><17FF><F500>Hee hee. My tummy hurts.<FFF5>   Hee hee. Listening to students gossiping<FF03>is way more fun.<FFFD><18FF><F500>When you're stuck in a bathroom for so<FF03>long, you really get the itch to talk<FF03>about stuff like this",,por_traducir,
